时间,企业名称,注册号,是否有效
2022/9/9 16:55:21,北京三快科技有限公司,1100009001100202209090463,09
2022/9/9 16:59:00,北京中公教育科技有限公司,1100009001100202209090466,09
2022/9/9 16:39:45,北京金英杰教育科技集团有限公司,1100009001100202209090432,09
2022/8/29 13:58:23,北京微播视界科技有限公司,1100009001100202208290317,09
2022/8/29 14:03:43,北京好记优途教育科技有限公司,1100009001100202208290324,09
2022/9/1 15:49:11,壹健身,1100009001100202209010397,09
2022/9/1 15:56:12,北京时代峰峻文化艺术发展有限公司,1100009001100202209010414,09
2022/9/1 15:32:06,北京快手科技有限公司,1100009001100202209010380,09
2022/10/18 13:12:16,北京度友科技有限公司,1100009001100202210180277,09
2022/10/18 13:32:25,北京云松建筑,1100009001100202210180298,09
2022/10/24 14:18:51,天静学堂中关村校区,1100009001100202210240365,09
2022/11/9 10:48:55,北京中公教育科技有限公司,1100009001100202211090169,09
2022/11/9 10:53:57,北京中公教育科技有限公司,1100009001100202211090176,09
2022/11/9 10:23:09,北京中公教育科技有限公司,1100009001100202211090142,09
2022/11/9 11:05:50,北京动因体育科技有限公司,1100009001100202211090190,09
2022/9/26 10:03:20,北京四海明德教育咨询有限公司,1100009001100202209260097,09
2022/9/26 10:08:01,蓝港在线（北京）科技有限公司,1100009001100202209260102,09
2022/9/26 10:08:11,北京励超教育科技有限公司,1100009001100202209260103,09
2022/9/26 10:21:06,北京中公教育科技有限公司,1100009001100202209260115,09
2022/9/13 11:50:11,北京中公教育科技有限公司,1100009001100202209130220,09
2022/9/13 10:23:48,北京天意博金科技发展有限公司,1100009001100202209130139,09
2022/9/13 10:47:49,百度在线网络技术（北京）有限公司,1100009001100202209130164,09
2022/8/26 9:26:27,北京孔明科技有限公司,1100009001100202208260053,09
2022/8/31 10:52:07,国美真快乐电子商务有限公司,1100009001100202208310155,09
2022/8/31 10:58:16,晶城阳光国际游泳健身会所,1100009001100202208310161,09
2022/8/31 11:01:36,天翼电子商务有限公司,1100009001100202208310163,09
2022/8/31 11:02:55,北京快手科技有限公司,1100009001100202208310165,09
2022/9/1 12:20:13,北京润康美源健身有限公司,1100009001100202209010208,09
2022/9/1 12:24:46,北京趣拿信息技术有限公司,1100009001100202209010211,09
2022/9/1 13:34:21,黎姿,1100009001100202209010255,09
2022/9/1 13:41:01,北京天泰宾馆,1100009001100202209010260,09
2022/9/1 12:37:24,品质伊犁远大路店,1100009001100202209010217,09
2022/9/8 11:56:25,安彼迎网络（北京）有限公司,1100009001100202209080223,09
2022/9/8 10:28:12,北京寺库商贸有限公司,1100009001100202209080148,09
2022/9/8 10:53:50,北京三快科技有限公司,1100009001100202209080166,09
2022/9/8 10:40:40,北京每日优鲜电子商务有限公司,1100009001100202209080155,09
2022/8/29 9:01:55,北京寺库商贸有限公司,1100009001100202208290042,09
2022/8/30 14:56:31,北京百度网讯科技有限公司,1100009001100202208300362,09
2022/8/30 15:03:06,励志天成（北京）教育科技有限公司,1100009001100202208300349,09
2022/8/25 9:51:30,苹果电子产品商贸（北京）有限公司,1100009001100202208250093,09
2022/8/25 10:26:44,北京寺库商贸有限公司,1100009001100202208250115,09
2022/8/25 10:34:11,苹果电子产品商贸（北京）有限公司,1100009001100202208250145,09
2022/8/24 15:16:26,北京云杉世纪信息技术有限公司,1100009001100202208240407,09
2022/8/24 14:39:32,北京趣拿信息技术有限公司,1100009001100202208240382,09
2022/8/24 12:08:29,北京中公教育科技有限公司,1100009001100202208240233,09
2022/9/13 13:45:33,北京英睿得科技服务有限公司,1100009001100202209130331,09
2022/9/13 13:46:11,北京中公教育科技有限公司,1100009001100202209130332,09
2022/9/5 9:07:49,美心木门,1100009001100202209050053,09
2022/9/5 9:11:33,北京瓦力网络科技有限公司,1100009001100202209050057,09
2022/9/5 9:19:09,香河美浩思装饰工程有限公司,1100009001100202209050064,09
2022/9/5 9:21:23,北京易行出行旅游有限公司,1100009001100202209050066,09
2022/8/26 15:45:00,长青基石管理顾问（北京）有限公司,1100009001100202208260378,09
2022/8/26 15:48:17,北京中公教育科技有限公司,1100009001100202208260421,09
2022/9/5 10:52:31,极客修,1100009001100202209050182,09
2022/9/5 10:55:35,永鲜超市,1100009001100202209050184,09
2022/9/5 11:06:50,北京新七天电子商务技术股份有限公司,1100009001100202209050192,09
2022/9/7 14:00:50,滴滴出行,1100009001100202209070303,09
2022/9/7 15:46:53,北京寺库商贸有限公司,1100009001100202209070443,09
2022/9/13 8:56:38,北京晨钟科技有限公司,1100009001100202209130041,09
2022/9/19 14:00:54,苹果电子产品商贸（北京）有限公司,1100009001100202209190327,09
2022/9/19 14:13:48,北京每日优鲜电子商务有限公司,1100009001100202209190333,09
2022/9/20 16:03:27,美晟家,1100009001100202209200437,09
2022/9/20 16:48:36,北京爱奇艺科技有限公司,1100009001100202209200524,09
2022/9/13 14:43:42,同桌伴学（北京）文化发展有限公司,1100009001100202209130383,09
2022/8/30 11:33:07,北京市海淀区西郊伟伟市场曹文波食品经营部,1100009001100202208300184,09
2022/8/30 11:38:35,MRRAGHT1228电影艺术婚纱摄影馆,1100009001100202208300187,09
2022/8/30 11:41:29,北京每日优鲜电子商务有限公司,1100009001100202208300189,09
2022/8/30 10:44:43,北京微播视界科技有限公司,1100009001100202208300150,09
2022/8/30 10:01:25,名言造型,1100009001100202208300091,09
2022/8/25 10:12:02,北京寺库商贸有限公司,1100009001100202208250126,09
2022/8/25 10:15:25,北京每日优鲜电子商务有限公司,1100009001100202208250127,09
2022/8/25 10:19:51,北京寺库商贸有限公司,1100009001100202208250130,09
2022/8/25 10:21:26,麦田归来轻食拌饭右安门店,1100009001100202208250131,09
2022/8/25 10:34:09,北京捷亚泰汽贸有限公司,1100009001100202208250135,09
2022/8/24 15:02:47,北京趣拿信息技术有限公司,1100009001100202208240370,09
2022/8/24 15:12:06,北京聚师网,1100009001100202208240374,09
2022/8/24 15:27:05,北京开课吧科技有限公司,1100009001100202208240380,09
2022/9/7 16:23:31,北京微播视界科技有限公司,1100009001100202209070472,09
2022/9/7 16:01:23,北京三快科技有限公司,1100009001100202209070454,09
2022/9/7 16:05:12,北京三快科技有限公司,1100009001100202209070456,09
2022/9/14 9:12:31,北京寺库商贸有限公司,1100009001100202209140058,09
2022/9/14 9:42:03,北京寺库商贸有限公司,1100009001100202209140090,09
2022/9/14 15:28:21,北京中公教育科技有限公司,1100009001100202209140435,09
2022/9/14 14:43:53,华宇兄弟（北京）电器维修服务有限公司,1101120421100202209140389,09
2022/9/14 15:17:07,北京三快科技有限公司,1100009001100202209140424,09
2022/8/26 14:59:30,北京快手科技有限公司,1100009001100202208260354,09
2022/8/26 15:07:41,日上木门,1100009001100202208260381,09
2022/9/5 10:29:44,北京寺库商贸有限公司,1100009001100202209050134,09
2022/9/5 10:36:05,北京寺库商贸有限公司,1100009001100202209050139,09
2022/9/7 14:22:33,北京金英杰互联教育科技有限公司,1100009001100202209070325,09
2022/9/7 14:32:38,北京乐因体育文化发展有限公司,1100009001100202209070332,09
2022/9/7 14:35:18,联想（北京）有限公司,1100009001100202209070334,09
2022/9/7 14:41:53,北京必胜课教育科技有限公司,1100009001100202209070338,09
2022/9/19 14:30:27,北京每日优鲜电子商务有限公司,1100009001100202209190371,09
2022/9/19 15:37:06,北京每日优鲜电子商务有限公司,1100009001100202209190441,09
2022/9/19 14:32:19,松下电器（中国）有限公司,1100009001100202209190381,09
2022/9/19 14:36:13,北京微播视界科技有限公司,1100009001100202209190375,09
2022/9/20 8:50:41,北京微播视界科技有限公司,1100009001100202209200007,09
2022/9/20 9:04:43,北京职尚教育科技有限公司,1100009001100202209200019,09
2022/9/20 9:08:03,北京中公教育科技有限公司,1100009001100202209200044,09
2022/9/20 9:10:42,北京中公教育科技有限公司,1100009001100202209200046,09
2022/9/21 16:37:17,北京东奥时代教育科技有限公司,1100009001100202209210411,09
2022/9/21 16:39:27,北京百度网讯科技有限公司,1100009001100202209210413,09
2022/9/23 13:59:01,北京中公教育科技有限公司,1100009001100202209230333,09
2022/9/23 14:07:14,天翼电子商务有限公司,1100009001100202209230336,09
2022/9/23 14:16:16,北京金戈名将教育咨询集团有限公司,1100009001100202209230341,09
2022/9/13 15:48:37,联想（北京）有限公司,1100009001100202209130463,09
2022/9/13 14:35:40,联想（北京）有限公司,1100009001100202209130313,09
2022/9/13 14:43:47,北京开课吧科技有限公司,1100009001100202209130318,09
2022/9/29 16:52:35,北京每日优鲜电子商务有限公司,1100009001100202209290490,09
2022/9/29 16:10:58,北京趣拿信息技术有限公司,1100009001100202209290459,09
2022/11/4 13:56:28,京华教育,1100009001100202211040334,09
2022/11/4 13:27:05,北京大麦文化传媒发展有限公司,1100009001100202211040299,09
2022/11/4 13:33:45,北京寺库商贸有限公司,1100009001100202211040307,09
2022/11/8 13:52:50,北京中公教育科技有限公司,1100009001100202211080332,09
2022/11/8 13:19:54,北京快手科技有限公司,1100009001100202211080294,09
