文书号,被处罚单位名称,违法类型,处罚时间
京技管环保监察罚字[2021]第22号,北京龙世杰印刷有限公司,《北京市大气污染防治条例》,2021.8.3
京技管环保监察罚字[2021]第23号,北京京湘徽餐饮有限公司,《北京市大气污染防治条例》,2021.8.5
京技管环保监察罚字[2021]第24号,北京日伸电子精密部件有限公司,《北京市大气污染防治条例》,2021.8.11
京技管环保监察罚字[2021]第25号,北京天成新脉生物技术有限公司,《中华人民共和国大气污染防治法》,2021.8.10
京技管环保监察罚字[2021]第26号,海博瑞德（北京）汽车技术有限公司,《中华人民共和国大气污染防治法》,2021.8.13
京技管环保监察罚字[2021]第27号,北京众合方圆动物医院有限公司,《中华人民共和国大气污染防治法》,2021.8.27
京技管环保监察罚字[2021]第28号,益都智能技术（北京）股份有限公司,《北京市大气污染防治条例》,2021.9.1
京技管环保监察罚字[2021]第29号,施乐辉外科植入物（北京）有限公司,《中华人民共和国大气污染防治法》,2021.8.31
京技管环保监察罚字[2021]第37号,北京众合方圆动物医院有限公司,《放射性同位素与射线装置安全和防护条例》,2021.11.15
京技管环保监察罚字[2021]第38号,寰影星光文化有限公司,《北京市大气污染防治条例》,2021.11.16
京技管环保监察罚字[2021]第39号,北京融英医药科技有限公司,《中华人民共和国环境影响评价法》,2021.11.26
