序号,企业名称,年份
1,北京京东方显示技术有限公司,2020年
2,中芯北方集成电路制造（北京）有限公司,2020年
3,北京燕东微电子科技有限公司,2020年
4,北京云狐时代科技有限公司,2020年
5,北京京东方茶谷电子有限公司,2020年
6,JOT自动化技术(北京)有限公司,2020年
7,北京睿智航显示科技有限公司,2020年
8,北京集创北方科技股份有限公司,2020年
9,北京中石正旗技术有限公司,2020年
10,北京大族天成半导体技术有限公司,2020年
11,北京星网卫通科技开发有限公司,2020年
12,北京生物制品研究所有限责任公司,2020年
13,北京智飞绿竹生物制药有限公司,2020年
14,北京百普赛斯生物科技股份有限公司,2020年
15,北京中杉金桥生物技术有限公司,2020年
16,北京先瑞达医疗科技有限公司,2020年
17,北京ABB开关有限公司,2020年
18,北京中航智科技有限公司,2020年
19,北京京仪自动化装备技术股份有限公司,2020年
20,北京烁科精微电子装备有限公司,2020年
21,赛诺威盛科技（北京）有限公司,2020年
22,北京锐洁机器人科技有限公司,2020年
23,北京长顺安达测控技术有限公司,2020年
24,北京捷杰西石油设备有限公司,2020年
25,北京北方华创真空技术有限公司,2020年
26,北京群菱能源科技有限公司,2020年
27,北京岛津医疗器械有限公司,2020年
28,萨姆森控制设备（中国）有限公司,2020年
29,北京万东鼎立医疗设备有限公司,2020年
30,北京凡士通空气弹簧有限公司,2020年
31,北京中钞锡克拜安全油墨有限公司,2020年
32,托普威尔石油技术股份公司,2020年
33,亿滋食品（北京）有限公司 ,2020年
34,天纳克华克（北京）汽车零部件有限公司,2020年
35,蓝谷智慧（北京）能源科技有限公司,2020年
36,海贝彼欧汽车零部件（北京）有限公司,2020年
37,佛吉亚排气控制系统（北京）有限公司,2020年
38,中芯国际集成电路制造（北京）有限公司,2020年
39,北京义翘神州科技股份有限公司,2020年
40,北京通用电气华伦医疗设备有限公司,2020年
41,北京华卓精科科技股份有限公司,2020年
42,北京ABB低压电器有限公司,2020年
43,诺兰特移动通信配件（北京）有限公司,2020年
44,航卫通用电气医疗系统有限公司 ,2020年
45,冠捷显示科技（中国）有限公司,2020年
46,北京长征天民高科技有限公司,2020年
47,北京星网宇达科技股份有限公司,2020年
48,北京索德电气工业有限公司,2020年
49,北京科仪邦恩医疗器械科技有限公司,2020年
50,北京凯恩帝自动化科技有限公司,2020年
51,北京金风科创风电设备有限公司,2020年
52,北京华益精点生物技术有限公司,2020年
53,北京航天汇信科技有限公司,2020年
54,北京北方华创微电子装备有限公司,2020年
55,安川首钢机器人有限公司,2020年
56,博世力士乐（北京）液压有限公司,2020年
57,北京同仁堂科技发展股份有限公司,2020年
58,北京金豪制药股份有限公司,2020年
59,北京华德液压工业集团有限责任公司,2020年
60,北京群菱能源科技有限公司,2021年
61,萨姆森控制设备（中国）有限公司,2021年
62,北京市智恒工贸有限责任公司,2021年
63,北京高德利华科技有限公司,2021年
64,北京原杰电子有限责任公司,2021年
65,北京德为智慧科技有限公司,2021年
66,北京屹唐半导体科技股份有限公司,2021年
67,诺兰特新材料（北京）有限公司,2021年
68,诺兰特精密注塑配件（北京）有限公司,2021年
69,北京银河巴马生物技术股份有限公司,2021年
70,佛吉亚排气控制系统（北京）有限公司,2021年
71,天纳克华克（北京）汽车零部件有限公司,2021年
72,北京海纳川汽车部件股份有限公司,2021年
73,北京中科彩技术有限公司,2021年
74,舒泰神（北京）生物制药股份有限公司,2021年
75,资生堂丽源化妆品有限公司,2021年
76,安诺优达基因科技（北京）有限公司,2021年
77,利乐包装（北京）有限公司,2021年
78,北京星网卫通科技开发有限公司,2021年
79,北京星网宇达科技股份有限公司,2021年
80,北京首量科技股份有限公司,2021年
81,北京丹大生物技术有限公司,2021年
82,北京航天卓越精密机械制造有限公司,2021年
83,北京金豪制药股份有限公司,2021年
84,北京日伸电子精密部件有限公司,2021年
85,北京华海基业机械设备有限公司,2021年
86,北京七星华创流量计有限公司,2021年
87,北京北方华创微电子装备有限公司,2021年
88,和路雪（中国）有限公司,2021年
89,亿滋食品（北京）有限公司,2021年
90,航天长征化学工程股份有限公司,2021年
91,北京太洋树康药业有限责任公司,2021年
92,北京小米电子产品有限公司,2021年
93,北京科仪邦恩医疗器械科技有限公司,2021年
94,北京贝能达信息技术股份有限公司,2021年
95,德中飞美家具(北京)有限公司,2021年
96,北京中航智科技有限公司,2021年
97,北京华益精点生物技术有限公司,2021年
98,北京欧美利华科技有限公司,2021年
99,北京特倍福电子技术有限公司,2021年
100,北京博鲁斯潘精密机床有限公司,2021年
101,北京泰德制药股份有限公司,2021年
102,北京瑞荣达电子技术有限公司,2021年
103,北京东方兴盛不锈钢加工有限公司,2021年
104,布勒莱宝光学设备（北京）有限公司,2021年
105,钛玛科（北京）工业科技有限公司,2021年
106,中消恒安（北京）科技有限公司,2021年
107,北京金诺美科技股份有限公司,2021年
108,博尔诚（北京）科技有限公司,2021年
109,北京浦丹光电股份有限公司,2021年
110,蓓安科仪（北京）技术有限公司,2021年
111,北京育华能源有限公司,2021年
112,北京宝岛包装印刷有限公司,2021年
113,北京中海兴业安全玻璃有限公司,2021年
114,北京华联印刷有限公司,2021年
115,北京环达汽车装配有限公司,2021年
116,中核控制系统工程有限公司,2021年
117,北京皓海嘉业机械科技有限公司,2021年
118,北京诺飞新能源科技有限责任公司,2021年
119,北京北燃港华燃气有限公司,2021年
120,北京市大天乐投资管理有限公司,2021年
121,加多宝（中国）饮料有限公司,2021年
122,地太科特电子制造（北京）有限公司,2021年
123,北京高新利华科技股份有限公司,2021年
124,壹胜百模具（北京）有限公司,2021年
125,北京供电福斯特开关设备有限公司,2021年
126,北京中彩印制有限公司,2021年
127,北京市科通电子继电器总厂有限公司,2021年
128,富智康精密组件（北京）有限公司,2021年
129,北斗启明（北京）节能科技服务有限公司,2021年
