平谷区2019年高新技术企业名单,,,
序号 ,企业名称,证书编号,所属区域
1,北京禹辉净化技术有限公司,GR201711000564,平谷区
2,北京瑞卓喜投科技发展有限公司,GR201711000550,平谷区
3,洲际联合超伦科技（北京）有限公司,GR201711000191,平谷区
4,北京长虹佳华智能系统有限公司,GR201711000912,平谷区
5,北京高诚科技发展有限公司,GR201711001263,平谷区
6,北京巨视科技有限公司,GR201711000355,平谷区
7,北京银河创想信息技术有限公司,GR201711000583,平谷区
8,北京中城科绿色建筑科技有限公司,GR201711000674,平谷区
9,北京信长城技术研究院,GR201711000261,平谷区
10,北京天润建设有限公司,GR201711002738,平谷区
11,北京乐福能节能技术有限公司,GR201711002036,平谷区
12,卫民新起点科技（北京）有限公司,GR201711002464,平谷区
13,北京世纪阿姆斯生物工程有限公司,GR201711001632,平谷区
14,北京岐黄医药股份有限公司,GR201711003291,平谷区
15,瑞雅科医药（北京）有限公司,GR201711002582,平谷区
16,北京大华山生态源农业科技有限公司,GR201711003247,平谷区
17,北京世纪劲得生物技术有限公司,GR201711003616,平谷区
18,北京硒为康生态科技有限责任公司,GR201711003413,平谷区
19,北京洗得宝消毒制品有限公司,GR201711003890,平谷区
20,中悦科技股份有限公司,GR201711001640,平谷区
21,北京楚茨科技有限公司,GR201711004271,平谷区
22,北京即刻到家服务科技有限公司,GR201711004224,平谷区
23,北京儒信融通科技有限公司,GR201711003435,平谷区
24,北京商临客科技有限公司,GR201711001457,平谷区
25,北京首安中通网络技术有限公司,GR201711003307,平谷区
26,北京沃德博创信息科技有限公司,GR201711001849,平谷区
27,北京鑫诚众诺网络技术有限公司,GR201711003880,平谷区
28,山水盛典文化产业有限公司,GR201711002157,平谷区
29,北京守朴科技有限公司,GR201711002019,平谷区
30,北京普析通用仪器有限责任公司,GR201711004394,平谷区
31,北京康特奇饲料有限公司,GR201711003881,平谷区
32,诺文科风机（北京）有限公司,GR201711004059,平谷区
33,北京多力多机械设备制造有限公司,GR201711002479,平谷区
34,北京京航安机场工程有限公司,GR201711002526,平谷区
35,宝枫生物科技（北京）有限公司,GR201711007518,平谷区
36,北京天泰正通医药科技开发有限公司,GR201711005489,平谷区
37,北京众生平安卫生护理用品有限公司,GR201711006966,平谷区
38,维达北方纸业（北京）有限公司,GR201711006493,平谷区
39,北京华康天怡生物科技有限公司,GR201711007017,平谷区
40,北京思杰信科技有限公司,GR201711005193,平谷区
41,北京宇天智通科技有限公司,GR201711008208,平谷区
42,北京海融盛世投资管理有限公司,GR201711007284,平谷区
43,北京送好运信息技术有限公司,GR201711006323,平谷区
44,北京巨洲云科技有限公司,GR201711005039,平谷区
45,北京天铝环保科技有限公司,GR201711006260,平谷区
46,北京麦驰信通科技有限公司,GR201711007590,平谷区
47,沃力途科技（北京）有限公司,GR201711008577,平谷区
48,北京安宾果维科技信息有限公司,GR201711008574,平谷区
49,北京四维智通科技有限公司,GR201711008003,平谷区
50,北京长兴安科技发展有限公司,GR201711008043,平谷区
51,北京朗音工程技术有限公司,GR201711005820,平谷区
52,北京嫁给我信息服务有限公司,GR201711005617,平谷区
53,北京北大青鸟安全系统工程技术有限公司,GR201711006198,平谷区
