2021年企业研发机构专项奖励拟支持企业名单,
序号,单位名称
1,北京纳百生物科技有限公司
2,北京益普希环境咨询顾问有限公司
3,北京华氏开元医药科技有限公司
4,北京擎科生物科技有限公司
5,北京升鑫网络科技有限公司
6,北京国科天迅科技有限公司
7,德迈特医学技术（北京）有限公司
8,北京黎明文仪家具有限公司
9,北京博科测试系统股份有限公司
10,二零二零（北京）医疗科技有限公司
11,北京星河动力装备科技有限公司
12,中建二局安装工程有限公司
13,中路交建（北京）工程材料技术有限公司
14,中交四公局第二工程有限公司
15,北京华大信安科技有限公司
16,北京求臻医学检验实验室有限公司
17,北京沃东天骏信息技术有限公司
18,北京斯利安药业有限公司
19,北京合康新能变频技术有限公司
20,北京智行者科技股份有限公司
21,北京昭衍生物技术有限公司
22,华清科盛（北京）信息技术有限公司
23,北京博奥晶典生物技术有限公司
24,亦康（北京）医药科技有限公司
25,未来（北京）黑科技有限公司
26,北京鸿测科技发展有限公司
27,北京星途探索科技有限公司
28,北京中体骏彩信息技术有限公司
29,北京奥特恒业电气设备有限公司
30,北京京东乾石科技有限公司
31,北京华安天诚科技有限公司
32,曜立科技（北京）有限公司
33,北京天工异彩影视科技有限公司
34,清能德创电气技术（北京）有限公司
35,葛洲坝能源重工有限公司
36,北京索德电气工业有限公司
37,北京友通上昊科技有限公司
38,国典（北京）医药科技有限公司
39,北京爱思益普生物科技股份有限公司
40,中交四公局第三工程有限公司
41,北京中车赛德铁道电气科技有限公司
42,北京科途医学科技有限公司
43,北京新光凯乐汽车冷成型件股份有限公司
44,统信软件技术有限公司
45,微岩医学科技（北京）有限公司
46,中家院（北京）检测认证有限公司
47,北京市科通电子继电器总厂有限公司
48,北京汉氏联合生物技术股份有限公司
49,北京北方永达智能电气有限公司
50,中星联华科技（北京）有限公司
51,北京安智因生物技术有限公司
52,北京中科生仪科技有限公司
53,北京博电新力电气股份有限公司
54,北京美联泰科生物技术有限公司
55,北京和合医学诊断技术股份有限公司
56,北京赛赋医药研究院有限公司
57,北京华联印刷有限公司
58,北京集创北方科技股份有限公司
59,博诺康源（北京）药业科技有限公司
60,长城超云（北京）科技有限公司
61,北京凌空天行科技有限责任公司
62,北京百普赛斯生物科技股份有限公司
63,中企动力科技股份有限公司
64,北京中金瑞丰环保科技有限公司
65,北京智同精密传动科技有限责任公司
66,倍杰特集团股份有限公司
67,北京宇航推进科技有限公司
68,北京安百胜生物科技有限公司
69,中冶赛迪电气技术有限公司
70,北京泰豪智能工程有限公司
71,北京千禧维讯科技有限公司
72,云控智行科技有限公司
73,北京华海基业机械设备有限公司
74,德诺杰亿（北京）生物科技有限公司
75,良业科技集团股份有限公司
76,北方集成电路技术创新中心（北京）有限公司
77,北京迪玛克医药科技有限公司
78,北京海美源医药科技有限公司
79,北京达因高科儿童药物研究院有限公司
80,北京中科宇航技术有限公司
81,北京中检葆泰生物技术有限公司
82,罗特尼克能源科技(北京)有限公司
83,北京德为智慧科技有限公司
84,北京达熙生物科技有限公司
85,北京京仪自动化装备技术股份有限公司
86,北京软体机器人科技有限公司
87,北京昭衍新药研究中心股份有限公司
88,北京呈诺医学科技有限公司
,
