2021年科普惠农兴村计划资助项目公示名单,,,
序号,规范项目名称,申报单位,推荐单位
1,京西黄芩茶制作技艺系列科普活动,北京灵之秀生态农业专业合作社,门头沟区科协
2,京白梨的“故事”农业主题科普活动,北京科普创意信息技术研究院有限公司,门头沟区科协
3,玫瑰种植技术与产业发展系列科普活动,京西杂谈（北京）科技有限公司,门头沟区科协
4,果树农业科普阵地建设,北京鼎盛风华文化科技有限公司,房山区科协
5,《龙骨魂》科普剧编创与公演,北京市科学技术情报研究所,房山区科协
6,“科普果 树新风”科普资源建设项目,北京华锋园种植有限公司,房山区科协
7,人工智能主题科普宣教活动,北京华世奥业生态科技有限公司,通州区科协
8,航空灾难系列问题揭秘,天鹰旅（北京）航空科技有限公司,通州区科协
9,“科技送新风，助小务发展”系列科普活动,北京永乐国杰科技有限公司,通州区科协
10,“田园小百科”互动科普展,北京市顺义区农学会,顺义区科协
11,“科普惠农 美育乡村”新型职业农民培养项目,北京兴农天力农机服务专业合作社,顺义区科协
12,航空科技主题系列科普宣教活动,北京清大微蓝教育科技有限公司,顺义区科协
13,长子营镇实用农业技术推广与培训,北京市大兴区长子营镇农艺协会,大兴区科协
14,“健康”科普进乡村系列科普资源建设,北京学生营养餐协会,大兴区科协
15,“党建引领 科技支撑”农业人才培养项目,北京市农村专业技术协会,昌平区科协
16,庭院蔬菜栽培科普宣教活动,北京红泥乐现代农业有限公司,昌平区科协
17,生态循环农业技术科普宣教活动,北京银黄绿色农业生态园有限公司,昌平区科协
18,大桃智慧农业科普基地建设,北京绿农兴云果品产销专业合作社,平谷区科协
19,亲子科普体验嘉年华,北京桃花川书画院,平谷区科协
20,生态综合病虫害防控技术科普宣教活动,北京京东绿谷蔬菜产销专业合作社,平谷区科协
21,“百鸟漫步 云观自然”系列科普活动,北京湖心岛信息咨询有限责任公司,怀柔区科协
22,中草药花卉种植管理技术普及与应用,北京喇叭沟门喜鹊登科种植专业合作社,怀柔区科协
23,“‘视’界成就梦想”系列科普活动,北京市怀柔区爱眼协会,怀柔区科协
24,“互联网赋能乡村振兴”科普宣教活动,北京龙族文化传媒有限公司,密云区科协
25,生态循环农业及畜禽粪污资源化利用宣教活动,北京海华云拓能源研发中心有限公司,密云区科协
26,“无公害果蔬种植与百姓餐桌健康”系列科普活动,北京南山鑫农蔬菜种植专业合作社,密云区科协
27,《蜜蜂的一生》4D视听互动科普资源建设,北京奥金达蜂产品专业合作社,密云区科协
28,后庙村葡萄文化科普行动,北京绿野地葡萄种植专业合作社,延庆区科协
29,智慧农业科普阵地建设,北京绿富隆农业科技发展有限公司,延庆区科协
30,科普惠农专家服务平台建设,北京华海田园农业科技有限公司,延庆区科协
31,“乡村振兴科技传播”品牌系列活动,北京清实易盛科技有限公司,延庆区科协
