2021年度绿色发展资金拟支持项目（首批）名单,,,
序号,项目类别,实施单位,项目名称
1,节能减碳技改类项目,北京亦庄城市服务集团有限公司,照明及供热系统节能技术改造项目
2,,北京贵园热力有限公司,北京贵园热力公司有限公司供暖系统综合节能技改项目
3,,北京京东方显示技术有限公司,北京京东方显示技术有限公司照明节能改造项目
4,,北京京东方显示技术有限公司,北京京东方显示技术有限公司高温热泵节能改造项目
5,,北京同益中新材料科技股份有限公司,北京同益中PE纤维生产节能减排项目
6,,北京同益中新材料科技股份有限公司,北京同益中新材料科技股份有限公司节能改造项目
7,分布式光伏发电类项目,北京ABB低压电器有限公司,北京ABB低压电器有限公司光伏发电及系统集成项目
8,,北京恒瑀电力能源科技有限公司和,北京森特士兴研发楼0.28MW分布式光伏发电项目
,,森特士兴集团股份有限公司,
9,,中润瑞景新能源科技（北京）有限公司和北京生物制品研究所有限责任公司,中润瑞景新能源科技（北京）有限公司建设北京生物制品研究所有限责任公司亦庄厂区东区1.2兆瓦分布式光伏发电项目
10,,资生堂丽源化妆品有限公司,资生堂丽源化妆品有限公司三期屋顶96.6KW光伏发电项目
11,重点用能单位节能指标考核优秀单位项目,北京奔驰汽车有限公司,重点用能单位节能指标考核优秀单位项目
12,,北京博大开拓热力有限公司,重点用能单位节能指标考核优秀单位项目
13,,北京京东方显示技术有限公司,重点用能单位节能指标考核优秀单位项目
14,节能减碳咨询项目,北京经济技术开发区零碳产业创新协会,节能减碳咨询项目
15,碳中和认证项目,北京金风科创风电设备有限公司,碳中和认证项目
16,,北京京东方光电科技有限公司,碳中和认证项目
17,,北京京东方显示技术有限公司,碳中和认证项目
18,,北京亦庄城市服务集团有限公司,碳中和认证项目
19,,施耐德（北京）低压电器有限公司,碳中和认证项目
20,,松下电气机器（北京）有限公司,碳中和认证项目
21,绿色建筑类项目,北京北方华创微电子装备有限公司,北京北方华创微电子装备有限公司微电子装备扩产项目
22,,北京京东方光电科技有限公司,北京京东方光电科技第五代薄膜晶体管液晶显示器件生产线（TFT-LCD）B1地块项目
23,,森特士兴集团股份有限公司,北京经济技术开发区森特士兴集团研发楼
24,,施耐德（北京）低压电器有限公司,施耐德（北京）中低压电器有限公司生产厂房项目
25,,北京亦庄盛元投资开发集团有限公司,高端汽车及新能源汽车关键零配件产业园N20-1地块建设项目（1#厂房等6项）
26,,北京亦庄盛元投资开发集团有限公司,高端汽车及新能源汽车关键零配件产业园N19-1地块建设项目（1#厂房等9项）
27,,北京亦庄盛元投资开发集团有限公司,高端汽车及新能源汽车关键零配件产业园建设项目N12-M1地块
28,,北京亦庄盛元投资开发集团有限公 司,北京亦庄细胞治疗研发中试基地项目
29,,国汽（北京）智能网联汽车研究院 有限公司,北京市智能网联汽车制造业创新中心能力建设项目综合研发中心、北京市智能网联汽车制造业创新中心能力建设项目试验中心（一）、北京市智能网联汽车制造业创新中心能力建设项目试验中心（三）
30,,北京新特电气有限公司,北京新特电气有限公司特种变压器生产基地和研发中心建设项目
31,,北京尚恒锦祥商业运营管理有限公司,北京经济技术开发区河西区X78C2地块综合性商业金融服务业用地项目（商业楼等3项）
32,,北京中金瑞丰环保科技有限公司,环保专有设备研发制造基地项目（B1高精设备生产厂房等2项）
33,,北京北方华创微电子装备有限公司,北京北方华创微电子装备有限公司高端集成电路装备研发及产业化项目（研发测试楼等4项）
34,,北京奔驰汽车有限公司,戴姆勒中国研发中心及停车楼项目-办公楼
35,,北京经开亦盛房地产开发有限公司,北京经济技术开发区路东区E9R3、E9R4地块R2二类居住用地项目
36,,中交润致（北京）置业有限公司,北京市通州区马驹桥镇亦庄新城0500街区YZ00-0500-6007、6011地块项目
37,公共建筑节能绿色化改造类项目,北京兴基伟业投资管理有限公司兴基铂尔曼饭店,北京兴基伟业投资管理有限公司兴基铂尔曼饭店节能绿色化改造项目
38,绿色工地类项目,北京博大经开建设有限公司,液化空气（北京）工业气体有限公司大宗气站三期项目（主厂房等8项）
39,,北京博大经开建设有限公司,神州细胞生物药品生产基地项目（1a综合车间等五项）
40,,北京博大经开建设有限公司,1#厂房等8项
