附件 4,Unnamed: 1,Unnamed: 2,Unnamed: 3
2022 年北京市科协“中小企业优秀技术成果,,,
,,转化培育项目”拟支持项目名单,
序号,项目名称,,企业名称
1,"半导体加工设备关键零部件转化研究
项目",,"北京子牛亦东科技有
限公司"
2,高低温原位测试装置转化研究项目,,"北京中研环科科技有
限公司"
3,"锅炉水冷壁爬壁检测机器人转化研究
项目",,"北京中安吉泰科技有
限公司"
4,"基于区块链与密码技术的车联网网络
传输与访问安全技术转化研究项目",,"北京密码云芯科技有
限公司"
5,"基于人工智能的电磁环境感知系统成
果转化研究项目",,"北京博识广联科技有
限公司"
6,"人工智能医学影像诊疗云平台转化研
究项目",,"慧影医疗科技（北京）
股份有限公司"
7,制造业管理系统转化研究项目,,"北京中鼎昊硕科技有
限责任公司"
8,"高速钢弹簧浮置减振轨道系统转化研
究项目",,"北京九州一轨环境科
技股份有限公司"
9,"利用深度脱硫废橡胶复合改性生物沥
青关键技术转化项目",,"北京路德永泰环保科
技有限公司"
10,微通道强化高精度能量管理技术,,"北京宇航推进科技有
限公司"
11,MEMS 激光扫描视网膜成像系统研发,,"北京枭龙科技有限公
司"
12,"智能靶向胃癌基因治疗药物 SynOV3 的
临床前研究",,"北京合生基因科技有
限公司"
