2022年丰台区环境信息依法披露企业名单,,,,,
序号,行政区划名称,统一社会信用代码,单位名称,纳入原因,重点排污单位所属类别
1,丰台区,9.111E+17,北京京桥热电有限责任公司,①,水环境重点排污单位、大气环境重点排污单位
2,丰台区,91110000801105793G,华电（北京）热电有限公司,①,水环境重点排污单位、大气环境重点排污单位
3,丰台区,9.111E+17,北京京丰燃气发电有限责任公司,①,水环境重点排污单位、大气环境重点排污单位
4,丰台区,91110000600040639J,宝酒造食品有限公司,①,水环境重点排污单位
5,丰台区,91110000755250120T,北京城市排水集团有限责任公司威嘉污水处理厂,①,水环境重点排污单位
6,丰台区,91110106330275242P,北京北排水环境发展有限公司卢沟桥再生水厂,①,水环境重点排污单位
7,丰台区,12110106575243863C,北京市丰台区供排水管理所-晓月苑污水处理站,①,水环境重点排污单位
8,丰台区,91110108771587233G,北京久安建设投资集团有限公司-河西再生水厂,①,水环境重点排污单位
9,丰台区,12110106575243863C,北京市丰台区供排水管理所-花乡南部污水处理站,①,水环境重点排污单位
10,丰台区,91110106749390477T,北京北排水环境发展有限公司吴家村再生水厂,①,水环境重点排污单位
11,丰台区,91110106MA0063B591,北京城市排水集团有限责任公司槐房再生水厂,①,水环境重点排污单位
12,丰台区,91119196MA01HQL720,北京北控润丰污水处理有限公司（丰台河西再生水厂二期）,①,水环境重点排污单位
13,丰台区,12110000400686486B,首都医科大学附属北京佑安医院,①,水环境重点排污单位
14,丰台区,12110000400686320W,首都医科大学附属北京天坛医院,①,水环境重点排污单位
15,丰台区,12100000102174925H,国家电网公司北京电力医院,①,水环境重点排污单位
16,丰台区,12110106400852974D,北京丰台医院,①,水环境重点排污单位
17,丰台区,5.21101E+17,北京丰台右安门医院,①,水环境重点排污单位
18,丰台区,1.21E+17,中国航天科工集团七三一医院,①,水环境重点排污单位
19,丰台区,12100000400852827U,北京航天总医院（中国航天科技集团公司总医院）,①,水环境重点排污单位
20,丰台区,91110000101116328H,北京地铁车辆装备有限公司,①,大气环境重点排污单位
21,丰台区,9.11101E+17,北京市热力集团有限责任公司丰台分公司马家堡供热服务中心（青塔锅炉房）,①,大气环境重点排污单位
22,丰台区,91110106661553796X,北京华源里热力服务有限公司（华源一里锅炉房）,①,大气环境重点排污单位
23,丰台区,91110106802171995D,北京天岳恒房屋经营管理有限公司西罗园分公司（新华街锅炉房）,①,大气环境重点排污单位
24,丰台区,91110102053601942H,北京北燃供热有限公司（万源南里甲48号锅炉房）,①,大气环境重点排污单位
25,丰台区,91110114101646767U,北京金房暖通节能技术股份有限公司（万科假日锅炉房）,①,大气环境重点排污单位
26,丰台区,91110106802171995D,北京天岳恒房屋经营管理有限公司西罗园分公司（西罗园锅炉房）,①,大气环境重点排污单位
27,丰台区,9.11101E+17,北京市热力集团有限责任公司丰台分公司(科丰服务站）,①,大气环境重点排污单位
28,丰台区,12110106E00828555D,北京市丰台区房屋经营管理中心供暖设备服务所（嘉园锅炉房）,①,大气环境重点排污单位
29,丰台区,91110106102167338J,北京丰台城建物业管理有限公司(角门东里锅炉房),①,大气环境重点排污单位
30,丰台区,91110106102167338J,北京丰台城建物业管理有限公司（望园西里小区锅炉房）,①,大气环境重点排污单位
31,丰台区,9.11101E+17,北京市热力集团有限责任公司丰台分公司（马家堡西马金润小区锅炉房）,①,大气环境重点排污单位
32,丰台区,9.11101E+17,北京天岳恒房屋经营管理有限公司紫玉分公司-玉林锅炉房,①,大气环境重点排污单位
33,丰台区,9.11101E+17,北京市热力集团有限责任公司丰台分公司马家堡供热服务中心（总后锅炉房）,①,大气环境重点排污单位
34,丰台区,9.11101E+17,北京市热力集团有限责任公司丰台分公司（莲花桥锅炉房）,①,大气环境重点排污单位
35,丰台区,12110106E00828555D,北京市丰台区房屋经营管理中心供暖设备服务所（翠林锅炉房）,①,大气环境重点排污单位
36,丰台区,91110106758221819U,北京房修一石榴园供热有限公司（石榴园小区锅炉房）,①,大气环境重点排污单位
37,丰台区,9.11101E+17,北京市热力集团有限责任公司丰台分公司-方庄供热服务中心（方庄锅炉房）,①,大气环境重点排污单位
38,丰台区,91110106976748742E,北京怡暖供热管理有限公司-怡海锅炉房,①,大气环境重点排污单位
39,丰台区,9.11101E+17,北京市热力集团有限责任公司丰台分公司（二七厂锅炉房）,①,大气环境重点排污单位
40,丰台区,91110109102319864X,北京中首精滤科贸有限公司,①,土壤污染重点监管单位、固体废物重点监管单位
41,丰台区,91110000692300070G,北京环丰世纪绿色能源科技有限公司（北天堂残渣填埋场）,①,土壤污染重点监管单位、固体废物重点监管单位
42,丰台区,91110000692300070G,北京环丰世纪绿色能源科技有限公司（永合庄填埋场4、5区）,①,土壤污染重点监管单位、固体废物重点监管单位
43,丰台区,91110108MA01DHDM8L,北京深海坦途环保科技有限公司,①,固体废物重点监管单位
44,丰台区,91110106801104109C,中国铁路北京局集团有限公司丰台机务段,①,固体废物重点监管单位
