附件 1,Unnamed: 1,Unnamed: 2
 2022 年北京市知识产权试点单位名单,,
,单位名称,所属区
1,北京七维视觉科技有限公司,东城区
2,北京奇音妙想科技有限公司,东城区
3,北京元心君盛科技有限公司,东城区
4,中环洁环境有限公司,东城区
5,北京诚益通博日鸿智能装备技术有限公司,西城区
6,北京汉龙思琪数码科技有限公司,西城区
7,北京华宇中选洁净煤工程技术有限公司,西城区
8,北京建院装饰工程设计有限公司,西城区
9,北京芯海视界三维科技有限公司,西城区
10,北京众谊越泰科技有限公司,西城区
11,北京左医科技有限公司,西城区
12,国家粮食和物资储备局科学研究院,西城区
13,中地装（北京）科学技术研究院有限公司,西城区
14,艾图爱（北京）体育用品有限公司,朝阳区
15,爱慕股份有限公司,朝阳区
16,百特元生物科技（北京）有限公司,朝阳区
17,北京柏睿数据技术股份有限公司,朝阳区
18,北京北旭电子材料有限公司,朝阳区
19,北京玻色量子科技有限公司,朝阳区
20,北京凤凰数字科技有限公司,朝阳区
21,北京光速斑马数据科技有限公司,朝阳区
22,北京建工土木工程有限公司,朝阳区
23,北京酷车易美网络科技有限公司,朝阳区
24,北京全心数字技术有限公司,朝阳区
25,北京睿家科技有限公司,朝阳区
26,北京深蓝空间遥感技术有限公司,朝阳区
27,北京深演智能科技股份有限公司,朝阳区
28,北京市高强混凝土有限责任公司,朝阳区
29,北京视连通科技有限公司,朝阳区
30,北京首都在线科技股份有限公司,朝阳区
31,北京思凌科半导体技术有限公司,朝阳区
32,北京天创金农科技有限公司,朝阳区
33,北京天顺长城液压科技有限公司,朝阳区
34,北京天泽电力集团有限公司,朝阳区
35,北京蔚领时代科技有限公司,朝阳区
36,北京新氧万维科技咨询有限公司,朝阳区
37,北京亿尊装饰工程有限公司,朝阳区
38,北京盈迪曼德科技有限公司,朝阳区
39,北京永洪商智科技有限公司,朝阳区
40,北京云集智造科技有限公司,朝阳区
41,北京云宽志业网络技术有限公司,朝阳区
42,德联易控科技（北京）有限公司,朝阳区
43,多立恒（北京）能源技术股份公司,朝阳区
