2022年度北京经济技术开发区消防安全重点单位名录,,
序号,名称,地址
1,正元联合包装技术（北京）有限公司,开发区同济南路6号院1号楼2层208
2,北京亦创科技文化有限公司（亦创国际会展中心）,开发区荣昌东街6号2幢4层
3,森特士兴集团股份有限公司,开发区永昌东四路10号
4,北京博大国盛投资有限公司,开发区康定街1号
5,博尔诚（北京）科技有限公司,开发区宏达南路18号
6,北京晟邦物业管理有限公司(林肯时代),开发区荣华街道荣京北小街6号院
7,北京物美京门商贸有限公司经济技术开发区超市,开发区天宝南街4号地下一层
8,北京林叶物业管理有限公司(大雄商业中心项目),开发区天华园二里二区19号
9,北京华冠商业科技发展有限公司亦庄店,开发区天华园一里三区14号楼一层门厅、二层
10,迪卡侬（北京）体育用品有限公司北京经济技术开发区分公司,开发区文化园西路3号
11,北京盒马网络科技有限公司亦庄第二分公司,开发区地盛北街1号院40楼地下1层108室
12,北京四季优选信息技术有限公司亦庄分公司,开发区荣华街道荣华南路2号院7号楼1层F1-01A
13,北京汇正文化艺术发展有限公司,开发区文化园东路6号
14,沃尔玛（北京）商业零售有限公司亦庄山姆会员商店,开发区文化园东路6号
15,北京兴联顺达商业管理有限公司,开发区荣华中路8号院1号楼
16,北京华联生活超市有限公司荣华中路分公司,开发区荣华中路8号院1号楼
17,北京百家安酒店管理有限公司（云水假日）,开发区景园北街2号51－1
18,北京经济技术投资开发总公司博大永康商务酒店,开发区康定街18号
19,尚居酒店管理（北京）有限公司（全季）,开发区康定街18号11、12号楼
20,北京添好运酒店管理有限公司（桔子）,开发区康定街18号2号楼
21,北京悦豪酒店管理有限责任公司（锦江之星）,开发区景园北街2号24号楼
22,北京树业酒店管理有限公司,开发区康定街18号1号楼5-6层
23,有巢住房租赁（深圳）有限公司北京亦庄第二分公司,开发区天华园一里一区5号楼1层104、2层至4层
24,北京朝林松源酒店管理有限公司,开发区荣华中路19号院2号楼-2至10层101
25,北京锦江富园大酒店有限公司,开发区荣华中路11号
26,北京星缘假日酒店有限公司,开发区天华园一里三区新康家园商业综合楼
27,北京天华阳光商务酒店有限公司,开发区天华北街5号
28,北京瑞祥临酒店管理有限公司,开发区天华北街5号
29,北京汇思通酒店管理有限公司,开发区天华北街五号院2幢13门
30,迈家（上海）酒店投资管理有限公司北京丝云亦庄店,开发区荣华中路5号院1号楼一层、二层、三层
31,北京国锐酒店管理有限公司,开发区荣华南路1号院3号楼
32,北京格兰云天国际酒店管理有限公司,开发区荣华南路15号院5号楼
33,北京亦庄便宜坊餐饮管理有限公司荣华店,开发区荣华南路9号亦城科技中心底商
34,北京吉啡酒店管理有限公司,开发区地盛西路6号A研发楼1-4层
35,北京华奕酒店管理有限公司,开发区地盛中路5号院9号楼
36,北京中伽顺景置业有限公司（智选酒店）,开发区荣华街道荣华南路10号院1号楼
37,北京尚仄国际酒店管理有限公司（如家）,开发区荣华南路16号
38,中冀斯巴鲁宾馆有限公司,开发区荣华街道荣华南路16号
39,北京丰大国际大酒店有限责任公司,开发区荣华中路20号
40,北京宜居悦嘉酒店管理有限责任公司,开发区隆庆街12号
41,北京兴基伟业投资管理有限公司兴基铂尔曼饭店,开发区荣华南路12号
42,北京京亦缘宾馆有限公司（汉庭）,开发区文化园东路6号
