项目名称,企业名称,获奖人姓名
变桨用齿形带腐蚀失效问题解决,金风科技股份有限公司,"张**,张**,李*"
采油用石油磺酸盐表面活性剂小型合成系统开发,中国石油天然气股份有限公司勘探开发研究院,"侯**,刘**,孙**"
多场景下频率主动支撑技术的开发创新及应用,金风科技股份有限公司,"左**,刘*,徐*"
钢铁行业新突破-绿色高效直流电源技术的优化、创新及应用,中冶赛迪电气技术有限公司,"朱*,赵*,吴**"
慧眼识材：基于TRIZ的棒材收集区视觉跟踪系统,中冶京诚工程技术有限公司,"郝**,温**,李*"
基于TRIZ创新方法的微增压氧舱舱内环境动态平衡问题的研究,北京航天新立科技有限公司,"宋*,王*,计*"
基于TRIZ创新开发的热风炉低碳减排换炉技术,中冶京诚工程技术有限公司,"庞**,魏**,杨**"
基于TRIZ的水平井缝控压裂系统研发,中国石油天然气股份有限公司勘探开发研究院,"马**,黄*,柴*"
基于TRIZ的铜多金属硫化矿清洁分离系统研发与应用,矿冶科技集团有限公司,"吴**,何*,卢*"
基于TRIZ方法提高医疗废物处置方舱的灭菌效率,北京航天雷特机电工程有限公司,"李*,赵*,刘*"
基于TRIZ理论的井下车辆防碰撞分级预警系统应用,矿冶科技集团有限公司,"李**,张**,刘*"
基于TRIZ理论的通用基础平台软件,中冶京诚工程技术有限公司,"王*,褚*,任**"
基于TRIZ理论对脱硫塔塌床的创新和改进,中冶京诚工程技术有限公司,"徐**,张**,喻*"
基于TRIZ理论解决大马士革玫瑰精油提取及综合利用问题的研究,北京航天雷特机电工程有限公司,"杨**,王*,马**"
基于TRIZ理论提升风电机组变桨超级电容放电效率,金风科技股份有限公司,"彭**,吕**,殷**"
热尽其用低品位余热综合利用技术,中国寰球工程有限公司,"徐**,王*,赵*"
应用TRIZ解决大型水培系统运行效率低的问题,北京中农富通园艺有限公司,"薛**,郭**,王**"
致密/页岩油藏流体增渗驱采新方法新工艺,中国石油天然气股份有限公司勘探开发研究院,"耿**,陈**,于**"
TRIZ方法在双码体系开发中的应用,中冶京诚工程技术有限公司,"刘**,李*,尹**"
长寿命无负极锂电池技术研究,北京金羽新材科技有限公司,"常**,邹**,冼**"
多创新方法在BIIM正向设计的应用与改进,北京市建筑设计研究院有限公司,"刘*,丁**,孙**"
颚式破碎机料槽堵矿、漫矿预警系统研发与应用,矿冶科技集团有限公司,"汪**,王**,陈**"
钒铬渣绿色提纯五氧化二钒,中国恩菲工程技术有限公司,"刘**,付**,吴**"
风电机组变桨轴承状态监测系统开发,金风科技股份有限公司,"田**,李**,杜**"
基于TRIZ创新方法的超低能耗建筑用窗研发,北京建筑材料科学研究总院,"张**,赵**,王*"
基于TRIZ创新开发的提高富氢烧结喷吹均匀性和安全性装置,中冶京诚工程技术有限公司,"李**,韩**,王**"
基于TRIZ创新理论的高温焙砂输送系统开发及应用,中国恩菲工程技术有限公司,"郝**,贾*,黄**"
基于TRIZ创新理论光驱动相变储能纳米材料的研制,北京建筑材料科学研究总院有限公司,"刘*,郭**,赵**"
基于TRIZ的井下铲运机无人驾驶系统研发与应用,矿冶科技集团有限公司,"朱*,孙*,陈**"
