项目名称,企业名称,产业特派员姓名
一带一路”中蒙俄经济走廊油气管道工程（蒙古国）保温管道运输装备创新与应用,北方国际合作股份有限公司,焦**
HUMAN TROP2 胞外区域蛋白ELISA试剂盒研发及临床样本验证,北京百普赛斯生物科技股份有限公司,陈*
北斗视觉增强定位设备开发及应用,北京眸星科技有限公司,沈*
法治文化博物馆系统,北京荣智数联科技有限公司,刘*
北京电梯安全运维大数据模型智能监控项目技术咨询和诊断,北京时代凌宇科技股份有限公司,郭**
预应力筋高效连接装配式桥墩关键技术及其抗震性能研究,北京市政路桥股份有限公司,贾**
“佰城小院”乡村宅改民宿信息化服务平台,北京数智天下科技有限公司,钱**
玉米新品种京农科737配套技术集成及大面积推广,北京顺鑫种业科技研究院有限公司,刘**
废旧沥青路面绿色高值化冷态再生循环利用关键技术及示范应用,北京西姆绿色科技有限公司,索*
集成电路生产中有效降低抗静电损伤风险,北京宇翔电子有限公司,高**
高性能烧结钕铁硼磁体开发,北京中科三环高技术股份有限公司,孙**
面向先进制造业分布式科技服务平台研发及应用,北京中科院软件中心有限公司,胡**
“千人进千企”助力园区老旧生产设施改造提升,北京中农富通园艺有限公司,赵**
“千人进千企”助力鱼菜共生技术升级,北京中农天陆微纳米气泡水科技有限公司,孙**
基于数字化健康的CT影像骨密度智能分析平台,慧影医疗科技（北京）股份有限公司,王**
面向车联网的算网一体关键技术及创新场景研究,联通智网科技股份有限公司,李**
人工智能辅助早期肺癌呼气VOC的拉曼检测系统,索真（北京）医学科技有限公司,王*
基于大数据和人工智能的健康管理服务平台,团火科技（北京）有限公司,崔*
面向新能源发电的中长期气候预测及风险预控研究,中国华能集团清洁能源技术研究院有限公司,张**
大健康环境下低GI谷物产品创制,中粮营养健康研究院有限公司,李*
