项目名称,依托单位,推荐单位,推荐资助项目类别
呼吸同步式嗅觉客观检测设备研发及临床应用研究,首都医科大学附属北京同仁医院,北京市东城区科协,A
基于特征参数识别的储能电池热失控预警算法设计与构建,国联汽车动力电池研究院有限责任公司,北京市怀柔区科协,A
污水低碳深度脱氮功能材料开发与处理技术研究,中建环能（北京）环保有限公司,中国建筑集团有限公司科协,A
晶圆自主分选机器人的设计,北京京仪自动化装备技术有限公司,北京京仪集团有限责任公司科协,A
便携式天基信息支援系统,北京航天驭星科技有限公司,北京长风信息技术产业联盟,A
基于大数据分析的管网杂散电流干扰风险识别及管控技术研究,北京市燃气集团研究院,北京市燃气集团研究院科协,A
兼顾防护、照明与观察的医用面屏装置的设计与转化,北京大学第三医院,北京医学会,B
基于超声影像的胎儿心胸比及心轴智能检测及评估模型研究,首都医科大学附属北京安贞医院,首都医科大学附属北京安贞医院科协,B
工厂化温室番茄采摘机器人产品研发与应用,农芯科技（北京）有限责任公司,北京农业信息化学会,B
一种超高速晶圆传输设备开发与应用,北京锐洁机器人科技有限公司,北京锐洁机器人科技有限公司企业科协,B
牛羊产业产业数字化技术服务工具开发,北京大北农科技集团股份有限公司,北京大北农科技集团股份有限公司科协,B
智能资源信息系统研发,北京雪莲集团有限公司,北京纺织工程学会,B
基于深度学习依据眼底影像进行糖尿病全身并发症筛查与预测的研究,中国医学科学院北京协和医院,北京市东城区科协,B
文物壁画的智能数字化修复研究,北京联合大学,北京数字科普协会,B
基于光固化成型的3D打印方法制备织构化压电陶瓷的研究,北京信息科技大学,北京信息科技大学科协,B
激光除草机器人的研发,北京市农林科学院,北京市农林科学院科协,B
室内人员密集环境下高碳负硅酸镁水泥基防灭火材料的研究,北京工业大学,北京工业大学科协,C
基于人工智能辅助下计算机三维规划系统的3D打印内置式假肢的研发及临床应用,北京大学人民医院,北京医学会,C
信创背景下国外数据库迁移至国产数据库的性能评估技术研究,北京人大金仓信息技术股份有限公司,北京市朝阳区科协,C
低能耗相变少水胺二氧化碳捕集技术,北京美斯顿科技开发有限公司,北京市朝阳区科协,C
钢结构焊缝射线无损检测图像识别技术研究,中电投工程研究检测评定中心有限公司,中国电子工程设计院有限公司科协,C
高性能氧化锆陶瓷材料显微组织表征技术研究,国标（北京）检验认证有限公司,北京市怀柔区科协,C
城市内涝系统化防治与联调联控一体化技术研究,北京首创智能生态科技有限公司,北京首创智能生态科技有限公司科协,C
地铁车载式自主里程定位技术与设备开发,北京九州一轨环境科技股份有限公司,北京市房山区科协,C
离子液体/石墨烯基膜的分子设计及高效分离CO2研究,中国石油大学（北京）,中国石油大学（北京）科协,C
面向温室大棚的小型集群式农机智能化协同耕作导航方法研究,北京信息科技大学,北京信息科技大学科协,C
UV-LED/氯耦合反渗透高效低耗利用钢铁厂多源废水关键技术研究,中冶京诚工程技术有限公司,中冶京诚工程技术有限公司科协,C
基于等离子体的废旧LiFePO4正极材料全组分高值化修复再生技术研究,中国航天空气动力技术研究院,中国和平利用军工技术协会,C
