抽查任务名称,抽查时间,抽查机关,抽查对象,抽查事项,抽查结果
"2021年5月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44327,北京经济技术开发区开发建设局,X90小区道路工程-道路及配套,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年5月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44337,北京经济技术开发区开发建设局,北京经济技术开发区路南区融兴街（瑞合西一路-亦柏路）污水管线工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年5月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44342,北京经济技术开发区开发建设局,北京市医疗器械检验所综合性医疗器械检验基地二期工程项目（综合实验楼）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年5月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44340,北京经济技术开发区开发建设局,亦庄创意生活广场服务楼装修改造工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年5月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44326,北京经济技术开发区开发建设局,智能制造机器人工业自动化生产及研发基地项目（1＃厂房等5项),负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年6月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44370,北京经济技术开发区开发建设局,北京和华瑞博医疗科技有限公司办公室装修工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年6月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44348,北京经济技术开发区开发建设局,亦庄东工业园区A6M2地块亦庄生命健康产业区生物医药标准厂房开发建设项目（1＃门卫等5项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年6月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44377,北京经济技术开发区开发建设局,智能安保产业基地项目（科研楼等9项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为，对发现的一般性质量问题要求相关单位改正。
"2021年6月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44369,北京经济技术开发区开发建设局,中芯京城集成电路生产线项目（FAB3 P1生产厂房等32项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年7月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44399,北京经济技术开发区开发建设局,北京经济技术开发区经海九路（潞西路-科创十一街）市政工程（一标段）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年7月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44398,北京经济技术开发区开发建设局,旧宫东西大街（凉水河-三台山路）改扩建工程项目,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为，对发现的一般性质量问题要求相关单位改正。
"2021年7月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44384,北京经济技术开发区开发建设局,胖哥俩肉蟹煲（北京住总万科店）室内装饰装修工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为，对发现的一般性质量问题要求相关单位改正。
"2021年7月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44397,北京经济技术开发区开发建设局,太平顺兴路（富民路—生态公园西路）等二条路道路（道路、雨水、污水、给水、再生水、燃气管线）工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年7月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44397,北京经济技术开发区开发建设局,通州区亦庄北小营中路（惠民路—太平顺兴路）等二条路道路（道路、雨水、污水、给水、再生水）工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年8月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44414,北京经济技术开发区开发建设局,搬迁至开发区研发制造基地项目(研发生产厂房),负责本行政区内工程质量实施监督管理工作,未发现违法违规行为，对发现的一般性质量问题要求相关单位改正。
"2021年8月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44432,北京经济技术开发区开发建设局,半导体装备零部件全工艺智能制造生产基地项目（1＃车间等8项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年8月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44434,北京经济技术开发区开发建设局,北京经济技术开发区路东区E9R3、E9R4地块R2二类居住用地项目（3-2＃住宅楼等10项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年8月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44439,北京经济技术开发区开发建设局,诺康达药品研发及智能化生产项目（生产实验楼等26项）（生产实验楼、地下车库及配套用房1、综合配套楼、智能制造车间、门卫及电缆分界室、自行车棚、天然气调压站、岗亭1、雨水调蓄池1、降温池1、化粪池1）工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为，对发现的一般性质量问题要求相关单位改正。
"2021年8月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44420,北京经济技术开发区开发建设局,通州区马驹桥镇C01、C-07、C-09地块项目（1＃住宅楼等22项）（11＃住宅楼至20＃住宅楼、21＃居住服务设施楼、地下车库东侧库区）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年9月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44446,北京经济技术开发区开发建设局,北方集成电路技术创新中心项目（生产调度研发大楼等21项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年9月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44467,北京经济技术开发区开发建设局,北京经济技术开发区核心区33号地块社区卫生服务中心工程（社区卫生服务中心等3项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年9月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44442,北京经济技术开发区开发建设局,北京经济技术开发区科谷一街10号院5号楼101.102室及2-8层室内装修项目,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年9月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44466,北京经济技术开发区开发建设局,北京通州物流产业园区兴贸北街（融商五路-东驰路）道路工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年9月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44466,北京经济技术开发区开发建设局,西区8号楼分装生产线项目,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年10月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44498,北京经济技术开发区开发建设局,56C1地块信驰大厦南座酒店装修工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年10月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44490,北京经济技术开发区开发建设局,北京经济技术开发区经海九路（潞西路-科创十一街）市政工程（二标段）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年10月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44496,北京经济技术开发区开发建设局,北京市北京经济技术开发区荣华中路19号院1号楼B座第27层（自然楼层为第23层）2701、2702、2703、2705号单元内装修工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为，对发现的一般性质量问题要求相关单位改正。
"2021年10月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44483,北京经济技术开发区开发建设局,科泰乐讯高科技产业基地项目三期（1号研发测试楼等4项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年10月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44490,北京经济技术开发区开发建设局,中科九微半导体真空核心设备研发生产基地项目（研发生产楼）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年11月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44501,北京经济技术开发区开发建设局,北京经济技术开发区13C3地块综合体建设项目（1号楼政务服务中心等3项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年11月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44530,北京经济技术开发区开发建设局,北京经济技术开发区宏达南路12号B&C厂房二层局部装修工程,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年11月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44525,北京经济技术开发区开发建设局,北京精测半导体设备及准分子激光器项目（厂房1等12项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年11月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44510,北京经济技术开发区开发建设局,通州区嘉创二路4号地定向安置房项目（1＃住宅楼等8项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
"2021年11月北京经济技术开发区
开发建设局建设工程质量双随机抽查",44501,北京经济技术开发区开发建设局,亦庄东工业园区A6M2地块亦庄生命健康产业区生物医药标准厂房开发建设项目（1＃门卫等5项）,负责本行政区内工程质量实施监督管理工作,未发现违法违规行为。
