序号,项目名称,申报单位,所在位置,发文号
1,公共卫生应急产业与危重症诊疗技术工程项目中心（1#生产楼等4项）,复星北铃（北京）医疗科技有限公司,密云区经济开发区科技路30号,2021规自（密）建字0012号
2,京能密云建材市场住宅项目（1#住宅楼等15项）,北京京能云泰房地产开发有限公司,密云区鼓楼街道阳光街南侧,2021规自（密）建字0011号
3,京东智能产业园北京密云项目（A-1库等8项）,北京建通仓储服务有限公司,密云区经济开发区科技路52号,2021规自（密）建字0010号
4,北京市密云区檀营乡6005地块R2二类居住用地项目（10#住宅楼等20项）,北京祥鼎置业有限公司,密云区檀营乡檀东路西侧,2021规自（密）建字0009号
5,北京市密云区檀营乡6005地块R2二类居住用地项目（1#住宅楼等15项）,北京祥鼎置业有限公司,密云区檀营乡檀东路西侧,2021规自（密）建字0008号
6,友康生物新建生产厂房、地下车库及附属配套楼项目（1#生产厂房等3项）,友康厚德生物科技（北京）有限公司,密云区经济开发区三期A6-1-1地块（科技路）（街）6号,2021规自（密）建字0007号
7,国有土地租赁厂房及附属用房,北京密云经济开发区总公司,密云区科技路22号,2021规自（密）建字0005号
8,北京康为工业产业用房、办公用房,康为同创集团有限公司,密云区开发区科技路75号,2021规自（密）建字0002号
9,京东智能产业园北京密云项目,北京建通仓储服务有限公司,密云区经济开发区科技路52号,2021规自（密）简建字6004号
10,公共卫生应急产业与危重症诊疗技术工程项目中心,复星北铃（北京）医疗科技有限公司,密云区科技路30号,2021规自（密）简建字6002号
11,友康生物新建生产厂房及附属配套楼项目,友康厚德生物科技（北京）有限公司,密云区经济开发区三期街（科技路6号）号,2021规自（密）简建字6001号
12,成品输送高架连廊,北京北陆药业股份有限公司,密云区水源西路3号,2021规自（密）简建字0001号
13,科研用房及其他设施,中国科学院青藏高原研究所,密云区西田各庄镇,2021规自（密）建字0006号
14,科研用房及其他设施,中国科学院地质与地球物理研究所,密云区西田各庄镇云西二街,2021规自（密）建字0004号
15,科研用房,中国科学院生态环境研究中心,密云区西田各庄镇云西二街,2021规自（密）建字0003号
16,科学研究用房,中国科学院大气物理研究所,密云区西田各庄镇云西一街,2021规自（密）建字0001号
