序号,品牌类型,所属区域,申报主体,申报品牌
1,区域公用品牌,平谷区,北京市平谷区农产品销售服务中心,平谷大桃
2,区域公用品牌,昌平区,北京市昌平区农业服务中心,昌平草莓
3,区域公用品牌,昌平区,北京市昌平区园林绿化局,昌平苹果
4,区域公用品牌,怀柔区,北京市怀柔区农业农村局,怀柔板栗
5,区域公用品牌,大兴区,北京市大兴区农业技术推广站,大兴西瓜
6,区域公用品牌,大兴区,北京市大兴区农产品产销联合会,大兴农品
7,区域公用品牌,密云区,北京市密云区农业农村局,密云农业
8,区域公用品牌,延庆区,北京绿富隆农业科技发展有限公司,妫水农耕
9,区域公用品牌,门头沟区,北京灵山绿产商贸有限公司,灵山绿产
10,区域公用品牌,首农食品集团,北京首农食品集团有限公司,北京鸭
11,企业品牌,平谷区,北京金果丰果品产销专业合作社,甜.那溪
12,企业品牌,平谷区,北京康安利丰农业有限公司,康安利丰
13,企业品牌,平谷区,北京千喜鹤食品有限公司,千喜鹤
14,企业品牌,平谷区,北京鑫桃源商贸有限公司,鑫桃园
15,企业品牌,平谷区,北京绿农兴云果品产销专业合作社,绿农兴云
16,企业品牌,平谷区,北京京东绿谷蔬菜产销专业合作社,京绿谷源
17,企业品牌,平谷区,北京林淼有机果蔬种植有限公司,林淼
18,企业品牌,平谷区,北京味食源食品科技有限责任公司,味食源
19,企业品牌,密云区,北京利农富民葡萄种植专业合作社,天葡庄园
20,企业品牌,密云区,北京诚凯成柴鸡养殖专业合作社,凯诚
21,企业品牌,密云区,北京金地达源果品专业合作社,金地达源
22,企业品牌,密云区,北京新宇阳光农副产品产销专业合作社,新宇阳光
23,企业品牌,密云区,北京密农人家农业科技有限公司,密农人家
24,企业品牌,密云区,北京密水农家农产品产销专业合作社,密水农家
25,企业品牌,密云区,北京喜逢春雨农业科技发展有限公司,喜逢春雨
26,企业品牌,怀柔区,北京红螺食品有限公司,红螺食品
27,企业品牌,怀柔区,北京老栗树聚源德种植专业合作社,老栗树
28,企业品牌,通州区,北京中农富通园艺有限公司,富通大潮来
29,企业品牌,通州区,北京聚牧源农业专业合作社,聚牧源
30,企业品牌,房山区,北京燕都食品有限公司,燕都中原
31,企业品牌,房山区,北京澳特舒尔保健品开发有限公司,碧生源
32,企业品牌,房山区,北京南河北星农业发展有限公司,南河北星
33,企业品牌,房山区,北京凯达恒业农业技术开发有限公司,凯达恒业
34,企业品牌,房山区,北京波龙堡葡萄酒业有限公司,波龙堡酒庄
35,企业品牌,房山区,北京三江宏利牧业有限公司,三江宏利
36,企业品牌,房山区,北京天蜂奇科技开发有限公司,天蜂奇
37,企业品牌,房山区,北京利民恒华农业科技有限公司,皇城货郎
38,企业品牌,房山区,北京颐景园种植专业合作,京农颐景园
39,企业品牌,房山区,北京首诚农业发展有限公司,首诚
40,企业品牌,房山区,北京莱恩堡葡萄酒业有限公司,莱恩堡
41,企业品牌,昌平区,北京天安农业发展有限公司,小汤山
42,企业品牌,昌平区,北京黑山寨果品专业合作社,黑山寨
43,企业品牌,昌平区,北京万德园农业科技发展有限公司,万德庄园
44,企业品牌,昌平区,北京鑫城缘果品专业合作社,鑫城缘
45,企业品牌,昌平区,北京金华林养蜂专业合作社,赤萝秀
46,企业品牌,昌平区,北京军都山红苹果专业合作社,军都山
47,企业品牌,昌平区,北京圣泉农业专业合作社,红泥乐农场
48,企业品牌,昌平区,北京天润园草莓专业合作社,天润园
49,企业品牌,顺义区,顺鑫控股集团,顺鑫控股
50,企业品牌,顺义区,北京食为先生态农业园有限责任公司,食为先
51,企业品牌,顺义区,北京通顺康泰农业有限公司,顺民义
52,企业品牌,顺义区,北京优帝鸽业有限公司,硒全食美
53,企业品牌,顺义区,北京兴农鼎力种植专业合作社,兴农鼎力
54,企业品牌,顺义区,北京永顺华蔬菜种植有限公司,永顺华
55,企业品牌,顺义区,北京顺鑫华顺源农业科技发展有限公司,华顺源
56,企业品牌,顺义区,北京顺鑫鑫源食品集团有限公司,顺鑫鑫源
57,企业品牌,顺义区,北京市双河果园,鑫双河
58,企业品牌,顺义区,北京市北郎中农工贸集团,北郎中
59,企业品牌,顺义区,北京纯然生态科技有限公司,purelife
60,企业品牌,大兴区,北京老宋瓜果专业合作社,宋宝森
61,企业品牌,大兴区,北京庞各庄乐平农产品产销有限公司,乐苹
62,企业品牌,大兴区,北京庞安路西瓜专业合作社,庞各庄世同
63,企业品牌,大兴区,北京庞农兴农产品产销专业合作社,兴庞农
64,企业品牌,大兴区,北京李家巷西瓜产销专业合作社,李家巷
65,企业品牌,大兴区,北京宏福农业科技科技有限公司,宏福柿
66,企业品牌,大兴区,北京立征春雨农业专业合作社,立征春雨
67,企业品牌,大兴区,北京伍各庄益农农业专业合作社,伍各庄益农
68,企业品牌,大兴区,北京赵家场春华西甜瓜产销专业合作社,赵家场春华
69,企业品牌,大兴区,北京凤河联盈农业专业合作社联合社,北京凤河联盈
70,企业品牌,大兴区,北京安定贾尚种植有限公司,贾尚
71,企业品牌,门头沟区,北京清水云峰果业有限公司,拇指姑娘
72,企业品牌,门头沟区,北京灵之秀文化发展有限公司,灵之秀
73,企业品牌,延庆区,北京绿富隆农业科技发展有限公司,绿富隆
74,企业品牌,延庆区,北京北菜园农业科技发展有限公司,北菜园
75,企业品牌,延庆区,北京五福兴农种植农民专业合作社联合社,五福兴农
76,企业品牌,延庆区,北京王木营蔬菜种植专业合作社,妫川源
77,企业品牌,延庆区,北京德青源农业科技股份有限公司,德青源
78,企业品牌,首农食品集团,北京古船米业有限公司,古船（大米）
79,企业品牌,首农食品集团,北京京粮东方粮油贸易有限公司,古船（杂粮）
80,企业品牌,首农食品集团,北京市裕农优质农产品种植有限公司,裕农
81,企业品牌,首农食品集团,北京二商王致和食品有限公司,王致和
82,企业品牌,首农食品集团,北京市华都峪口禽业有限责任公司,峪口禽业
83,企业品牌,首农食品集团,北京养猪育种中心,BBSC
84,企业品牌,首农食品集团,北京百年栗园生态农业有限公司,百年栗园
85,企业品牌,首农食品集团,河北滦平华都食品有限公司,华都食品
86,产品品牌,平谷区,北京市北寨红杏销售中心,北寨
87,产品品牌,平谷区,北京野馨科技发展有限公司,金海湖
88,产品品牌,平谷区,北京市夏各庄田丰果品产销专业合作社,屈海全
89,产品品牌,平谷区,北京元宝山果品产销专业合作社,茅山后佛见喜梨
90,产品品牌,密云区,北京泰民同丰农业科技有限公司,泰民同丰
91,产品品牌,密云区,北京山缘民间传统手工艺品有限公司,云艺古坊枕
92,产品品牌,密云区,北京奥金达农业科技发展有限公司,花彤牌
93,产品品牌,密云区,北京庄头峪潮河果品专业合作社,潮河果品
94,产品品牌,密云区,北京潼玉华硕农产品产销专业合作社,密之蓝天
95,产品品牌,密云区,北京密鑫农业发展有限公司,檀洲
96,产品品牌,密云区,北京奥仪凯源蔬菜种植专业合作社,奥仪青源
97,产品品牌,密云区,北京京纯养蜂专业合作社,京密
98,产品品牌,密云区,北京健农特色农产品种植专业合作社,墨粟
99,产品品牌,怀柔区,北京三山蔬菜产销专业合作社,绿手
100,产品品牌,怀柔区,北京张泽林板栗购销专业合作社,栗山翁
101,产品品牌,通州区,北京锦成达养殖有限公司,京城老鱼
102,产品品牌,房山区,北京德润通农业科技发展有限公司,京一根
103,产品品牌,房山区,北京琦彩鸿农业发展有限公司,琦彩鸿
104,产品品牌,房山区,北京窦店益生清真肉业有限公司,窦店益生
105,产品品牌,房山区,北京蜓好农业科技有限公司,蜓好
106,产品品牌,顺义区,北京顺沿特种蔬菜基地,沿特
107,产品品牌,顺义区,北京顺鑫农业股份有限公司鹏程食品分公司,鹏程
108,产品品牌,顺义区,北京顺丽鑫园林绿化工程有限责任公司,顺丽鑫
109,产品品牌,顺义区,北京硕丰磊白山药产销专业合作社,硕丰磊
110,产品品牌,顺义区,北京绿富农果蔬产销专业合作社,水云天
111,产品品牌,顺义区,北京绿奥蔬菜合作社,绿奥
112,产品品牌,顺义区,北京神农天地农业科技有限公司,益婷
113,产品品牌,顺义区,北京草帽人家农业科技有限公司,草帽公社
114,产品品牌,顺义区,北京市杰海农业科技发展有限公司,老兵农场
115,产品品牌,顺义区,北京箭杆河边农业科技发展专业合作社,前鲁
116,产品品牌,顺义区,北京万海瑞通农业科技发展有限公司,北京臭鱼
117,产品品牌,顺义区,北京中禾清雅芽菜生产有限公司,福来芽
118,产品品牌,顺义区,北京龙湾巧嫂果品产销专业合作社,龙湾巧嫂
119,产品品牌,门头沟区,北京泗家水香椿种植专业合作社,泗家水
120,产品品牌,门头沟区,北京太子墓村苹果种植专业合作社,太子慕
121,产品品牌,门头沟区,北京百旺创新种植专业合作社,妙峰咯吱
