上市企业名单（经开区）,
序号,企业名称
1,航天长征化学工程股份有限公司
2,倍杰特集团股份有限公司
3,北京科蓝软件系统股份有限公司
4,北京百普赛斯生物科技股份有限公司
5,北京星网宇达科技股份有限公司
6,北京同益中新材料科技股份有限公司
7,北京盛通印刷股份有限公司
8,经纬纺织机械股份有限公司
9,北京利德曼生化股份有限公司
10,北京赛升药业股份有限公司
11,阿尔特汽车技术股份有限公司
12,北汽蓝谷新能源科技股份有限公司
13,北京和利时智能技术有限公司
14,首药控股(北京)股份有限公司
15,北京合康新能科技股份有限公司
16,中国航空科技工业股份有限公司
17,华安鑫创控股(北京)股份有限公司
18,康龙化成(北京)新药技术股份有限公司
19,北京神州细胞生物技术集团股份公司
20,北京天坛生物制品股份有限公司
21,中芯国际集成电路制造(北京)有限公司
22,北京百得利汽车进出口集团有限公司
23,北方导航控制技术股份有限公司
24,北京三元食品股份有限公司
25,中国黄金集团黄金珠宝股份有限公司
26,北京先瑞达医疗科技有限公司
27,中航航空电子系统股份有限公司
28,北京中石伟业科技股份有限公司
29,北京京运通科技股份有限公司
30,北京同仁堂科技发展股份有限公司
31,北京昭衍新药研究中心股份有限公司
32,北京华夏大地远程教育网络服务有限公司
33,北京义翘神州科技股份有限公司
34,永泰生物制药有限公司
35,加科思药业集团有限公司
36,京东健康股份有限公司
37,京东物流股份有限公司
38,京东集团股份有限公司
39,北京凯因科技股份有限公司
40,森特士兴集团股份有限公司
41,悦康药业集团股份有限公司
42,舒泰神(北京)生物制药股份有限公司
