序号,社会统一信用代码,企业名称,北京市_专精特新_中小企业认定年度,北京市_专精特新_中小企业认定批次,北京市_专精特新_中小企业认定时间,北京市专精特新_小巨人_企业认定年度,北京市专精特新_小巨人_企业认定批次,北京市专精特新_小巨人_企业认定时间,国家级专精特新_小巨人_企业认定年度,国家级专精特新_小巨人_企业认定批次,国家级专精特新_小巨人_企业认定时间
1,91110101558503117M,北京中创碳投科技有限公司,2020.0,第一批,2020-07-01 00:00:00,2021,第一批,2021-05-01,2021.0,第三批,2021-07-01
2,9111010178553620XM,北京盟力星科技有限公司,2020.0,第一批,2020-07-01 00:00:00,,,,,,
3,91110101765510395B,观典防务技术股份有限公司,2020.0,第一批,2020-07-01 00:00:00,2021,第一批,2021-05-01,2021.0,第三批,2021-07-01
4,91110115786866737F,联创新世纪（北京）品牌管理股份有限公司,2020.0,第一批,2020-07-01 00:00:00,,,,,,
5,91110108080457691R,北京和气聚力教育科技有限公司,2020.0,第一批,2020-07-01 00:00:00,,,,,,
6,9111010180122707XB,北京国科天创建筑设计院有限责任公司,2020.0,第一批,2020-07-01 00:00:00,,,,,,
7,91110106766754842Q,中化环境大气治理股份有限公司,2020.0,第一批,2020-07-01 00:00:00,2021,第二批,2022-03-01,,,
8,91110101101229584A,北京联飞翔科技股份有限公司,2020.0,第二批,2020-08-01 00:00:00,2021,第二批,2022-03-01,,,
9,91110101MA00F62J3U,爱动超越人工智能科技（北京）有限责任公司,2020.0,第二批,2020-08-01 00:00:00,,,,,,
10,91110101055578643P,联信弘方（北京）科技股份有限公司,2020.0,第二批,2020-08-01 00:00:00,,,,2023.0,第五批,2023-08-01
11,91110101336428051B,北京元光智行信息技术有限公司,2021.0,第一批,2021-05-01 00:00:00,,,,,,
12,9111010155855263XP,北京百悟科技有限公司,2021.0,第二批,2021-06-01 00:00:00,2021,第一批,2021-05-01,,,
13,9111010539906884XU,北京云杉信息技术有限公司,2021.0,第二批,2021-06-01 00:00:00,,,,,,
14,91110101400685758N,北京市计算中心有限公司,2021.0,第二批,2021-06-01 00:00:00,,,,,,
15,911101017985139392,北京特里尼斯石油技术股份有限公司,2021.0,第三批,2021-07-01 00:00:00,,,,,,
16,91110101MA002N1D30,智慧足迹数据科技有限公司,2021.0,第四批,2021-08-01 00:00:00,2021,第二批,2022-03-01,2023.0,第五批,2023-08-01
17,91110102MA01FFJ36J,中能融合智慧科技有限公司,2021.0,第四批,2021-08-01 00:00:00,2021,第二批,2022-03-01,2022.0,第四批,2022-08-09
18,91110108MA019K0CX2,北京神工科技有限公司,2021.0,第四批,2021-08-01 00:00:00,,,,,,
19,91110101306551438N,北京七维视觉科技有限公司,2021.0,第六批,2021-10-01 00:00:00,,,,,,
20,91110108339699535C,北京国信达数据技术有限公司,2021.0,第六批,2021-10-01 00:00:00,,,,,,
21,91110101688385577B,北京卓因达科技有限公司,2021.0,第六批,2021-10-01 00:00:00,2021,第二批,2022-03-01,,,
22,91110101318152733K,秒秒测科技（北京）有限公司,2021.0,第六批,2021-10-01 00:00:00,2021,第二批,2022-03-01,,,
23,91110101675096637F,北京盛美诺生物技术有限公司,2021.0,第六批,2021-10-01 00:00:00,,,,,,
24,91110108802016856N,全时云商务服务股份有限公司,2021.0,第六批,2021-10-01 00:00:00,,,,,,
25,91110108665636759H,北京迈道科技有限公司,2021.0,第七批,2021-11-01 00:00:00,2021,第二批,2022-03-01,,,
26,91110105MA019UY647,北京华恒盛世科技有限公司,2021.0,第七批,2021-11-01 00:00:00,,,,,,
27,91110101MA009QTF4P,北京保利票务发展有限公司,2021.0,第七批,2021-11-01 00:00:00,,,,,,
28,91110101763533518G,北京蓬阳丰业科技有限公司,2021.0,第七批,2021-11-01 00:00:00,,,,,,
29,911101057488192516,北京鉴衡认证中心有限公司,2022.0,第一批,2022-01-01 00:00:00,2021,第二批,2022-03-01,,,
30,91110101062789289B,中林信达（北京）科技信息有限责任公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
31,911101017868878020,北京大道信通科技股份有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
32,9111010168924459XY,北京奇峰聚能科技有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
33,911101011015776853,北京华麒通信科技有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
34,91110101MA00BF2M0P,中科磐云（北京）科技有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
35,91110101748836377G,北京光音网络发展股份有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
36,91110101752628239B,北京华博创科科技股份有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
37,911101013354534232,北京比利信息技术有限公司,2022.0,第一批,取消复核资格,,,,,,
38,911101087351227898,北京天行远景科技股份有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
39,91110105556854124G,图谱天下（北京）科技有限公司,2022.0,第一批,2022-01-01 00:00:00,,,,,,
