2023年东城园国家高新技术企业名单,Unnamed: 1,Unnamed: 2
序号,企业名称,企业统一社会信用代码
1,北京中竞鸽体育文化发展有限公司,91110108MA007PEG30
2,北京七维视觉科技有限公司,91110101306551438N
3,北京麦钉艾特科技有限公司,91110101MA00AWPH7N
4,北京长宽通信服务有限公司,91110101MA01K1H59K
5,北京闻煊科技有限公司,91110101MA01PC2N8B
6,中交三公局桥梁隧道工程有限公司,911101017763784659
7,北京太格时代自动化系统设备有限公司,9111010876142254XU
8,北京高和华泰节能环保科技有限公司,91110101801211094W
9,北京铁甲钢拳科技有限公司,91110101MA00B1X85X
10,北京千代福信息技术有限公司,91110101685123117R
11,北京联众信安科技有限公司,91110101585883995E
12,彪洋科技（北京）有限公司,91110101665600377Y
13,北京战龙网络科技有限公司,91110107351599334F
14,联信弘方（北京）科技股份有限公司,91110101055578643P
15,北京裕芃科技有限公司,91110101MA01GLXJ84
16,北京兴中海建工程造价咨询有限公司,91110101749364199F
17,北京卓帆科技有限公司,91110101339804921U
18,北京富源汇丰科技有限公司,9111010157901809XM
19,北京中企华资产评估有限责任公司,91110101633784423X
20,北京创联教育投资有限公司,911101017848089476
21,北京乐享互动网络科技股份有限公司,911101016812463477
22,图谱天下（北京）科技有限公司,91110105556854124G
23,智相健康科技（北京）有限公司,91110101335458953M
24,北京度衡之道医药科技有限公司,91110101085485245W
25,北京博衍思创信息科技有限公司,91110101092927398D
26,北京艾唯博瑞科技有限公司,91110101699583309X
27,金保信社保卡科技有限公司,91110101MA01FJ2E9K
28,北京北明兆业科技有限公司,91110101335594234K
29,北京科能腾达信息技术股份有限公司,911101017214323992
30,北京星奥科技股份有限公司,91110101700246220E
31,北京创今世纪科技有限公司,91110101700223109D
32,北京奇华通讯有限公司,911101011014471860
33,北京大道信通科技股份有限公司,911101017868878020
34,中文在线数字出版集团股份有限公司,91110000802044347C
35,光宝联合（北京）科技股份有限公司,9111010878484362X7
36,北京云杉易迅科技有限公司,91110108092438041Q
37,北京东方科达教育科技有限公司,91110108306768645E
38,爱动超越人工智能科技（北京）有限责任公司,91110101MA00F62J3U
39,北京日升天信科技股份有限公司,911101017214243646
40,北京畅顺优科教育科技有限公司,9111010808054383XK
41,北京央图文化科技有限公司,91110101X00381050D
42,建设综合勘察研究设计院有限公司,91110000400002689G
43,锐合新创科技（北京）有限公司,91110105MA01KLXG5R
44,北京煜龙时空教育科技发展有限公司,911101086883531370
45,北京新网达通科技有限公司,911101016828630136
46,中科磐云（北京）科技有限公司,91110101MA00BF2M0P
47,弘成科技发展有限公司,91110000717748796R
48,北京创联国培云科技有限公司,911101016621589583
49,北京航星机器制造有限公司,91110101101213195L
50,北京航星科技有限公司,911101011012133471
51,北京起重运输机械设计研究院有限公司,91110101400001782W
52,北京市软银科技开发有限责任公司,91110101102914348K
53,中国神华煤制油化工有限公司,91110000710931432M
54,北京成鑫盈通科技有限公司,91110101082841056H
55,未来新视界教育科技（北京）有限公司,91110101MA00C89P69
56,东方梦幻虚拟现实科技有限公司,91110108774079154C
57,北京中科盘古科技发展有限公司,91110107592305624W
58,中航金林科技（北京）有限公司,91110101069632874C
59,北京德迈特科技发展有限公司,911101017906992068
60,碧普华瑞环境技术（北京）有限公司,9111010105732492XT
61,北京蒙树生态环境工程有限公司,911101087433182395
62,北京畅想数字音像科技股份有限公司,911100007975511753
63,北京中腾佰脉医疗科技有限责任公司,91110101MA0056WN23
64,谷武（北京）科技有限公司,91110101317934768K
65,北京未科教育科技有限公司,91110101MA018Y32XB
66,北京金华汉新技术有限责任公司,91110101101871665D
67,北京奇智睿思信息咨询有限公司,91110101067332683T
68,北京格尔国信科技有限公司,911101017934412355
69,蔷薇聚信（北京）科技有限公司,91110108MA01KJY21H
70,北京当当科文电子商务有限公司,91110101766792849N
71,北京当当网信息技术有限公司,91110000600065238C
72,北京中景崴科技有限公司,911101016963190276
73,北京爱酷游科技股份有限公司,911101026923442179
74,中煤信息技术（北京）有限公司,91110101740444440T
75,北京观水科技信息服务有限责任公司,911101010975558886
76,惠每数科（北京）医疗科技有限公司,91110105MA01L7H50L
77,北京树熊科技有限公司,9111010131832067X2
78,北京联合易网网络技术开发有限公司,91110115792142241C
79,北京爱搜时代科技有限公司,91110114MA003ET14D
80,北京展创科技有限公司,91110101777086843F
81,北京金谷远见科技有限公司,91110101MA00GE7Y5C
82,北京经纬传奇医药科技有限公司,91110101684387831B
83,凯弘新创（北京）科技有限公司,91110101MA01LYWB9H
84,北京威特通科技有限公司,9111010180123224X7
85,东斓视觉科技发展（北京）有限公司,91110101317902360E
86,北京协合运维风电技术有限公司,91110101563601387F
87,北京心有灵犀科技有限公司,911101053302710144
88,北京瑞捷创新科技有限责任公司,91110112MA008LKH4B
89,北京源深联众环保科技有限责任公司,91110102741597051U
90,北京橙色风暴数字技术有限公司,91110108674295079L
91,北京长江脉医药科技有限责任公司,91110101101215684B
92,北京亚希尔科技有限公司,911101016995554126
93,北京昆尚文化传媒有限责任公司,91110105399655331R
94,北京奇峰聚能科技有限公司,9111010168924459XY
95,北京瑞得音信息技术有限公司,91110116693289424C
96,北京外企人才网络技术服务有限公司,91110000801724017L
97,北京睿企信息科技有限公司,91110108MA00EHFX54
98,北京共识数信科技有限公司,91110108MA01E53C5A
99,北京创业酵母管理咨询有限公司,91110111318173657J
100,北京氦图科技有限公司,91110108MA01NM0J9D
101,海量安全技术有限公司,91440300MA5DPMWWXH
102,北京华博创科科技股份有限公司,91110101752628239B
103,中科宏一教育科技集团有限公司,9111010855140831XG
104,北京宏盛高新技术有限公司,91110102766757584X
105,天禹文化集团有限公司,91110000741570705N
106,中科链安（北京）科技有限公司,91110108MA01WA0Y8M
107,北京博数智源人工智能科技有限公司,91110112MA01K2Y253
108,天禹文化产业集团有限公司,91110108MA0198RE58
109,联创新世纪（北京）品牌管理股份有限公司,91110115786866737F
110,北京国信达数据技术有限公司,91110108339699535C
111,北京通尚网络技术股份有限公司,91110105MA0199KW01
112,北京和缓医疗科技有限公司,91110101327256403T
113,北京洞察力科技股份有限公司,9111010169504026X2
114,《全国新书目》杂志有限责任公司,91110101599626287Q
115,中交第四公路工程局有限公司,9111000010123202XN
116,北京瑞岚卓越科技股份有限公司,9111010579512564X3
117,北京得网时代信息技术有限公司,91110105699574074X
118,北京宏达隆和科技有限公司,91110101587721201X
119,天翼云科技有限公司,91110101MA04CBKC17
120,微积分创新科技（北京）股份有限公司,91110101053625717G
121,北京北广传媒移动电视有限公司,91110000754196791Q
122,北京华航海鹰新技术开发有限责任公司,91110101102990252D
123,北京中研百草检测认证有限公司,91110101MA00E9XQ00
124,北京航星中云科技有限公司,91110101089676313N
125,北京艾美迪科技股份有限公司,911101018012319411
126,鑫永昊（北京）石油工程服务有限公司,91110101560443483E
127,北京新美互通科技有限公司,911101055712026504
128,北京骏陇国际石油工程技术有限公司,91110101078531071P
129,北京国通创安报警网络技术有限公司,911101087629526226
130, 北京家视天下科技有限公司,91110108584417490X
131,北京永航科技有限公司,91110101771586855E
132,捷英佳绩（北京）科技有限公司,911101013512749518
133,北京纷扬科技有限责任公司,911101010648937416
134,北京言子初科技有限公司,91110108MA01QMBK3R
135,中国诚信信用管理股份有限公司,91110000102067046X
136,美亚宏信（北京）信息技术有限公司,91110108MA017DJ888
137,北京光线传媒股份有限公司,91110000722604869A
138,北京光线影业有限公司,9111010176750647X9
139,北京聚安汇智科技有限公司,91110101MA005G876N
140,中海油能源发展股份有限公司,91110101771554423Q
141,北京紫东科技有限公司,91110101699566840Q
142,北京百悟科技有限公司,9111010155855263XP
143,北京北广传媒城市电视有限公司,91110101769926347J
144,百川信（北京）信息服务有限公司,91350200302969730N
145,北京耕新教育文化有限责任公司,91110101MA008BA550
146,北京高创汇智科技有限公司,91110108306524376J
147,北京瑞特佳科技有限公司,9111010174042786XK
148,北京试玩互动科技有限公司,91110101MA018RMF8R
149,北京卓因达科技有限公司,91110101688385577B
150,北京宏林科技发展有限公司,9111010110122541XX
