序号,所属园区,所属行业,企业名称,上市日期,上市板块,上市地点
1,海淀园,房地产,北大资源(控股)有限公司,1991/10/7,主板,香港联交所
2,海淀园,工业,神州高铁技术股份有限公司,1992/5/7,主板,深圳
3,朝阳园,房地产,北京电子城高科技集团股份有限公司,1993/5/24,主板,上海
4,海淀园,信息技术,联想集团有限公司,1994/2/14,主板,香港联交所
5,海淀园,信息技术,北京航天长峰股份有限公司,1994/4/25,主板,上海
6,海淀园,信息技术,方正控股有限公司,1995/12/21,主板,香港联交所
7,顺义园,公用事业,渤海水业股份有限公司,1996/9/13,主板,深圳
8,海淀园,工业,中国船舶重工集团海洋防务与信息对抗股份有限公司,1996/11/4,主板,上海
9,亦庄园,金融,经纬纺织机械股份有限公司,1996/12/10,主板,深圳
10,东城园,医疗保健,中国医药健康产业股份有限公司,1997/5/15,主板,上海
11,朝阳园,医疗保健,北京万东医疗科技股份有限公司,1997/5/19,主板,上海
12,朝阳园,医疗保健,华润双鹤药业股份有限公司,1997/5/22,主板,上海
13,海淀园,材料,北新集团建材股份有限公司,1997/6/6,主板,深圳
14,朝阳园,信息技术,京东方科技集团股份有限公司,1997/6/10,主板,深圳
15,大兴园,医疗保健,北京同仁堂股份有限公司,1997/6/25,主板,上海
16,海淀园,信息技术,同方股份有限公司,1997/6/27,主板,上海
17,顺义园,日常消费,北京燕京啤酒股份有限公司,1997/7/16,主板,深圳
18,海淀园,工业,中国东方红卫星股份有限公司,1997/9/8,主板,上海
19,海淀园,可选消费,中信国安信息产业股份有限公司,1997/10/31,主板,深圳
20,东城园,可选消费,中青旅控股股份有限公司,1997/12/3,主板,上海
21,昌平园,可选消费,北汽福田汽车股份有限公司,1998/6/2,主板,上海
22,丰台园,工业,北方国际合作股份有限公司,1998/6/5,主板,深圳
23,通州园,可选消费,北京华联商厦股份有限公司,1998/6/16,主板,深圳
24,大兴园,医疗保健,北京天坛生物制品股份有限公司,1998/6/16,主板,上海
25,海淀园,信息技术,大唐电信科技股份有限公司,1998/10/21,主板,上海
26,丰台园,医疗保健,中牧实业股份有限公司,1999/1/7,主板,上海
27,顺义园,材料,有研新材料股份有限公司,1999/3/19,主板,上海
28,海淀园,医疗保健,北京中关村科技发展(控股)股份有限公司,1999/7/12,主板,深圳
29,海淀园,信息技术,紫光股份有限公司,1999/11/4,主板,深圳
30,海淀园,信息技术,UT斯达康控股公司,2000/3/3,主板,纳斯达克
31,海淀园,材料,北京中科三环高技术股份有限公司,2000/4/20,主板,深圳
32,朝阳园,医疗保健,蓝星安迪苏股份有限公司,2000/4/20,主板,上海
33,海淀园,材料,安泰科技股份有限公司,2000/5/29,主板,深圳
34,海淀园,信息技术,搜狐网络有限责任公司,2000/7/12,主板,纳斯达克
35,海淀园,信息技术,北京北大青鸟环宇科技股份有限公司,2000/7/27,创业板,香港联交所
36,丰台园,工业,中成进出口股份有限公司,2000/9/6,主板,深圳
37,亦庄园,医疗保健,北京同仁堂科技发展股份有限公司,2000/10/31,主板,香港联交所
38,海淀园,信息技术,大恒新纪元科技股份有限公司,2000/11/29,主板,上海
39,西城园,工业,中农发种业集团股份有限公司,2001/1/19,主板,上海
40,顺义园,信息技术,中国民航信息网络股份有限公司,2001/2/7,主板,香港联交所
41,海淀园,可选消费,北京歌华有线电视网络股份有限公司,2001/2/8,主板,上海
42,海淀园,可选消费,北京巴士传媒股份有限公司,2001/2/16,主板,上海
43,海淀园,信息技术,用友网络科技股份有限公司,2001/5/18,主板,上海
44,丰台园,工业,中铁高新工业股份有限公司,2001/5/28,主板,上海
45,海淀园,信息技术,神州数码控股有限公司,2001/6/1,主板,香港联交所
46,海淀园,信息技术,首都信息发展股份有限公司,2001/12/21,主板,香港联交所
47,朝阳园,工业,天地科技股份有限公司,2002/5/15,主板,上海
48,昌平园,信息技术,中国软件与技术服务股份有限公司,2002/5/17,主板,上海
49,丰台园,工业,北京金自天正智能控制股份有限公司,2002/9/19,主板,上海
50,昌平园,信息技术,赛迪顾问股份有限公司,2002/12/12,主板,香港联交所
51,昌平园,工业,三一重工股份有限公司,2003/7/3,主板,上海
52,亦庄园,工业,北方导航控制技术股份有限公司,2003/7/4,主板,上海
53,昌平园,医疗保健,中国医疗集团有限公司,2003/7/10,创业板,香港联交所
54,海淀园,信息技术,航天信息股份有限公司,2003/7/11,主板,上海
55,大兴园,日常消费,北京三元食品股份有限公司,2003/9/15,主板,上海
56,亦庄园,工业,中国航空科技工业股份有限公司,2003/10/30,主板,香港联交所
57,海淀园,信息技术,慧聪集团有限公司,2003/12/17,主板,香港联交所
58,丰台园,工业,北京动力源科技股份有限公司,2004/4/1,主板,上海
59,海淀园,信息技术,北京华胜天成科技股份有限公司,2004/4/27,主板,上海
60,海淀园,房地产,宝新置地集团有限公司,2004/4/30,主板,香港联交所
61,丰台园,材料,北矿科技股份有限公司,2004/5/12,主板,上海
62,丰台园,日常消费,国投中鲁果汁股份有限公司,2004/6/22,主板,上海
63,通州园,可选消费,李宁有限公司,2004/6/28,主板,香港联交所
