所属园区,所属行业,企业名称,挂牌日期,挂牌板块
平谷园,信息传输、软件和信息技术服务业,北京盛知信息技术股份有限公司,2022-01-28,新三板
昌平园,制造业,北京广厦环能科技股份有限公司,2022-05-11,新三板
海淀园,制造业,北京阅微基因技术股份有限公司,2022-06-27,新三板
海淀园,制造业,北京北化高科新技术股份有限公司,2022-07-01,新三板
西城园,信息传输、软件和信息技术服务业,北京道亨软件股份有限公司,2022-07-14,新三板
海淀园,制造业,北京华腾新材料股份有限公司,2022-07-28,新三板
通州园,制造业,北京华科泰生物技术股份有限公司,2022-08-08,新三板
顺义园,信息传输、软件和信息技术服务业,北京梦天门科技股份有限公司,2022-08-11,新三板
朝阳园,制造业,佰利天控制设备(北京)股份有限公司,2022-08-12,新三板
海淀园,信息传输、软件和信息技术服务业,北京华亿创新信息技术股份有限公司,2022-08-18,新三板
丰台园,信息传输、软件和信息技术服务业,北京云星宇交通科技股份有限公司,2022-08-18,新三板
密云园,水利、环境和公共设施管理业,北京国环莱茵环保科技股份有限公司,2022-08-23,新三板
大兴园,信息传输、软件和信息技术服务业,北京瑞华赢科技发展股份有限公司,2022-08-24,新三板
怀柔园,制造业,北京祥瑞生物制品股份有限公司,2022-09-01,新三板
朝阳园,租赁和商务服务业,智者同行品牌管理顾问(北京)股份有限公司,2022-09-13,新三板
海淀园,信息传输、软件和信息技术服务业,北京帮安迪信息科技股份有限公司,2022-09-19,新三板
海淀园,信息传输、软件和信息技术服务业,北京沐融信息科技股份有限公司,2022-10-12,新三板
大兴园,制造业,北京世纪东方智汇科技股份有限公司,2022-11-08,新三板
顺义园,制造业,北京科荣达航空科技股份有限公司,2022-11-14,新三板
