"中关村科技园区海淀园企业博士后
科研工作站分站名单",,,,,,,,,,,,
序号,单位名称,,,,,,,,,,,
1,北新建材集团有限公司,,,,,,,,,,,
2,启明星辰信息技术集团股份有限公司,,,,,,,,,,,
3,北京和利时系统工程有限公司,,,,,,,,,,,
4,北京双鹭药业股份有限公司,,,,,,,,,,,
5,阿里巴巴云计算（北京）有限公司,,,,,,,,,,,
6,中关村科学城城市大脑股份有限公司,,,,,,,,,,,
7,北京大北农科技集团股份有限公司,,,,,,,,,,,
8,京北方信息技术股份有限公司,,,,,,,,,,,
9,北京网御星云信息技术有限公司,,,,,,,,,,,
10,同方威视技术股份有限公司,,,,,,,,,,,
11,广联达科技股份有限公司分站,,,,,,,,,,,
12,北京美尔斯通科技发展股份有限公司,,,,,,,,,,,
13,北京碧水源科技股份有限公司,,,,,,,,,,,
14,北京启迪创业孵化器有限公司,,,,,,,,,,,
15,大恒新纪元科技股份有限公司,,,,,,,,,,,
16,新锦动力集团股份有限公司,,,,,,,,,,,
17,北京天融信科技股份有限公司,,,,,,,,,,,
18,北京北斗星通导航技术股份有限公司,,,,,,,,,,,
19,北京林大林业科技股份有限公司,,,,,,,,,,,
20,绿盟科技集团股份有限公司,,,,,,,,,,,
21,曙光信息产业(北京)有限公司,,,,,,,,,,,
22,北京四方继保自动化股份有限公司,,,,,,,,,,,
23,北京安科兴业科技有限公司,,,,,,,,,,,
24,软通动力信息技术（集团）有限公司,,,,,,,,,,,
25,北京奥特美克科技股份有限公司,,,,,,,,,,,
26,北京合众思壮科技股份有限公司,,,,,,,,,,,
27,北京高能时代环境技术股份有限公司,,,,,,,,,,,
28,北京大数据研究院,,,,,,,,,,,
29,航天宏图信息技术股份有限公司,,,,,,,,,,,
30,北京清新环境技术股份有限公司,,,,,,,,,,,
31,北京市商汤科技开发有限公司,,,,,,,,,,,
32,北京中科飞鸿科技股份有限公司,,,,,,,,,,,
33,北京云道智造科技有限公司,,,,,,,,,,,
34,北京辰安科技股份有限公司,,,,,,,,,,,
35,北京国盾量子信息技术有限公司,,,,,,,,,,,
36,北京量子信息科学研究院*,,,,,,,,,,,
37,北京天心诺科技发展有限公司,,,,,,,,,,,
38,北京抖音信息服务有限公司,,,,,,,,,,,
39,北京智源人工智能研究院,,,,,,,,,,,
40,北京小米移动软件有限公司,,,,,,,,,,,
41,北京百分点信息科技有限公司,,,,,,,,,,,
42,谱尼测试集团股份有限公司,,,,,,,,,,,
43,联想(北京)有限公司,,,,,,,,,,,
44,北京华为数字技术有限公司*,,,,,,,,,,,
45,北京达佳互联信息技术有限公司,,,,,,,,,,,
46,豪尔赛科技集团股份有限公司,,,,,,,,,,,
47,中科寒武纪科技股份有限公司,,,,,,,,,,,
48,腾讯科技（北京）有限公司,,,,,,,,,,,
49,北京世纪农丰土地科技有限公司,,,,,,,,,,,
50,度小满科技（北京）有限公司,,,,,,,,,,,
51,北京酷佩体育文化中心,,,,,,,,,,,
52,海杰亚（北京）医疗器械有限公司,,,,,,,,,,,
53,北京中孚泰和科技发展有限公司,,,,,,,,,,,
54,北京联影智能影像技术研究院,,,,,,,,,,,
55,凌云光技术股份有限公司,,,,,,,,,,,
56,北京佰才邦技术股份有限公司,,,,,,,,,,,
57,北京中科昊芯科技有限公司,,,,,,,,,,,
58,网易有道信息技术（北京）有限公司,,,,,,,,,,,
59,国开启科量子技术（北京）有限公司,,,,,,,,,,,
60,北京望石智慧科技有限公司,,,,,,,,,,,
61,灵动科技（北京）有限公司,,,,,,,,,,,
62,北斗导航位置服务（北京）有限公司,,,,,,,,,,,
63,中科金审（北京）科技有限公司,,,,,,,,,,,
64,北京微芯区块链与边缘计算研究院,,,,,,,,,,,
65,北京华如科技股份有限公司,,,,,,,,,,,
66,北京基石生命科技有限公司,,,,,,,,,,,
67,北京海博思创科技股份有限公司,,,,,,,,,,,
68,银河航天（北京）网络技术有限公司,,,,,,,,,,,
69,第四范式（北京）技术有限公司,,,,,,,,,,,
70,北醒（北京）光子科技有限公司,,,,,,,,,,,
71,北京瑞莱智慧科技有限公司,,,,,,,,,,,
72,芯视界（北京）科技有限公司,,,,,,,,,,,
73,北京卡尤迪生物科技股份有限公司,,,,,,,,,,,
74,中关村泛联移动通信技术创新应用研究院,,,,,,,,,,,
75,北京市智谱华章科技有限公司,,,,,,,,,,,
76,北京茵诺医药科技有限公司,,,,,,,,,,,
77,北京中科闻歌科技股份有限公司,,,,,,,,,,,
78,北京华龛生物科技有限公司,,,,,,,,,,,
79,北京未磁科技有限公司,,,,,,,,,,,
80,北京脑陆科技有限公司,,,,,,,,,,,
81,北京佳格天地科技有限公司,,,,,,,,,,,
82,北京维德维康生物技术有限公司,,,,,,,,,,,
83,中科天玑数据科技股份有限公司,,,,,,,,,,,
84,北京新领先医药科技发展有限公司,,,,,,,,,,,
85,航天中认软件测评科技（北京）有限责任公司,,,,,,,,,,,
86,北京嘉博文生物科技有限公司,,,,,,,,,,,
87,北京北航天宇长鹰无人机科技有限公司,,,,,,,,,,,
88,雅江清洁能源科学技术研究（北京）有限公司,,,,,,,,,,,
89,北京开源芯片研究院,,,,,,,,,,,
90,摩尔线程智能科技（北京）有限责任公司,,,,,,,,,,,
91,北京深势科技有限公司,,,,,,,,,,,
