Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
序号,单位名称,村高新证书编号,技术领域名称大类
1,北京镨锐机械设备有限公司,20242130261103          ,新材料及应用技术
2,北京数字文明科技有限公司,20242130257101          ,电子与信息
3,中鹏未来有限公司,20242130261007          ,新能源与高效节能技术
4,北京依依嘉力能源科技有限公司,20242130253307          ,新能源与高效节能技术
5,北京中车长客二七轨道装备有限公司,20242130253204          ,先进制造技术
6,北京智博高科生物技术有限公司,20242130253002          ,生物工程和新医药
7,北京智盛万方科技有限公司,20242130247907          ,新能源与高效节能技术
8,北京京能燕开综合能源服务有限公司,20242130244307          ,新能源与高效节能技术
9,北京佰承科技有限公司,20242130243801          ,电子与信息
10,北京玖合云创数字科技有限公司,20242130243901          ,电子与信息
11,北京安赛克科技有限公司,20242130234404          ,先进制造技术
12,北京沁润泽环保科技有限公司,20242130234308          ,环境保护技术
13,北京方硕复合材料技术有限公司,20242130231603          ,新材料及应用技术
14,北京亿维智形科技有限公司,,电子与信息
15,北京震旦鼎泰生物科技有限公司,20242130234202          ,生物工程和新医药
16,北京京西重工有限公司,20242130229404          ,先进制造技术
17,北京昕源科技有限公司,20242130223501          ,电子与信息
18,北京迎微科技有限公司,20242130223401          ,电子与信息
19,北京维新科技发展有限公司,20242130221101          ,电子与信息
20,北京郅航科技有限公司,20242130220907          ,新能源与高效节能技术
21,众驾远航（北京）科技有限公司,20242130218301          ,电子与信息
22,北京中成康富科技股份有限公司,20242130212204          ,先进制造技术
23,北京九州尚阳科技有限公司,20242130208504          ,先进制造技术
24,未卜岁（北京）科技有限公司,20242130208401          ,电子与信息
25,北京欧百拓信息科技发展有限公司,20242130205901          ,电子与信息
26,华夏航空设备（北京）有限公司,20242130205405          ,航空航天技术
27,华太圣阳（北京）新能源有限公司,20242130198807          ,新能源与高效节能技术
28,北京通泰恒盛科技有限责任公司,20242130198601          ,电子与信息
29,原兴核技术（北京）有限公司,20242130195910          ,核应用技术
30,北京助力互联信息技术有限公司,20242130196401          ,电子与信息
31,北京衡枫科技有限公司,20242130196301          ,电子与信息
32,北京华腾盛和科技有限公司,20242130196204          ,先进制造技术
33,北京营昌科技有限公司,20242130196101          ,电子与信息
34,北京华宇辉煌生态环保科技股份有限公司,20242130148608          ,环境保护技术
35,北京百辰航科科技有限公司,20242130147905          ,航空航天技术
36,君联益能（北京）科技有限公司,20242130148304          ,先进制造技术
37,北京氢太科技有限公司,20242130144507          ,新能源与高效节能技术
38,北京燕化天钲建筑工程有限责任公司,20242130143811          ,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
39,北京婧钰技术有限公司,20242130143701          ,电子与信息
40,北京蓝途数智科技有限公司,20242130141501          ,电子与信息
41,北京丰得源水务科技有限公司,20242130120708          ,环境保护技术
42,北京瑞德合创科技发展有限公司,20242130120801          ,电子与信息
43,北京信思贤科技有限公司,20242130120201          ,电子与信息
44,北京晟元宇讯科技有限公司,20242130123201          ,电子与信息
45,北京市重型电缆厂,20242130120004          ,先进制造技术
46,北京数智大观科技有限公司,20242130120101          ,电子与信息
47,北京普凡防护科技股份有限公司,20242130117203          ,新材料及应用技术
48,北京知形科技有限公司,20242130090704          ,先进制造技术
49,北京飞燕石化环保科技发展有限公司,20242130090408          ,环境保护技术
50,新源清材科技（北京）有限公司,20242130090303          ,新材料及应用技术
51,北京云基科技股份有限公司,20242130089003          ,新材料及应用技术
52,北京岩星科技有限公司,20242130080301          ,电子与信息
53,北京诺士诚国际工程项目管理有限公司,20242130080201          ,电子与信息
54,北京宽途科技有限公司,20242130080001          ,电子与信息
55,北京市辰至半导体科技有限公司,20242130080401          ,电子与信息
56,北京行走天下科技有限公司,20242130087301          ,电子与信息
57,北京信合诚建设科技有限公司,20242130079711          ,与上述十大领域配套的相关技术产品，以及适合首都经济发展特点的其他高新技术及其产品
58,北京思卓博瑞科技有限公司,20242130073105          ,航空航天技术
59,北京瑞言科技有限公司,20242130073301          ,电子与信息
60,北京中宏中达科技有限公司,20242130072801          ,电子与信息
61,北京远大九和药业有限公司,20242130070902          ,生物工程和新医药
62,北京澄云科技有限公司,20242130061901          ,电子与信息
63,北京中石天马科技有限公司,20242130057104          ,先进制造技术
64,北京一联科技有限公司,20242130057004          ,先进制造技术
65,北京国信伟厦建筑科技有限公司,20242130051408          ,环境保护技术
66,华软盛科技有限公司,20242130036801          ,电子与信息
67,天纪智测（北京）科技有限公司,20242130038901          ,电子与信息
68,北京斯诺达科技有限公司,20242130036601          ,电子与信息
69,开元华创科技（集团）有限公司,20242130036101          ,电子与信息
70,北京聚原科技有限公司,20242130038102          ,生物工程和新医药
71,中巨建设有限公司,20242130035904          ,先进制造技术
72,北京商和建设集团有限公司,20242130025207          ,新能源与高效节能技术
73,北京豪钥科技股份有限公司,20242130022901          ,电子与信息
