序号,工程名称,建设单位,建设单位项目负责人,施工单位,施工单位项目负责人,编号,备案部门,竣工备案日期
1,北京市丰台区大红门街道大红门一期A区棚户区改造项目FT00-0516-0004地块R2二类居住用地项目（1-1#住宅楼等27项）,北京中海盈盛房地产开发有限公司,崔袁鹤,江苏江都建设集团有限公司,杨庆兵,0254丰竣2024(建)0033号,北京市丰台区住房和城乡建设委员会,2024-07-16
2,丰台区老年综合服务中心建设工程（丰台区老年综合服务中心）,北京市丰台区民政局,耿庆安,江苏省建筑工程集团有限公司,王洪杰,0238丰竣2024(建)0032号,北京市丰台区住房和城乡建设委员会,2024-07-01
3,丰台区花乡白盆窑二号路道路及配套雨水管线工程,北京中铁诺德盛兴置业有限公司,苏森浩,北京建工远大建设工程有限公司,刘宝典,0054丰竣2024(市政)0031号,北京市丰台区住房和城乡建设委员会,2024-06-24
4,北京市丰台区长辛店镇张郭庄村A区FT00-0203-6145、FT00-0203-6159地块R2二类居住用地项目（6145-01#住宅楼等13项、6145-09#住宅楼等16项 ）,北京首开卓越盈泰置业有限公司,王保龙,北京建工一建工程建设有限公司,魏勇,0217丰竣2024(建)0030号,北京市丰台区住房和城乡建设委员会,2024-06-21
5,丰台区西三环南路16号项目（1#商业楼等4项）装修工程,北京精图科工贸集团,郭崴,北京市丰房建筑工程有限公司,刘海龙,0034丰竣2024(装)0029号,北京市丰台区住房和城乡建设委员会,2024-06-20
6,北京市丰台区大红门街道大红门一期A区棚户区改造项目FT00-0516-0004地块R2二类居住用地项目（1-1#住宅楼等27项）,北京中海盈盛房地产开发有限公司,崔袁鹤,江苏江都建设集团有限公司,杨庆兵,0210丰竣2024(建)0028号,北京市丰台区住房和城乡建设委员会,2024-06-20
7,中直机关园博园职工住宅（保障房）工程6158地块（1#住宅等18项）及6166地块（封闭式垃圾收集站）,中共中央直属机关工程建设服务中心,陈辉,中国建筑第八工程局有限公司,戚肇刚,0181丰竣2024(建)0027号,北京市丰台区住房和城乡建设委员会,2024-05-24
8,中直机关园博园职工住宅（保障房）工程（6159地块）（1#住宅等20项）,中共中央直属机关工程建设服务中心,陈辉,北京城建集团有限责任公司,刘月明,0180丰竣2024(建)0026号,北京市丰台区住房和城乡建设委员会,2024-05-24
9,丰台区王佐镇魏各庄FT00-0503-0087、0088、0092地块（2#配套楼等26项）,北京万筑国青房地产有限公司,韩雪良,吉林省苏通建筑工程有限公司,杨金平,0172丰竣2024(建)0025号,北京市丰台区住房和城乡建设委员会,2024-05-11
10,丰台区王佐镇魏各庄FT00-0503-0087、0088、0092地块（0088-1#住宅楼等32项）,北京万筑国青房地产有限公司,董彦峥,吉林省苏通建筑工程有限公司,周皓,0171丰竣2024(建)0024号,北京市丰台区住房和城乡建设委员会,2024-05-11
11,丰台区南苑乡分钟寺村L-41地块R2二类居住用地项目（1#住宅楼等13#项）,北京合盛润景置业有限公司,高强,江苏扬建集团有限公司,徐鹏飞,0143丰竣2024(建)0023号,北京市丰台区住房和城乡建设委员会,2024-04-22
