丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
1,北京宛平迅捷销售有限公司,44744,(京丰)应急现记〔2022〕执00935号,否,合格,区应急管理局
2,北京市宏福鑫餐饮有限公司卢沟桥分公司,44744,(京丰)应急现记〔2022〕执00932号,是,合格,区应急管理局
3,北京市宏福鑫餐饮有限公司丰台区分公司,44744,(京丰)应急现记〔2022〕执00933号,是,合格,区应急管理局
4,北京苑津强加油站有限公司,44744,(京丰)应急现记〔2022〕执00931号,否,合格,区应急管理局
5,北京市宏福鑫餐饮有限公司北京分公司,44744,(京丰)应急现记〔2022〕执00934号,是,合格,区应急管理局
6,北京六必居食品有限公司天源食品厂,44746,(京丰)应急现记〔2022〕执00936号,否,合格,区应急管理局
7,中国石化销售股份有限公司北京长辛店石油库,44746,(京丰)应急现记〔2022〕执02885号,否,不合格（复查以后合格）,区应急管理局
8,北京壳牌石油有限公司槐房路加油站,44746,(京丰)应急现记〔2022〕执00937号,否,合格,区应急管理局
9,北京市紫光园餐饮有限责任公司丰台东铁营第二分公司,44747,(京丰)应急现记〔2022〕执00942号,否,合格,区应急管理局
10,北京鑫福海木栖园石化产品销售有限公司,44747,(京丰)应急现记〔2022〕执00938号,否,合格,区应急管理局
11,宝酒造食品有限公司（南苑）,44747,(京丰)应急现记〔2022〕执02888号,否,不合格（复查以后合格）,区应急管理局
12,中国盲文出版社,44747,(京丰)应急现记〔2022〕执00939号,否,合格,区应急管理局
13,中建二局第三建筑工程有限公司张郭庄村A区棚改三期项目,44747,(京丰)应急现记〔2022〕执00943号,否,合格,区应急管理局
14,安徽智达建设工程有限公司,44747,(京丰)应急现记〔2022〕执01179号,否,不合格（复查以后合格）,区应急管理局
15,北京金陆森修缮有限公司,44747,(京丰)应急现记〔2022〕执00941号,否,不合格（复查以后合格）,区应急管理局
16,北京亿君隆商贸有限公司,44748,(京丰)应急现记〔2022〕执00955号,是,合格,区应急管理局
17,北京慈孝宫餐饮管理有限公司,44748,(京丰)应急现记〔2022〕执00947号,否,合格,区应急管理局
18,北京市杜家坎加油站有限公司,44748,(京丰)应急现记〔2022〕执00957号,否,不合格（复查以后合格）,区应急管理局
19,北京艾森绿宝油脂有限公司,44748,(京丰)应急现记〔2022〕执00945号,是,合格,区应急管理局
