序号*,年份*,企业名称*,详细地址*,重点行业类型*,重点行业分支*,其他行业类型,管控类型*,红色预警_减排措施*,橙色预警_减排措施*,黄色预警_减排措施*
1,2020,北京京丰印刷厂,丰台刘庄子101号,其他,其他工业,出版物印刷,地方C,停用6台印刷机等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用6台印刷机等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
2,2020,北京鑫丰华彩印有限公司,洪泰庄100号,其他,其他工业,出版物印刷,地方C,停用印刷机8台、胶订机1台、复膜机1台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用印刷机8台、胶订机1台、复膜机1台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
3,2020,北京广达印刷有限公司,北京市丰台区永合庄755号,其他,其他工业,出版物印刷,地方C,停用印刷机3台、胶订机1台、复膜机1台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用印刷机3台、胶订机1台、复膜机1台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
4,2020,北京华宇信诺印刷有限公司,北京市丰台区王佐镇庄户工业园1号院,其他,其他工业,出版物印刷,地方C,停用印刷机4台，胶订机2台，复膜机2台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用印刷机4台，胶订机2台，复膜机2台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
5,2020,北京金工印刷有限公司,丰台区大瓦窑782号,其他,其他工业,出版物印刷,地方C,停用印刷机2台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用印刷机2台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
6,2020,北京印刷集团有限责任公司印刷一厂,北京市丰台区马家堡路69号,其他,其他工业,出版物印刷,民生豁免,印刷重要文件、教科书等特定保障任务时不停产,印刷重要文件、教科书等特定保障任务时不停产,印刷重要文件、教科书等特定保障任务时不停产
7,2020,北京印刷集团有限责任公司印刷一厂,北京市丰台区马家堡路69号,其他,其他工业,出版物印刷,地方C,停用多色胶印机4台、双面双色机2台、BB式印刷机1台、定位烫金机1台、烫金机1台、胶订机1台、圆盘机1台等涉VOCs排放工序，停止使用国四及以下重型载货车辆（含燃气）进行运输,停用多色胶印机4台、双面双色机2台、BB式印刷机1台、定位烫金机1台、烫金机1台、胶订机1台、圆盘机1台等涉VOCs排放工序，停止使用国四及以下重型载货车辆（含燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
8,2020,北京洛平龙业印刷有限责任公司,丰台区卢沟桥大瓦窑782号,其他,其他工业,出版物印刷,地方C,停用印刷机2台，胶订机1台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用印刷机2台，胶订机1台等涉VOCs排放工序；停止使用国四及以下重型载货车辆（含燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
9,2020,北京意诚信通智能卡股份有限公司分公司,北京市丰台区长辛店东山坡三里71号,包装印刷,其他类包装印刷,,D,停用3台UV印刷机，企业调墨、供墨、印刷、清洗等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用3台UV印刷机，企业调墨、供墨、印刷、清洗等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,停用3台UV印刷机，企业调墨、供墨、印刷、清洗等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输
10,2020,北京六建集团有限责任公司混凝土分公司,丰台区宛平城大瓦窑323号,水泥,水泥制品,,非绩效引领性企业,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
