序号,项目名称,创业单位,发布日期,,,,
1,肿瘤新生抗原个性化疫苗,北京索真新生生物医学技术有限公司,2019/8/16,,,,
2,关节置换植入物项目,北京安颂科技有限公司,2019/8/16,,,,
3,光学分子影像肿瘤精准手术导航系统,北京数字精准医疗科技有限公司,2019/8/16,,,,
4,边缘存算一体人工智能芯片,北京知存科技有限公司,2019/8/16,,,,
5,蓝色传感脑健康,蓝色传感（北京）科技有限公司,2019/8/16,,,,
6,RealAI第三代人工智能平台,北京瑞莱智慧科技有限公司,2019/8/16,,,,
7,无人车整车、线控底盘及无人车监控运营平台,北京中云智车科技有限公司,2019/8/16,,,,
8,快陪练,北京未来橙网络科技有限公司,2019/8/16,,,,
9,基于人工智能的大数据金融风控平台,慧安金科（北京）科技有限公司,2019/8/16,,,,
10,基于人工智能的工业车辆效率管理系统,爱动超越人工智能科技（北京）有限责任公司,2019/8/16,,,,
11,康源博创生物科技（北京）有限公司,康源博创生物科技（北京）有限公司,2019/8/16,,,,
12,垃圾发电制备多孔新型材料集成系统,北京绿安创华环保科技有限公司,2019/8/16,,,,
13,冰雪运动器材领域高可靠性粘接材料的产业化,北京迪尔捷科技有限公司,2019/8/16,,,,
14,高性能激光雷达解决方案,北京佳光科技有限公司,2019/8/16,,,,
15,深度桌面系统建设项目,北京深之度科技有限公司,2019/8/16,,,,
16,通过微商业运载火箭及小卫星定制化、一体式发射服务提供冰雪场景下的灾害监测等解决方案,北京零壹空间技术研究院有限公司,2019/8/16,,,,
17,针对中国女性乳腺癌筛查的数字乳腺体层合成系统,北京达影科技有限公司,2019/8/16,,,,
18,顶象全景式业务风控系统,北京顶象技术有限公司,2019/8/16,,,,
19,可快速建设并保证抗震安全的桥梁和房屋结构连接装置,北京ACII工程技术有限公司,2019/8/16,,,,
20,溶瘤病毒YH01,北京因美未来生物医药科技有限公司,2019/8/16,,,,
