企业名称,统一社会信用代码,所在区域,地址,联系电话,检查结果
北京朝批裕利商贸有限公司,91110105556847477X,朝阳区,北京市朝阳区双龙南里204楼4层4016,189****7697,合格
北京艾森绿宝油脂有限公司,911101066000115714,丰台区,北京市丰台区大红门黄亭子58号,139****7536,合格
北京古船油脂有限责任公司,91110000749372455M,丰台区,北京市丰台区大红门黄亭子58号,139****7536,合格
北京三家店粮食收储库有限公司斋堂粮库,91110109MA001DL1XT,门头沟区,北京市门头沟区斋堂镇斋堂粮库,139****9127,合格
北京三家店粮食收储库有限公司杨坨粮库,91110109102327848H,门头沟区,北京市门头沟区军庄镇西杨坨村,136****5685,合格
北京市西南郊粮食收储库有限公司南梨园分库,91110102633709300H,房山区,北京市房山区阎村镇南梨园村东,136****2619,合格
北京市良乡昊天粮食收储有限公司窦店分库,91110111102718451U,房山区,北京市房山区窦店镇大高舍村一区40号,136****0813,合格
北京市良乡昊天粮食收储有限公司石楼分库,91110111102718451U,房山区,北京市房山区石楼镇石楼大街11号,136****0506,合格
北京市良乡昊天粮食收储有限公司南观分库,91110111102718451U,房山区,北京市房山区青龙湖镇南观村,135****7673,合格
北京市京粮潞河粮食收储有限公司大杜社粮库,9111011267877953XN,通州区,北京市通州区马驹桥镇小杜社村东,135****3153,合格
北京市京粮潞河粮食收储有限公司永乐店粮库,91110112785526060W,通州区,北京市通州区永乐店镇德仁务村东,137****5157,合格
中粮福临门食品营销有限公司（北京市通州区马驹桥物流基地佳之兴1号库）,91120118MA05JU2BXR,通州区,北京市通州区马驹桥四支路佳之兴1号,139****3635,合格
北京大仓之道科技有限公司,91110105074105497F,通州区,北京市通州区漷县镇马头村,133****1111,合格
北京鼎立三通物流有限公司,91110105697728447R,通州区,北京市朝阳区南皋路123号院1-3号楼,139****2785,合格
北京市顺义牛栏山粮食收储有限公司,91110113102502247N,顺义区,北京市顺义区牛栏山镇正大路2号,138****0739,合格
北京市张辛粮食储备有限公司,91110113762982194M,顺义区,北京市顺义区京承铁路西侧（李桥镇张辛村南100米）,136****3089,合格
北京市京都金谷粮食购销有限公司,91110113102549213Q,顺义区,北京市顺义区牛山地区环岛东侧300米,138****1587,合格
北京市顺义王各庄粮食收储有限公司,91110113102501746Q,顺义区,顺义区北务镇王各庄村东,137****0112,合格
北京市东北郊粮食收储有限公司,911101136337098022,顺义区,北京市顺义区龙湾屯镇府前街7号,137****8352,合格
北京市顺义杨镇粮食收储有限公司,91110113102501287K,顺义区,北京市顺义区顺平路杨镇段31号,137****3882,合格
北京市顺义上辇粮食收储有限公司,91110113102502087F,顺义区,北京市顺义区北小营镇上辇村,135****9797,合格
北京市昌平粮食收储有限责任公司昌平库区,9111011410268524XF,昌平区,北京市昌平区马池口镇百泉庄村南608号,136****6333,合格
北京市昌平粮食收储有限责任公司沙河库区,9111011410268524XF,昌平区,北京市昌平区沙河镇西沙屯村北,136****8971,合格
北京市昌平粮食收储有限责任公司后牛坊库区,9111011410268524XF,昌平区,北京市昌平区小汤山镇南官庄村南,139****1776,合格
北大荒食品集团北京食品有限公司,91110114587695592N,昌平区,北京市昌平区昌平粮食收储库院内,137****4738,合格
北京金玉通惠商贸有限公司,91110112556812135B,昌平区,北京市通州区潞城镇武兴路5号1-10,136****4384,合格
北京兴粮青云店粮食收储有限公司,911101151029039480,大兴区,北京市大兴区青云店镇北,135****2596,合格
北京市南郊粮食收储有限公司,9111000063370351P,大兴区,北京市大兴区青云店镇市场街路北,186****4936,合格
北京天维康油脂调销中心有限公司,911101066343089129,大兴区,北京市大兴区南大庄桥东（国家储备库内）,186****3787,合格
北京桃山粮食储备有限公司,9111011610259433XY,怀柔区,北京市怀柔区庙城镇桃山村东,135****3038,合格
北京市怀柔杨宋粮食收储有限公司,91110116102594081C,怀柔区,北京市怀柔杨宋镇兴杨路1号,139****6098,合格
北京市平谷官庄粮食收储有限公司,91110117102917434P,平谷区,北京市平谷区马昌营镇北定福村北,136****4970,合格
北京市平谷北杨桥粮食收储有限公司,911101171029311488,平谷区,北京市平谷区峪口镇南杨桥中路47号,137****5272,合格
北京市平谷山东庄粮食收储有限公司,91110117102922719R,平谷区,北京市平谷山东庄村西大街189号,139****5483,不合格（首犯免罚）
北京宝益粮油储备有限公司溪翁庄库,91110228739361218B,密云区,北京市密云区溪翁庄镇东营子村南,137****8076,合格
北京宝益粮油储备有限公司高岭库,91110228739361218B,密云区,北京市密云区高岭镇高岭村,137****3690,合格
北京市隆庆粮食收储有限公司大榆树粮库,91110229795979776T,延庆区,北京市延庆区延庆镇大榆树村东7号,139****6550,合格
北京市隆庆粮食收储有限公司大柏老粮库,91110229795979899U,延庆区,北京市延庆区旧县镇大柏老村西,135****2951,合格
北京市隆庆粮食收储有限公司康庄粮库,91110229795979987A,延庆区,北京市延庆区康庄镇汇通路4号,137****0983,合格
北京市隆庆粮食收储有限公司永宁粮库,91110229795980013A,延庆区,北京市延庆区永宁镇东门外,139****6550,合格
北京市隆庆粮食收储有限公司沈家营粮库,91110229795980005F,延庆区,北京市延庆区沈家营镇沈家营村西,135****2951,合格
北京大兴魏善庄粮食收储有限公司,911101151028362710,大兴区,北京市大兴区魏善庄镇粮管所,131****2206,合格
北京首农食品应急保障中心有限公司,91110115102846656U,大兴区,"
北京市大兴区黄村镇大庄村东",139****6861,合格
