ID,项目名称,项目代码,建设单位,项目地址,计划投资总额,投资额单位,投资额币种,建设单位统一社会信用代码,建设规模及内容,文件名称,文件类型,文号,发文日期
1071393,密云区美丽乡村穆家峪镇西穆峪村等132个村供水及污水前端收集系统建设工程,2.02115E+17,密云区水务局,密云区水务局,62200.7,万元,人民币,11110228000107959W,"供水工程：新建供水管线1615562米；新建、改造水表井18557座，其中新建矩形水表井1895座、圆形水表井12311座、塑料水表井73座，改造圆形水表井4278座；新装智能水表56561块；新建阀门井2883座、排泥阀井453座、排泥湿井453座、排气井605座、取水栓井1961座。
污水工程：新建De110污水入户支管1119480米，化粪池51248座，污水集水池56004座。",关于密云区美丽乡村穆家峪镇西穆峪村等132个村供水及污水前端收集系统建设工程实施方案的批复,区级,京密云发改（审）[2021]57号,14/9/2021 16:16:10
fea5f7d9-014c-4998-b780-a7cdbebb0349,龙湾屯小水库及上游河道治理项目,2.3101E+15,北京市顺义区龙湾屯镇人民政府,北京市顺义区龙湾屯镇人民政府,6000,万元,人民币,11110110000093470L,河道整治、环境提升,,,,
1024766,大兴区720积水点治理工程-新城地区防汛应急指挥系统,2.01711E+17,大兴区市政市容管理委员会,大兴区市政市容管理委员会,3125,万元,人民币,1.11102E+17,"主要包括前端监测点位建设、指挥系统指挥中心建设及指挥系统软件平台建设三部分，具体如下：
1、前端监测点位建设
（1）前端监测防汛数据采集系统建设
对45处积水点位和13处河道出水口安装电子水尺、雷达水位仪、雨量分析仪等设备。
（2）防汛视频监控系统建设
在积水点位及出水口处共设置63个视频监控点，另外整合公安天网监控点位26个。
（3）应急预警发布系统建设
对8处下凹式立交桥两侧限高杆上加装LED显示屏，共计16块。
2、指挥系统指挥中心建设
指挥中心安装12块49寸的拼接屏设备；在大兴区公安局天网机房中安装一套有效容量为160TB的网络视频存储服务器；在大兴区经信委信息中心机房部署8个存储空间为3.4T的虚拟存储服务器。
3、指挥系统软件平台建设
系统软件平台建设主要分为三个系统建设，分别为PC端防汛管理系统、管理人员APP、指挥调度APP",关于大兴区720积水点治理工程-新城地区防汛应急指挥系统实施方案的批复,区级,京大兴发改（审）[2017]42号,22/5/2017 00:00:00
a0aa661b-7cdb-4ed6-b03f-815831ce323f,张坊供水管线与惠南庄泵站连通及扩能改造工程,2.108E+15,北京水务投资中心,北京水务投资中心,50000,万元,人民币,91110000587740744C,实施张坊供水管线消隐加固和内壁降糙、与惠南庄泵站的连通等工程,,,,
1081970,顺义区劣V类水体治理工程,2.0231E+17,北京市顺义区水务局,北京市顺义区水务局,1426.46,万元,人民币,11110110000092937B,主要包括河道清淤工程，河底生态河床构建工程，河道腐败水生植物清理工程，河底底质改良工程，现状调水泵站改造工程，以及龙道河调水及相关配套工程等。,关于顺义区劣V类水体治理工程实施方案的批复,区级,京顺义发改（审）[2023]29号,24/3/2023 19:56:14
019d2be5-ea87-4b8c-b2e2-7e364c3c1898,昌平区东沙河蓄滞洪区建设工程,2.11212E+15,北京市昌平区水务局,北京市昌平区水务局,6000,万元,人民币,11110221000102859X,为满足蓄洪、泄洪要求，需在蓄水水域末端（京密引水渠上游）建设溢流堰及附属设施，其底板高程为49.5米。为实现上下游贯通，需对怀昌路进行改移。,,,,
1002307,关于大兴区小龙河（京开高速～大龙河段）治理工程实施方案的批复,2.01515E+17,大兴区物资集团有限公司,大兴区物资集团有限公司,30626,万元,人民币,91110000102879386X,治理河道长度约24公里，河道疏挖、平整24公里，河道护砌0.5公里，拆除桥1座，改建桥梁1座，新建桥1座，截污工程约13公里，新建橡胶坝1座，改建分洪渠桥涵1座，新建巡河路390米，改建铁路货场内铁路桥5座、现状桥涵5座，地下管线改移及保护等。具体占地位置及建筑规模以规划、国土部门核定为准,关于关于大兴区小龙河（京开高速～大龙河段）治理工程实施方案的批复实施方案的批复,区级,京大兴发改（审）[2015]10号,30/11/2015 00:00:00
a9e00e54-9cb8-48ad-a854-2f73224f48fd,怀柔区水源地迁建工程,2.11414E+15,北京市怀柔区水务局,北京市怀柔区水务局,80081,万元,人民币,11110227000097949G,在赵各庄-年丰-梭草附近新建水源井18对+4眼，规模27.9万m3/d，配套新建输水管线及水源井连接管、检查井、阀井等。,,,,
1087843,密云水库入库河流（密云区白河）综合治理工程,2.02315E+17,北京市密云区水务局,北京市密云区水务局,5960,万元,人民币,11110228000107959W,对密云区忙牛河共计 15 公里进行河流连通性修复、河滨缓冲带修复、生物栖息地修复、生态塘、过滤草带、水土流失治理、科普宣教监测设施构建等。,关于密云水库入库河流（密云区白河）综合治理工程项目建议书（代可研）的批复,区级,京密云发改（审）[2023]87号,8/12/2023 20:38:56
b9e09357-1493-4dfc-997c-f680dd31777d,昌平区乡镇供水设施水毁修复工程,2.31212E+15,北京燕龙水务集团有限公司,北京燕龙水务集团有限公司,7500,万元,人民币,9.111E+17,修复流村镇、十三陵镇、延寿镇、南口镇、兴寿镇、马池口镇、小汤山、兴寿等8个镇12座供水厂，1个水源地，主要建设内容包括修复水源井、水厂设备、水泵、供水管线及附属设施等,,,,
1001474,关于大兴区永定河灌渠（区界～六合庄段）治理工程实施方案的批复,2.01515E+17,大兴区物资集团有限公司,大兴区物资集团有限公司,22279.7,万元,人民币,91110000102879386X,治理河道长度约11.1公里，河道疏挖、平整11.1公里，河道护砌6.8公里，改建桥梁8座，改建巡河路7.5公里，改建闸2座，新建闸1座，新建跌水1座，截污工程约8.2公里，地下管线改移及保护等。具体占地位置及建筑规模以规划、国土部门核定为准,关于关于大兴区永定河灌渠（区界～六合庄段）治理工程实施方案的批复实施方案的批复,区级,京大兴发改（审）[2015]4号,13/11/2015 00:00:00
b1bfaf83-8b98-4a7a-a45b-8f5bb3abedad,门头沟区西山艺境南侧截洪沟治理工程,2.10707E+15,北京市门头沟区水务局,北京市门头沟区水务局,2371.72,万元,人民币,11110109000072813A,新建截洪沟600m，新建山洪沟约440m，新建栏杆2603m等。,,,,
1090751,永定河卢三段左堤麻峪村堤防建设 （一期）工程,2.02406E+17,北京市石景山区永定河管理所,北京市石景山区永定河管理所,590000,万元,人民币,,新建及加固堤防1.6公里、滞洪湿地10公顷，搬迁9.2万平方米。,关于永定河卢三段左堤麻峪村堤防建设 （一期）工程项目建议书（代可研）的批复,区级,京石景山发改（审）[2024]47号,24/5/2024 16:36:38
