序号,主键,行政相对人名称,行政相对人类别,行政相对人代码_1(统一社会信用代码),行政相对人代码_2(工商注册号),行政相对人代码_3(组织机构代码),行政相对人代码_4(税务登记号),行政相对人代码_5（事业单位证书号）,行政相对人代码_6（社会组织登记证号）,法定代表人,法定代表人证件类型,法定代表人证件号码,证件类型,证件号码,处罚决定文书号,违法行为类型,违法事实（立案表）,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财务的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,来源单位名称,备注,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
1,03091864-adb7-438c-9248-aec72071b5b2,北京中鑫环亚建筑工程有限公司,法人及非法人组织,91110109MA01QLJQ0L,91110109MA01QLJQ0L,/,/,/,/,程*,/,/,/,/,京城管罚字﹝2020﹞81号,在燃气设施保护范围内擅自从事敷设管道、打桩、顶进、挖掘、钻探等可能影响燃气设施安全活动,"2020年12月6日对海淀区六里屯南路海淀区北部医疗中心工程项目施工现场内北侧进行施工作业，该单位未与北京市燃气集团有限责任公司第五分公司开展施工配合工作，且未对施工现场内的燃气管线情况进行核实确认，于当日15时50分进行三轴搅拌桩钻孔作业时将地下埋设的中压DN300钢制燃气管线挖断，造成燃气大量泄漏。北京市燃气集团有限责任公司第五分公司到达现场抢修作业，并于次日1时25分抢修处置完毕。你单位施工挖断燃气管线，造成燃气泄漏的行为，影响居民用户2141户用气、供热锅炉3台供暖（带3061户）。
2020年12月7日09时50分，本行政机关执法队员到现场检查时，施工破坏的燃气管线已抢修完毕并恢复原貌。",《城镇燃气管理条例》 违反条款：第三十四条；处罚条款：第五十条第一款第（四）项 责令停止违法行为，限期恢复原状或者采取其他补救措施，对单位处5万元以上10万元以下罚款，对个人处5000元以上5万元以下罚款。,罚款,罚款100000.00,10.000000,/,/,2021/1/6,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2,0326b316-468b-483b-886d-b5cfe9408d25,河南中堂建筑工程有限公司,法人及非法人组织,91410505397646044Y,91410505397646044Y,/,/,/,/,井*志,/,/,/,/,京城管罚字﹝2021﹞18号,侵占、毁损、擅自拆除、移动燃气设施,2021年5月9日06时50分，本行政机关接到北京市城市管理委员会转来的线索，朝阳区十八里店乡老君堂村甲5号武警北京总队机动第一支队院内施工破坏燃气管线，遂予以立案调查。经查，该单位在未制定燃气管线保护方案，且未对地下管线进行有效确认的情况下，于2021年5月9日在朝阳区十八里店乡老君堂村甲5号武警北京总队机动第一支队院内场地平整施工作业，于当日3时26分使用机械将燃气低压DN50管线破坏。发现燃气泄漏后，该公司立即停止施工，并拨打了燃气抢修电话。经北京燃气集团第三分公司第一时间抢修处置，于当日11时抢修完毕。,《城镇燃气管理条例》 违反条款：第三十六条第一款、第五十一条第一款；处罚条款：第五十一条第一款 责令限期改正，恢复原状或者采取其他补救措施，对单位处5万元以上10万元以下罚款，对个人处5000元以上5万元以下罚款。,罚款,罚款50000.00,5.000000,/,/,2021/6/7,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3,2dcb5892-afe0-4d07-9850-bc87a8cacd2b,北京金河水务建设集团有限公司,法人及非法人组织,91110114738240465L,91110114738240465L,/,/,/,/,周*春,/,/,/,/,京城管罚字﹝2021﹞29号,侵占、毁损、擅自拆除、移动燃气设施,2021年8月7日9时10分，本行政机关接到北京市城市管理委员会转来《城市公共设施突发事故首报单》（编号：燃气2021-071），西高村小学校对面，燃气管（塑料管PE200-63三通）被污水施工挖断，漏气点已做临时处理，目前影响用户6户，遂于2021年8月7日立案调查。经查，2021年8月7日8时30分，北京金河水务建设集团有限公司在平谷区西高村小学校对面进行农村生活污水治理工程施工过程中，在施工前未提前通知北京燃气平谷有限公司到场配合情况下，用挖掘机将燃气三通位置塑料管（PE200-63）挖断，共影响6户居民用气现场北京燃气平谷有限公司于当日15时30分完成管线修复工作。,《城镇燃气管理条例》 违反条款：第三十六条第一款、第五十一条第一款；处罚条款：第五十一条第一款 责令限期改正，恢复原状或者采取其他补救措施，对单位处5万元以上10万元以下罚款，对个人处5000元以上5万元以下罚款。,罚款,罚款50000.00,5.000000,/,/,2021/9/14,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
4,4095cb23-deb6-473e-b5a9-ee224d8a81db,北京京平水务有限公司,法人及非法人组织,91110117MA007WH199,91110117MA007WH199,/,/,/,/,李*勤,/,/,/,/,京城管罚字﹝2021﹞30号,建设单位未在地下管线安全防护信息系统发布施工作业信息,2021年8月7日9时10分，本行政机关接到北京市城市管理委员会转来《城市公共设施突发事故首报单》（编号：燃气2021-071），西高村小学校对面，燃气管（塑料管PE200-63三通）被污水施工挖断，漏气点已做临时处理，目前影响用户6户。本行政机关现场检查发现，项目为北京市平谷区水利建设管理中心委托北京京平水务有限公司进行建设，建设单位为北京京平水务有限公司。2021年8月7日8时30分，施工单位在平谷区西高村小学校对面进行农村生活污水治理工程施工过程中，在施工前未提前通知北京燃气平谷有限公司到场配合情况下，用挖掘机将燃气三通位置塑料管（PE200-63）挖断，共影响6户居民用气。现场该单位未能出示在地下管线安全防护信息系统发布施工作业信息相关证明。北京燃气平谷有限公司于当日15时30分完成管线修复工作。该单位于2021年8月24日登录地下管线安全防护信息系统发布了施工作业信息。,《北京市燃气管理条例》 违反条款：《北京市燃气管理条例》第三十七条第一款；处罚条款：第六十三条第一款  责令限期改正，处五万元以上十万元以下罚款。,罚款,罚款50000.00,5.000000,/,/,2021/9/27,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
5,4c105fe8-4d0d-47f2-ad8b-05ebf0101067,北京鸿源顺达建设工程有限公司,法人及非法人组织,91110115672373264U,91110115672373264U,/,/,/,/,余*森,/,/,/,/,京城管罚字﹝2020﹞69号,在燃气设施保护范围内擅自从事敷设管道、打桩、顶进、挖掘、钻探等可能影响燃气设施安全活动,经查，2020年10月19日，北京市燃气集团有限责任公司第四分公司运行维护一所明确告知（施工配合告知书0044253）北京鸿源顺达建设工程有限公司，其施工现场地下埋设有燃气管线，要求该公司在施工前制定燃气管线及设施保护方案，经运行维护一所批准后方可实施。而该公司在并未制定相应的燃气设施保护方案的情况下，于2020年10月20日晚间使用挖掘机械对复兴路40号院东院埋设的废弃污水管线进行清除，当天21时50分，施工机械将埋设在地下的DN150燃气挖断，造成燃气泄漏。经市燃气集团第四分公司应急处置，于2020年10月21日15时40分将破损管道更换，重新埋设。,《城镇燃气管理条例》 违反条款：第三十四条；处罚条款：第五十条第一款第（四）项 责令停止违法行为，限期恢复原状或者采取其他补救措施，对单位处5万元以上10万元以下罚款，对个人处5000元以上5万元以下罚款。,罚款,罚款100000.00,10.000000,/,/,2020/12/2,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
6,4fc079a0-e99c-4ee9-826f-c49f8d133b9f,北京市惠佳信建筑装饰工程有限公司,法人及非法人组织,91110111723989756D,91110111723989756D,/,/,/,/,鲍*符,/,/,/,/,京城管罚字﹝2021﹞15号,建设单位、施工单位未采取安全保护措施，确保燃气设施运行安全,"2021年4月30日15时10分，本行政机关执法队员在检查中发现，北京市惠佳信建筑装饰工程有限公司存在施工单位未采取安全保护措施，确保燃气设施运行安全的行为，遂予以立案调查。经查，该单位未与北京市燃气集团有限责任公司第一分公司开展施工配合工作且未对施工现场内的燃气管线情况进行核实确认，于2021年4月30日11时对西城区万庄大街甲2号院2号楼北侧自来水抢修工程施工作业,于当日12时30分使用机械将燃气警示带破坏。发现警示带被破坏后，该公司立即停止施工，并与北京市燃气集团有限责任公司第一分公司联系。经北京市燃气集团有限责任公司第一分公司第一时间抢修处置，于当日18时05分抢修处置完毕，将燃气管线破坏的部分进行了更换。",《城镇燃气管理条例》 违反条款：第三十七条第三款；处罚条款：第五十二条 责令改正，处1万元以上10万元以下罚款,罚款,罚款30000.00,3.000000,/,/,2021/6/9,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
7,50d43df8-af46-487f-a456-72598421071f,北京实邦科技发展有限公司,法人及非法人组织,91110113MA004HUC4D,91110113MA004HUC4D,/,/,/,/,谢*,/,/,/,/,京城管罚字﹝2021﹞35号,侵占、毁损、擅自拆除、移动燃气设施,"2021年8月7日11时20分，本行政机关接到北京市城市管理委员会转来《城市公共设施突发事故首报单》（编号：燃气2021-072），昌平区振兴路实验中学门口，附近有燃气味，经查现场有燃气管道泄漏，遂于2021年8月7日立案调查，现案件已调查终结。
    经查，2021年8月7日9时00分，北京实邦科技发展有限公司受北京市昌平区教育委员会委托，在昌平区振兴路实验中学门口进行学校防撞桩安装工程项目施工过程中，使用挖掘机械将燃气警示带破坏，并将下方燃气中压DE63管线挖断。该燃气管线产权运营单位北京燃气集团昌平有限公司现场已临时处理阻止气体泄漏并进行抢修，完成了管线修复工作。共影响下游4户非居民户用气",《城镇燃气管理条例》 违反条款：第三十六条第一款、第五十一条第一款；处罚条款：第五十一条第一款 责令限期改正，恢复原状或者采取其他补救措施，对单位处5万元以上10万元以下罚款，对个人处5000元以上5万元以下罚款。,罚款,罚款50000.00,5.000000,/,/,2021/8/30,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
8,54ff7b4e-c758-43a1-aaa6-20c4a3552b78,易县慧泽建筑工程有限公司,法人及非法人组织,91130633MA07UXJB8H,91130633MA07UXJB8H,/,/,/,/,孙*,/,/,/,/,京城管罚字﹝2021﹞6号,建设单位、施工单位未采取安全保护措施，确保燃气设施运行安全,2021年1月16日，北京市燃气集团有限责任公司第一分公司运维工程所明确告知（施工配合告知书0011646）你单位施工现场地下埋设燃气管线，要求你单位在施工前制定保护方案，而你单位在未制定保护方案的情况下，于2021年1月21日11时对西城区月坛北小街月坛宾馆污水管线抢修工程现场进行施工，于当日15时30分使用施工机械将地下埋设的燃气警示带破坏。北京市燃气集团有限责任公司第一分公司到达现场抢修作业，并于1月21日16时40分抢修处置完毕。,《城镇燃气管理条例》 违反条款：第三十七条第三款；处罚条款：第五十二条 责令改正，处1万元以上10万元以下罚款,罚款,罚款30000.00,3.000000,/,/,2021/3/16,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
9,57e834a5-49f0-48d8-aaa1-19bdd4d1a892,天津市远成景观建设发展有限公司,法人及非法人组织,91120103754845579W,91120103754845579W,/,/,/,/,马*中,/,/,/,/,京城管罚字﹝2021﹞14号,侵占、毁损、擅自拆除、移动燃气设施,该单位在未制定燃气管线保护方案，且未对地下管线进行有效确认的情况下，于2021年3月29日在通州区台湖镇乐跑公园西门外园林绿化改造工程进行施工作业，于当日11时22分使用机械将燃气管线中压塑料管DE110破坏，造成燃气泄漏，影响公服用户1户用气。发现燃气泄漏后，该公司立即停止施工，并拨打了燃气抢修电话。经北京燃气集团第四分公司第一时间抢修处置，于当日14时59分抢修完毕。,《城镇燃气管理条例》 违反条款：第三十六条第一款、第五十一条第一款；处罚条款：第五十一条第一款 责令限期改正，恢复原状或者采取其他补救措施，对单位处5万元以上10万元以下罚款，对个人处5000元以上5万元以下罚款。,罚款,罚款50000.00,5.000000,/,/,2021/5/11,2099/12/31,2099/12/31,北京市城市管理综合行政执法局,11110000746105829M,北京市城市管理综合行政执法局,11110000746105829M,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
