企业名称,统一社会信用代码,核准日期
北京万信源科技发展有限公司,91110118MAC7TTNRXU,2023-02-08
辛尔森企业管理咨询（北京）有限公司,91110118MAC905JG2C,2023-02-17
北京民鑫鸿达汽车有限公司,91110118MAC9NY8M64,2023-03-29
北京香运科技发展有限公司,91110118MAC7BFQ36M,2023-07-27
京海建工（北京）建设工程有限公司,91110114MAC89DGG37,2023-07-14
北京畅享未来汽车服务有限公司,91110118MAC7ATN3X9,2023-09-22
北京有锦商贸有限公司,91110118MAC86JTY35,2023-02-16
北京鼎物湖月科技有限公司,91110118MAC8YY338N,2023-06-09
北京心语如一贸易有限公司,91110118MAC78QCU1L,2023-02-16
北京得胜茗达商贸有限公司,91110118MAC75WN73L,2023-02-16
北京和米堂铁板烧餐饮有限公司,91110118MAC6MBYW23,2023-04-18
北京玺和千家宴餐饮服务有限公司,91110118MAC7WREN0R,2023-07-13
北京檀州好嘉多科技有限公司,91110118MAC9J9DD4B,2023-02-14
北京辉鸿达机械租赁有限公司,91110118MAC8MNN05N,2023-02-16
北京丁倮密园商贸有限公司,91110118MAC748N211,2023-03-01
北京班唐文化传媒有限公司,91110118MAC77AUF4R,2023-02-15
北京逸雨文化传播有限公司,91110114MAC8KWJ469,2023-11-08
北京畅越商业管理有限公司,91110111MAC77CJB75,2023-10-07
清白旅游文化创意（北京）有限公司,91110118MAC76E5D40,2023-09-01
北京利建商贸有限公司,91110118MAC9NKAU66,2023-02-17
北京姜蛋泥文化创意有限公司,91110105MAC9JE746F,2023-07-11
北京宇东宝威建筑有限公司,91110118MAC7AX8E5G,2023-02-16
北京乡忆农农业科技有限公司,91110118MAC86KFE3D,2023-02-16
中佳勘察设计有限公司北京分公司,91110118MAC8MQ3J1F,2023-02-16
北京钧源达建筑工程有限公司大城子分公司,91110118MAC79XW24T,2023-02-16
北京器智非凡科技有限公司,91110118MAC7C2JT4Y,2023-04-11
北京璀璨星缘商贸有限公司,91110113MAC8QU4219,2023-06-06
北京良田悦味产销专业合作社,93110118MAC79XK28X,2023-02-16
北京佳橙商业管理有限公司,91110111MAC8YJPR3K,2023-10-07
北京瑞承锦材料有限公司,91110117MAC7C6AJ6X,2023-10-12
北京阳华创兴建筑劳务有限公司,91110118MAC7AXJE59,2023-02-16
北京澳深拓海洋科技有限公司,91110118MAC8N8P378,2023-02-16
康禧（北京）商贸有限公司,91110118MAC77CDD5R,2023-02-15
南京润镧信息科技有限公司北京分公司,91110118MAC8N8TWX7,2023-02-16
北京密鸿云腾科技发展有限公司,91110118MAC7WKYE5G,2023-04-19
北京瑞雪宝璞文化传播有限公司,91110118MAC76GEL2J,2023-02-15
北京优芮商业管理有限公司,91110111MAC8GKRR0G,2023-10-07
北京俊业佳兴建筑工程有限公司,91110118MAC7XW459Q,2023-02-14
北京金柯建筑工程有限公司,91110111MAC9TG6B76,2023-10-10
北京方兴智联科技有限公司,91110118MAC9JFH77G,2023-02-14
北京福成福源餐饮有限公司,91110118MAC8YPWX3D,2023-02-15
北京蔬新农贸有限公司第二十分公司,91110118MAC9P2EF0T,2023-03-29
北京达利时间文化传媒有限公司,91110118MAC9J5XH3A,2023-02-14
北京佰祥欣汇工程服务有限公司,91110118MAC84CXT8N,2023-02-15
北京启帆时代技术服务有限公司,91110118MAC6GMLY31,2023-02-16
北京态维环保科技有限公司,91110118MAC9TRMP3H,2023-03-22
北京启航三方科技有限公司,91110118MAC7AXGB1E,2023-02-16
北京农合佳园农产品产销专业合作社,93110118MAC931H55Q,2023-08-15
北京蔬新农贸有限公司第十八分公司,91110118MAC7E28R94,2023-05-12
