认证主体名称,认证产品,颁证日期,截至日期
北京圣泉农业专业合作社 ,草莓,6/12/2022 00:00:00,5/12/2025 00:00:00
北京燕京啤酒股份有限公司,燕京啤酒（9o P干啤酒精品）,11/7/2022 00:00:00,10/7/2025 00:00:00
北京纯然生态科技有限公司,洋葱,18/7/2022 00:00:00,17/7/2025 00:00:00
北京地源遂航农业发展有限公司,普通白菜,7/9/2022 00:00:00,6/9/2025 00:00:00
北京市长阳农场有限公司,梨,19/5/2021 00:00:00,18/5/2024 00:00:00
北京纯然生态科技有限公司,甘蓝,18/7/2022 00:00:00,17/7/2025 00:00:00
北京纯然生态科技有限公司,鲜食玉米,18/7/2022 00:00:00,17/7/2025 00:00:00
北京绿惠种植专业合作社,西兰花,6/8/2021 00:00:00,5/8/2024 00:00:00
北京地源遂航农业发展有限公司,南瓜,7/9/2022 00:00:00,6/9/2025 00:00:00
北京祥和源农业科技股份有限公司,卓樱桃,27/10/2022 00:00:00,26/10/2025 00:00:00
北京庞各庄乐平农产品产销有限公司,大兴袖珍西瓜,22/11/2022 00:00:00,21/11/2025 00:00:00
北京绿奥蔬菜合作社,辣椒,3/9/2022 00:00:00,2/9/2025 00:00:00
北京奥仪凯源蔬菜种植专业合作社,番茄,6/6/2021 00:00:00,5/6/2024 00:00:00
北京双阳农业有限公司,南瓜,9/8/2023 00:00:00,8/8/2026 00:00:00
北京双塔绿谷农业有限公司,草莓,23/12/2020 00:00:00,22/12/2023 00:00:00
北京双塔绿谷农业有限公司,芹菜,23/12/2020 00:00:00,22/12/2023 00:00:00
北京谷新投资管理有限公司,西葫芦,11/8/2021 00:00:00,10/8/2024 00:00:00
北京中农富通园艺有限公司,胡萝卜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京王木营蔬菜种植专业合作社,土豆,26/7/2021 00:00:00,25/7/2024 00:00:00
北京南山农业生态园有限公司,茄子,9/10/2022 00:00:00,8/10/2025 00:00:00
北京谷新投资管理有限公司,红薯,11/8/2021 00:00:00,10/8/2024 00:00:00
北京王木营蔬菜种植专业合作社,樱桃番茄,26/7/2021 00:00:00,25/7/2024 00:00:00
北京奥仪凯源蔬菜种植专业合作社,草莓,6/6/2021 00:00:00,5/6/2024 00:00:00
北京双塔绿谷农业有限公司,丝瓜,23/12/2020 00:00:00,22/12/2023 00:00:00
北京德润通农业科技发展有限公司,QQ面,6/6/2022 00:00:00,5/6/2025 00:00:00
北京宏杰农业有限公司,花椰菜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京绿惠种植专业合作社,生菜,6/8/2021 00:00:00,5/8/2024 00:00:00
北京绿奥蔬菜合作社,白菜花,3/9/2022 00:00:00,2/9/2025 00:00:00
仲海春生源（北京）农业发展有限公司 ,菜椒,28/12/2021 00:00:00,27/12/2024 00:00:00
北京清岗绿洲农业发展有限公司,普通白菜,25/8/2023 00:00:00,24/8/2026 00:00:00
北京南山农业生态园有限公司,西葫芦,9/10/2022 00:00:00,8/10/2025 00:00:00
仲海春生源（北京）农业发展有限公司 ,黄瓜,28/12/2021 00:00:00,27/12/2024 00:00:00
北京中农富通园艺有限公司,红薯,21/12/2020 00:00:00,20/12/2023 00:00:00
北京王木营蔬菜种植专业合作社,菜花,26/7/2021 00:00:00,25/7/2024 00:00:00
北京双阳农业有限公司,茄子,9/8/2023 00:00:00,8/8/2026 00:00:00
北京双塔绿谷农业有限公司,西葫芦,23/12/2020 00:00:00,22/12/2023 00:00:00
北京御樽庄园农业生态科技专业合作社,西红柿,23/8/2023 00:00:00,22/8/2026 00:00:00
北京华莹农业有限公司,黄瓜,23/12/2021 00:00:00,22/12/2024 00:00:00
 北京市广泰农场有限公司,胡萝卜,31/12/2021 00:00:00,30/12/2024 00:00:00
北京安定贾尚种植有限公司,梨,28/2/2022 00:00:00,27/2/2025 00:00:00
北京顺沿特种蔬菜基地,黄瓜,9/10/2022 00:00:00,8/10/2025 00:00:00
北京王木营蔬菜种植专业合作社,茄子,26/7/2021 00:00:00,25/7/2024 00:00:00
北京金篮子生态种植有限公司,芦笋,30/12/2022 00:00:00,29/12/2025 00:00:00
仲元（北京）绿色农业技术开发有限公司,茄子,28/1/2023 00:00:00,27/1/2026 00:00:00
北京东升跃阳农业生态观光园,黄瓜,29/12/2022 00:00:00,28/12/2025 00:00:00
北京万德园农业科技发展有限公司,万德草莓,20/10/2023 00:00:00,19/10/2026 00:00:00
北京王木营蔬菜种植专业合作社,芹菜,26/7/2021 00:00:00,25/7/2024 00:00:00
碧森园生物科技（北京）有限公司,娃娃菜,27/7/2023 00:00:00,26/7/2026 00:00:00
北京元宝山果品产销专业合作社,茅山后佛见喜梨,11/4/2021 00:00:00,10/4/2024 00:00:00
北京中农富通园艺有限公司,贝贝南瓜,21/12/2020 00:00:00,20/12/2023 00:00:00
北京德润通农业科技发展有限公司,京一根春雨水晶粉丝,6/6/2022 00:00:00,5/6/2025 00:00:00
北京亿亩地农业发展集团有限公司,番茄,23/12/2021 00:00:00,22/12/2024 00:00:00
