序号,试点类型,试点年份,企业名称,所在区,性质,行业,,,
1,国家级,2014国家级,北京三元食品股份有限公司,大兴区,国企,食品,,,
2,国家级,2015国家级,北京九州通医药有限公司,大兴区,民企,医药,,,
3,国家级,2015国家级,北京威克多制衣中心,大兴区,民企,服装加工制造,,,
4,国家级,2015国家级,北京新能源汽车股份有限公司,大兴区,国企,汽车,,,
5,国家级,2017国家级,北京京诚凤凰工业炉工程技术有限公司,大兴区,央企,,,,
6,国家级,2017国家级,北京海纳川李尔汽车系统有限公司,大兴区,三资,汽车零部件,,,
7,国家级,2018国家级,北京本草方源药业集团有限公司,大兴区,民营,医药,,,
8,国家级,2018国家级,北京格雷时尚科技有限公司,大兴区,民营,纺织,,,
9,国家级,2018国家级,北京普莱德新能源电池科技有限公司,大兴区,民企,汽车,,,
10,国家级,2018国家级,美巢集团股份公司,大兴区,民营,建材,,,
11,市级,2016市级,北京以岭药业有限公司,大兴区,民企,,,,
12,市级,2016市级,德中飞美家具（北京）有限公司,大兴区,民企,轻工,,,
13,市级,2017市级第一批,北京民海生物科技有限公司,大兴区,民企,,,,
14,市级,2017市级第一批,北京华远高科电缆有限公司,大兴区,民企,,,,
15,市级,2017市级第一批,北京绿得利工贸有限公司,大兴区,民企,,,,
16,市级,2017市级第一批,北京中兴实强陶瓷轴承有限公司,大兴区,民企,,,,
17,市级,2017市级第一批,北京日昌电气有限公司,大兴区,民企,,,,
18,市级,2017市级第一批,天普新能源科技有限公司,大兴区,民企,新能源及节能环保,,,
19,市级,2017市级第一批,益海嘉里（北京）粮油食品工业有限公司,大兴区,三资,农副产品加工业,,,
20,市级,2017市级第一批,北京平和创业科技发展有限公司,大兴区,民企,电子通信,,,
21,市级,2017市级第二批,北京航安特机电技术有限公司,大兴区,民企,机械,,,
22,市级,2017市级第二批,华克医疗科技（北京）股份公司,大兴区,民企,专用设备制造业,,,
23,市级,2017市级第二批,荏原机械（中国）有限公司,大兴区,三资,机械,,,
24,市级,2017市级第二批,北京世纪恒宇印刷有限公司,大兴区,民企,制造业,,,
25,市级,2017市级第二批,富思特新材料科技发展股份有限公司,大兴区,民企,新材料,,,
26,市级,2017市级第二批,北京东方泰洋装饰工程有限公司,大兴区,民企,建材,,,
27,市级,2017市级第二批,北京天成瑞源电缆有限公司,大兴区,民企,电力,,,
28,市级,2017市级第二批,北京洪树冶金机械厂,大兴区,民企,机械,,,
29,市级,2018市级第一批,北京航洋健康科技有限公司,大兴区,,保健食品制造业,,,
30,市级,2018市级第一批,蜀海（北京）食品有限公司,大兴区,,食品,,,
31,市级,2018市级第一批,北京天罡助剂有限责任公司,大兴区,民营,化工,,,
32,市级,2018市级第一批,北京兴安幕墙装饰有限公司,大兴区,民营,金属门窗制造及幕墙,,,
33,市级,2018市级第一批,北京一轻食品集团有限公司,大兴区,国企,食品,,,
34,市级,2018市级第一批,北京路盛沥青混凝土有限公司,大兴区,民营,建材,,,
35,市级,2018市级第二批,北京奇步自动化控制设备有限公司,大兴区,民营,机械,,,
36,市级,2019市级第一批,北京麦邦光电仪器有限公司,大兴区,民营,电子,,,
37,市级,2019市级第一批,北京北汽模塑科技有限公司,大兴区,民营,汽车零部件制造,,,
38,市级,2019市级第一批,光大水务（北京）有限公司,大兴区,三资,环保,,,
39,市级,2019市级第一批,北京均大制药有限公司,大兴区,民营,医药,,,
40,市级,2019市级第一批,北京东方新强设备制造有限公司,大兴区,国有,机械,,,
41,市级,2019市级第一批,北京惠朗时代科技有限公司,大兴区,民营,机械、电子、软软件,,,
