姓名,认定年份,合作社/家庭农场名称,产业方向
熊*金,2023,北京桃谷丰果蔬产销专业合作社,其他
丁*歆,2023,北京蜓好农业科技有限公司,种植业
史*忠,2023,北京太湖山种植专业合作社,种植业
朱*华,2022,北京金粟种植专业合作社,种植业
韩*鹏,2024,北京老韩匠木晟斋工艺品专业合作社,加工业
侯*彬,2022,北京绿火生态农业科技有限公司,种植业
刘*波,2022,北京京采盛芳农业专业合作社,种植业
刘*辉,2022,北京箭杆河边农业科技发展专业合作社,种植业
莫*发,2023,北京华商农业发展有限公司,种植业
高*,2024,北京桃林高利果品专业合作社			,种植业
杨*,2022,北京御蜂堂蜂业专业合作社,
马*,2024,北京通州国际种业科技有限公司,农林牧渔服务业
谷*春,2024,北京谷氏国际农业科技研究发展有限公司,种植业
尹*杰,2024,北京颐景园种植专业合作社,种植业
张*奥,2023,北京海疆栗蘑产销专业合作社,种植业
吴*旭,2023,北京窦店恒升畜牧养殖中心,养殖业
刘*,2022,北京绿蜻蜓特色果蔬产销专业合作社,农业生产资料制造及销售
王*伊,2022,北京京纯养蜂专业合作社,养殖业
宋*峰,2023,北京久木农业专业合作社,种植业
汪*,2023,延续（北京）禽业养殖有限责任公司,养殖业
赵*军,2024,北京鼎寅时代科技发展有限公司,零售业
焦*,2023,北京宇成兴业种植专业合作社,种植业
赵*,2023,北京喜逢春雨农业科技发展有限公司,加工业
王*,2022,北京绿思维农副产品产销专业合作社,种植业
张*,2024,北京庞农兴农产品产销专业合作社			,种植业
相*军,2023,北京市密云区新城子镇吉家营股份经济合作社,乡村休闲旅游业
马*辉,2024,北京大峪沟磨盘柿专业合作,种植业
赵*劼,2024,北京青山园旅游发展有限公司,乡村休闲旅游业
周*华,2024,北京多金伟业旅游开发有限公司,乡村休闲旅游业
李*江,2023,北京市顺义区龙湾屯镇柳庄户村经济合作社,乡村休闲旅游业
张*,2023,北京市荣萍种植专业合作社,种植业
苑*华,2023,北京银黄绿色农业生态园有限公司,种植业
杨*松,2024,北京继松农产品产销专业合作社,种植业
李*,2023,门头沟区军庄镇东山村股份经济合作,种植业
郑*伶,2022,北京巧媳妇手工艺品专业合作社,加工业
