检查单号,抽查时间,检查单位,抽查对象,被检查单位,抽查结果,执法人员,
2020京防质监检字0025,2020年1月2日,北京市人防工程监督站,大兴区瀛海西区C07-2地块经济适用住房项目,北京市大兴城镇建设综合开发集团有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0026,2020年1月2日,北京市人防工程监督站,大兴区瀛海西区C07-2地块经济适用住房项目,北京城建一建设发展有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0027,2020年1月2日,北京市人防工程监督站,大兴区瀛海西区C07-2地块经济适用住房项目,北京中外建工程管理有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0040,2020年1月2日,北京市人防工程监督站,顺义区后沙峪镇SY00-019-6001、6003地块R2二类居住用地、SY00-019-6004地块B1商业用地项目,北京中铁顺兴房地产开发有限公司,未发现违法违规行为,秋岳森 孟蓉,
2020京防质监检字0041,2020年1月2日,北京市人防工程监督站,顺义区后沙峪镇SY00-019-6001、6003地块R2二类居住用地、SY00-019-6004地块B1商业用地项目,中铁北京工程局集团有限公司,未发现违法违规行为,秋岳森 孟蓉,
2020京防质监检字0042,2020年1月2日,北京市人防工程监督站,顺义区后沙峪镇SY00-019-6001、6003地块R2二类居住用地、SY00-019-6004地块B1商业用地项目,北京铁城建设监理有限责任公司,未发现违法违规行为,秋岳森 孟蓉,
2020京防质监检字0010,2020年1月3日,北京市人防工程监督站,丰台区南苑乡成寿寺村集体租赁住房项目,北京金城源投资管理公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0011,2020年1月3日,北京市人防工程监督站,丰台区南苑乡成寿寺村集体租赁住房项目,中天建设集团有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0012,2020年1月3日,北京市人防工程监督站,丰台区南苑乡成寿寺村集体租赁住房项目,北京赛瑞斯国际工程咨询有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0028,2020年1月3日,北京市人防工程监督站,18-2-3地块C01#商业楼（还建）（房山区长阳镇10-2-3等地块（理工大学7号地）项目,北京金阳置业有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0029,2020年1月3日,北京市人防工程监督站,18-2-3地块C01#商业楼（还建）（房山区长阳镇10-2-3等地块（理工大学7号地）项目,正太集团有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0030,2020年1月3日,北京市人防工程监督站,18-2-3地块C01#商业楼（还建）（房山区长阳镇10-2-3等地块（理工大学7号地）项目,北京希达建设监理有限责任公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0031,2020年1月3日,北京市人防工程监督站,房山区周口店镇02-001等地块R2二类居住用地项目,北京凯华房地产开发有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0032,2020年1月3日,北京市人防工程监督站,房山区周口店镇02-001等地块R2二类居住用地项目,中天建设集团有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0033,2020年1月3日,北京市人防工程监督站,房山区周口店镇02-001等地块R2二类居住用地项目,北京精正兴工程建设监理有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
