2023年市级以上农业产业化重点龙头企业名单,,,,
序号,名称,注册地址,法人代表,电话
1,北京方圆平安食品开发有限公司,北京市朝阳区孙河乡西甸村,连*乐,010-84592186
2,中地种业（集团）有限公司,曙光西里甲6号院1号楼9层1005,张*设,010-58677300
3,北京九州大地生物技术股份有限公司,北京市海淀区上地信息路1号2号楼1901室,马*刚,010-63711800
4,北京大伟嘉生物技术股份有限公司,北京市海淀区上地三街9号D座803室,廖*,010-62988706
5,北京北农大动物科技有限责任公司,北京市海淀区学清路甲38号金码大厦A座8层,王*伟,010-82839898
6,北京联创种业股份有限公司,北京市海淀区中关村南大街乙12号院1号楼19层2211-12,彭*斌,010-62110498
7,北京嘉博文生物科技有限公司,北京市海淀区上地信息路12号1幢1层E109室,王*国,1342***7368
8,北京大北农科技集团股份有限公司,北京市海淀区中关村大街27号19层1901A,邵*伙,010-82856450
9,北京德青源农业科技股份有限公司,北京市海淀区丰秀中路3号院10号楼2层,宣*海,010-61040968
10,北京金色农华种业科技有限公司,北京市海淀区中关村大街27号19层1901B,阳*华,010-82856885
11,北京旗舰食品有限公司,北京市海淀区西小营中关村中医药园甲1号平房,王*生,010-62409100
12,北京新发地农副产品批发市场中心,北京市丰台区京开路新发地桥西侧,张*明,010-83726816
13,北京凯达恒业农业技术开发有限公司,北京市房山区窦店镇久安路38号,刘*安,010-60334972
14,北京航天恒丰科技有限公司,北京市房山区窦店镇窦店村东京保路甲9号,刘*明,010-69395878
15,北京卓宸畜牧有限公司,北京市房山区良乡镇侯庄村东,常*,010-80357068
16,北京臻味坊食品有限公司,北京市房山区周口店镇瓦梨路1号,葛*兵,010-69322959
17,北京中农富通园艺有限公司,北京市通州区潞城镇贾后瞳村委会西200米,何*凡,010-62397270
18,北京八里桥农产品中心批发市场有限公司,北京市通州区通惠北路甲27号,宋*蔚,010-60510790
19,北京顺鑫农业股份有限公司,北京市顺义区站前街1号院1号楼,李*林,010-81499848
20,北京牵手果蔬饮品股份有限公司,北京市顺义区牛汇街1号1幢、2幢,李*阳,010-69410086
21,北京汇源饮料食品集团有限公司,北京市顺义区北小营镇府前街北侧汇源果汁,朱*彤,010-60483388
22,北京中地种畜有限公司,北京市顺义区大孙各庄镇吴雄寺村村委会西200米,庞*,010-59773069
23,北京恒慧通肉类食品有限公司,北京市顺义区金马工业区23号,杨*燕,010-69493334
24,北京优帝鸽业有限公司,北京市顺义区大孙各庄镇湘王庄村东2000米,孙*,010-61472199
25,北京顺鑫石门农产品批发市场有限责任公司,北京市顺义区仁和地区石门村,贠*德,010-89423008
26,北京金星鸭业有限公司,北京市大兴区旧宫镇德茂庄德裕街7号,王*伟,010-67965680
27,北京资源亚太饲料科技有限公司,北京市大兴区黄村镇西磁村村委会北350米,徐*建,010-69266376
28,北京秋实农业发展有限公司,北京市大兴区榆垡镇榆昌路18号,杜*雪,010-89291900
