序号,社会统一信用代码,企业名称,北京市_创新型_中小企业认定年度,北京市_创新型_中小企业认定批次,北京市_创新型_中小企业认定时间
1,91110101684387831B,北京经纬传奇医药科技有限公司,2022,第一批,2022-09-01 00:00:00
2,91110108MA0182381M,北京航易智汇科技有限公司,2022,第一批,2022-09-02 00:00:00
3,911101011012133471,北京航星科技有限公司,2022,第一批,2022-09-03 00:00:00
4,91110101344276617L,哇棒（北京）移动技术有限公司,2022,第一批,2022-09-04 00:00:00
5,91110108MA01CP3B0C,小儿方健康科技（北京）有限公司,2022,第一批,2022-09-05 00:00:00
6,911100007109347998,保利航空科技有限公司,2022,第一批,2022-09-06 00:00:00
7,91110102580813816W,北京通安信息技术有限公司,2022,第一批,2022-09-07 00:00:00
8,91110101MA0193QU6R,北京方圣时尚有限公司,2022,第一批,2022-09-08 00:00:00
9,91110101MA01PC2N8B,北京闻煊科技有限公司,2022,第一批,2022-09-09 00:00:00
10,91110105306469653D,中移凯普（北京）技术服务有限公司,2022,第一批,2022-09-10 00:00:00
11,911101015694738658,金智东博（北京）教育科技股份有限公司,2022,第一批,2022-09-11 00:00:00
12,91110108MA01QMBK3R,北京言子初科技有限公司,2022,第一批,2022-09-12 00:00:00
13,91110105767521581E,爱云信息技术（北京）有限公司,2022,第一批,2022-09-13 00:00:00
14,911101057461127978,建研机械检验检测（北京）有限公司,2022,第二批,2022-10-01 00:00:00
15,91130100732910720N,恒信东方文化股份有限公司,2022,第二批,2022-10-02 00:00:00
16,91110101699566840Q,北京紫东科技有限公司,2022,第二批,2022-10-03 00:00:00
17,9111010133544384XK,北京瑞天欣实数据科技有限公司,2022,第二批,2022-10-04 00:00:00
18,911101013295775507,北京轻松筹信息技术有限公司,2022,第二批,2022-10-05 00:00:00
19,91110000741570705N,天禹文化集团有限公司,2022,第二批,2022-10-06 00:00:00
20,91110108774079154C,东方梦幻虚拟现实科技有限公司,2022,第二批,2022-10-07 00:00:00
21,911101017587330564,北京易特思维信息技术有限公司,2022,第二批,2022-10-08 00:00:00
22,91110101339804921U,北京卓帆科技有限公司,2022,第二批,2022-10-09 00:00:00
23,911101017934412355,北京格尔国信科技有限公司,2022,第二批,2022-10-10 00:00:00
24,911101053443171913,天颐中服老龄产业服务（北京）有限公司,2022,第二批,2022-10-11 00:00:00
25,91110101663122439B,威水星空（北京）环境技术有限公司,2022,第二批,2022-10-12 00:00:00
26,911101017906992068,北京德迈特科技发展有限公司,2022,第二批,2022-10-13 00:00:00
27,9111010157902553XX,北京新民恒源科技发展有限责任公司,2022,第二批,2022-10-14 00:00:00
28,91110101556897458U,银翼智迅医疗科技（北京）股份公司,2022,第二批,2022-10-15 00:00:00
29,91110101MA01JPY659,北京斗象信息科技有限公司,2022,第二批,2022-10-16 00:00:00
30,91110101567425712F,北京中青华云新媒体科技有限公司,2022,第二批,2022-10-17 00:00:00
31,91110101318306501A,北京卓优云智科技有限公司,2022,第二批,2022-10-18 00:00:00
32,91110108306550435B,无讼网络科技（北京）有限公司,2022,第二批,2022-10-19 00:00:00
33,91110111318173657J,北京创业酵母管理咨询有限公司,2022,第二批,2022-10-20 00:00:00
34,91110108584417490X,北京家视天下科技有限公司,2022,第二批,2022-10-21 00:00:00
35,911101080536281254,北京新片场传媒股份有限公司,2022,第二批,2022-10-22 00:00:00
36,91110105051352495Q,北京梦见星科技有限公司,2022,第二批,2022-10-23 00:00:00
37,91110101317934768K,谷武（北京）科技有限公司,2022,第二批,2022-10-24 00:00:00
38,911101016782163150,北京智信道科技股份有限公司,2022,第二批,2022-10-25 00:00:00
39,91110113MA01DY0442,北京明信智联技术有限公司,2022,第二批,2022-10-26 00:00:00
40,91110108MA01DNPL2X,北京守卫者科技有限公司,2022,第二批,2022-10-27 00:00:00
41,911101088011689975,云尖（北京）软件有限公司,2022,第二批,2022-10-28 00:00:00
42,91110101802940555G,北京朗威视讯科技股份有限公司,2022,第二批,2022-10-29 00:00:00
43,911101010717488416,北京朗知网络传媒科技股份有限公司,2022,第二批,2022-10-30 00:00:00
44,9111011668437204XH,和德数保（北京）科技有限公司,2022,第二批,2022-10-31 00:00:00
45,91110108MA01H00L2B,中能融安（北京）科技有限公司,2022,第三批,44866
46,91110108677438258R,北京广亿兴业科技发展有限公司,2022,第三批,44867
47,91110101697654636Y,霍夫曼（北京）工程技术有限公司,2022,第三批,44868
48,91110101597688046N,新维畅想数字科技（北京）有限公司,2022,第三批,44869
49,91110105MA0026LF0T,北京银信长远数云科技有限公司,2022,第三批,44870
