序号,名称,类型,建设单位,建设单位统一社会信用代码,区域,所属领域,成立时间,注册资本（万元）
1.0,国家动力电池创新中心,产业创新中心,国联动力电池研究院有限责任公司,,怀柔区,新能源智能网联汽车,2016.5,93000.0
2.0,国家新能源汽车技术创新中心,产业创新中心,北京国家新能源汽车技术创新中心有限公司,91110302MA0191990R,经开区,新能源智能网联汽车,2018.3,110000.0
3.0,国家智能网联汽车创新中心,产业创新中心,国汽（北京）智能网联汽车有限公司,,经开区,新能源智能网联汽车,2019.5,100000.0
4.0,国家轻量化材料成形技术与装备创新中心,产业创新中心,北京机科国创轻量化科学研究院有限公司,91110108788981210H,怀柔区,智能装备,2017.12,25600.0
5.0,北京集成电路供应链及先导技术创新中心,产业创新中心,北方集成电路技术创新中心（北京）有限公司,91110302MA017TPY2A,经开区,集成电路,2019.12,20000.0
6.0,芯海择优工业芯片创新中心,中试验证平台,中关村芯海择优科技有限公司,91110108MA01WJ0E92,海淀区,集成电路,2020.8,9000.0
7.0,超弦存储器研究院,产业创新中心,超弦存储器研究院  ,52110000MJ0165429W,经开区,集成电路,2020.9,400.0
8.0,北京集成电路装备创新中心,产业创新中心,北京集成电路装备创新中心有限公司,91110000MA01L3A552,经开区,集成电路,2021.1,305000.0
9.0,开源芯片研究院,产业创新中心,开源芯片研究院,52110000MJ015106XK,海淀区,集成电路,2021.12,7900.0
10.0,芯粒技术创新中心,产业创新中心,芯力技术创新中心有限公司,91110400MAC7JL5324,经开区,集成电路,2023.1,63100.0
11.0,芯可鉴工业芯片检测平台,中试验证平台,北京智芯微电子科技有限公司,91110108061292553X,海淀区,集成电路,2023.1,9000.0
12.0,高性能芯片测试验证平台,中试验证平台,北京中发芯测科技有限公司,91110108MAD9N6WC29,海淀区,集成电路,2024.1,1000.0
13.0,北京人形机器人创新中心,产业创新中心,北京人形机器人创新中心有限公司,91110400MAD3Q0NU7N,经开区,人工智能,2023.11,35000.0
14.0,北京唯实具身智能研究院,产业创新中心,北京唯实具身智能研究院,52110000MJ0151836N,海淀区,人工智能,2024.11,550.0
15.0,北京市医疗机器人创新中心,产业创新中心,北京水木东方医疗机器人创新中心有限公司,,海淀区,医药健康,2018.9,5000.0
16.0,昭衍生物抗体偶联药物（ADC）中试平台,中试验证平台,北京昭衍生物技术有限公司,91110302MA01HEH15A,经开区,医药健康,2023.7,56000.0
17.0,北京智能车联创新中心,中试验证平台,北京智能车联产业创新中心有限公司,91110302MA0094445T,经开区,新能源智能网联,2016.12,6000.0
,,,,,,,,
,,,,,,汽车,,
18.0,北京石墨烯创新中心,中试验证平台,北京石墨烯技术研究院有限公司,91110108MA00CQ038G,海淀区,新材料,2017.4,64000.0
19.0,北京超高清视频技术协同创新中心,产业创新中心,北京中联合超高清协同技术中心有限公司,91110108MA01FQQQ9B,海淀区,超高清,2019.12,6000.0
,,,,,,,,
,,,,,,视频,,
20.0,精雕工业母机中试验证中心,中试验证平台,北京精雕集团,,门头沟区,智能装备,2023.6,30000.0
21.0,北京工业软件创新中心,产业创新中心,北京领翼工软科技有限公司,91110105MAD4J45W2H,朝阳区,工业软件,2023.11,5000.0
22.0,北京氢能通用航空创新研究院,产业创新中心,北京氢能通用航空创新研究院,12110000MB1R85469A,延庆区,氢能,2024.9,100.0
