北京市巾帼家政服务企业,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
序号,所属区,机构名称,统一社会信用代码,认定名称,认定时间
1,北京市房山区,北京今日东方家政服务有限公司,91110111685755552R,北京市巾帼家政服务企业(2022.9-2025.8),44799
2,北京市西城区,惠佳丰健康产业集团有限公司,91110000339765408J,,
3,北京市朝阳区,北京爱侬养老科技股份有限公司,91110107722603890L,,
4,北京市东城区,北京阳光北亚家政服务有限公司,91110101794094220W,,
5,北京市朝阳区,北京嘉乐会家政服务有限公司,911101057999841855,,
6,北京市朝阳区,北京中青家政有限公司,91110105736474700U,,
7,北京市朝阳区,北京大班家政服务有限公司,911101057861996476,,
8,北京市房山区,北京今日东方家政服务有限公司,91110111685755552R,北京市巾帼家政服务企业(2019.6-2022.5),43616
9,北京市西城区,惠佳丰健康产业集团有限公司,91110000339765408J,,
10,北京市朝阳区,北京爱侬养老服务股份有限公司,91110107722603890L,,
11,北京市东城区,北京阳光北亚家政服务有限公司,91110101794094220W,,
12,北京市朝阳区,北京嘉乐会家政服务有限公司,911101057999841855,,
13,北京市昌平区,北京天通苑三八家政服务有限公司,911101147226638428,,
