序号,企业名称,申请事项,业务流水号,,,,,,,,,,,,,,,,,
1,中塔新兴通讯技术集团有限公司,(市)建筑业企业首次申请资质,0014180807002472,,,,,,,,,,,,,,,,,
2,北京华迎盛竣建筑工程有限公司,(区)建筑业企业首次申请资质,0014190731006529,,,,,,,,,,,,,,,,,
3,北京当世豪建筑装饰工程有限公司,(区)建筑业企业资质增项资质申请,0014180628002619,,,,,,,,,,,,,,,,,
4,北京中奥天合国际环境科技有限公司,建筑业企业升级资质申请,0014180814000434,,,,,,,,,,,,,,,,,
5,北京天汇亿通防水防腐工程有限公司,(区)建筑业企业资质增项资质申请,0014180803000409,,,,,,,,,,,,,,,,,
6,北京融昱信息技术有限公司,建筑业企业首次申请资质,0014190304002969,,,,,,,,,,,,,,,,,
7,中广工控(北京)安装工程有限公司,(区)建筑业企业首次申请资质,0014181228001109,,,,,,,,,,,,,,,,,
8,北京尚春建筑工程有限公司,建筑业企业首次申请资质,0014190110001198,,,,,,,,,,,,,,,,,
9,北京万嘉信源科技发展有限公司,建筑业企业首次申请资质,0014180521000844,,,,,,,,,,,,,,,,,
10,中博基业(北京)建筑工程有限公司,建筑业企业首次申请资质,0014190321006478,,,,,,,,,,,,,,,,,
11,北京格子建筑装饰工程有限公司,(区)建筑业企业首次申请资质,0014190117000251,,,,,,,,,,,,,,,,,
12,聚泽盈达(北京)科技有限公司,(区)建筑业企业首次申请资质,0014190220003596,,,,,,,,,,,,,,,,,
13,北京金宏瑞特科技有限公司,(区)建筑业企业首次申请资质,0014190702000880,,,,,,,,,,,,,,,,,
14,北京九州广建机电工程有限公司,建筑业企业首次申请资质,0014190418004989,,,,,,,,,,,,,,,,,
15,中交公路养护工程技术有限公司,建筑业企业增项资质申请,0014180319002504,,,,,,,,,,,,,,,,,
16,北京东旺建筑工程有限责任公司,建筑业企业增项资质申请,0014190618002901,,,,,,,,,,,,,,,,,
17,北京宏润宇嘉建筑工程有限公司,(区)建筑业企业首次申请资质,0014180731001141,,,,,,,,,,,,,,,,,
18,北京锦泰泓建筑工程有限公司,(市)建筑业企业首次申请资质,0014190116003196,,,,,,,,,,,,,,,,,
19,北京友华饰家装饰装修有限责任公司,(区)建筑业企业首次申请资质,0014181224000722,,,,,,,,,,,,,,,,,
20,北京易羽恒天电力工程有限公司,(市)建筑业企业首次申请资质,0014180605000184,,,,,,,,,,,,,,,,,
21,北京中洲国际建筑工程有限公司,(区)建筑业企业增项资质申请,0014190109002760,,,,,,,,,,,,,,,,,
22,北京京西鼎城建筑工程有限公司,建筑业企业增项资质申请,0014181022002786,,,,,,,,,,,,,,,,,
23,天翼钢结构工程(北京)有限公司,(区)建筑业企业首次申请资质,0014190821005034,,,,,,,,,,,,,,,,,
24,北京金鼎筑业建设有限公司,(市)建筑业企业首次申请资质,0014190313000462,,,,,,,,,,,,,,,,,
25,北京昊天洁净建设工程有限公司,(市)建筑业企业资质增项资质申请,0014180510000774,,,,,,,,,,,,,,,,,
26,北京丰业正美建筑工程有限公司,建筑业企业首次申请资质,0014180710001632,,,,,,,,,,,,,,,,,
