北京市房山区卫生健康委2024年度行政许可公示台账（2024.1.1-2024.4.30）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
单位名称：北京市房山区卫生健康委（盖章） 2024年1月1日至2024年4月30日,,,,,,,
序号,行政决定部门,行政相对人名称/项目名称,统一社会信用代码,行政许可决定书文号,行政决定日期,是否向“信用中国（北京）”推送,是否在7个工作日内推送
1,房山区卫生健康委员会,一沐（北京）美容健康管理有限公司,91110111MA7E6YTN0M,房卫环许字[2024]第010号,2024-01-05 00:00:00,是,是
2,房山区卫生健康委员会,北京糖巢酒店管理有限公司,91110105MA005AWC3J,房卫环许字[2024]第009号,2024-01-05 00:00:00,是,是
3,房山区卫生健康委员会,北京微波有道医疗科技有限公司,91110111MAD8113C3F,房卫环许字[2024]第007号,2024-01-05 00:00:00,是,是
4,房山区卫生健康委员会,北京唯嘉美发有限公司,91110111MAD6F0U25K,房卫环许字[2024]第008号,2024-01-05 00:00:00,是,是
5,房山区卫生健康委员会,北京慕颖美容美发有限公司,91110111306592256W,房卫环许字[2024]第006号,2024-01-05 00:00:00,是,是
6,房山区卫生健康委员会,北京万佳食代餐饮店,92110111MA00CTN16T,房卫环许字[2024]第005号,2024-01-04 00:00:00,是,是
7,房山区卫生健康委员会,北京十渡聚点体育有限公司,91110111MA01D9T24Y,房卫环许字[2024]第004号,2024-01-04 00:00:00,是,是
8,房山区卫生健康委员会,北京膜丽本草化妆品有限公司,91110111344389662R,房卫环销字[2023]第917号,2024-01-04 00:00:00,是,是
9,房山区卫生健康委员会,北京伊桐瑶皮肤管理中心（个体工商户）,92110111MAD8MEFYXC,房卫环许字[2024]第003号,2024-01-03 00:00:00,是,是
10,房山区卫生健康委员会,北京兆阳商贸有限公司梵雅婵美容分公司,91110111MA020TFL5Y,房卫环许字[2024]第001号,2024-01-03 00:00:00,是,是
11,房山区卫生健康委员会,北京威娜美发中心（个体工商户）,92110111MAD983F9X5,房卫环许字[2024]第002号,2024-01-03 00:00:00,是,是
12,房山区卫生健康委员会,北京锐剑电子游艺有限公司,91110111MACRT2Q7XG,房卫环许字[2024]第017号,2024-01-12 00:00:00,是,是
13,房山区卫生健康委员会,北京黑佳林浴馆有限公司,911101117786443099,房卫环许字[2024]第016号,2024-01-12 00:00:00,是,是
14,房山区卫生健康委员会,北京汐妍诗雨美容美体有限公司,91110111MA04F62CX0,房卫环许字[2024]第015号,2024-01-11 00:00:00,是,是
15,房山区卫生健康委员会,北京于庄大众洗浴中心,92110111L2341353X9,房卫环许字[2024]第014号,2024-01-10 00:00:00,是,是
16,房山区卫生健康委员会,北京荟朗采健康管理咨询有限公司,91110115MA01GY5E4W,房卫环许字[2024]第013号,2024-01-10 00:00:00,是,是
17,房山区卫生健康委员会,北京祎墨美容美体有限公司,91110111MA01MHD82W,房卫环许字[2024]第012号,2024-01-10 00:00:00,是,是
18,房山区卫生健康委员会,北京托尼美容美发有限公司,91110111MAD8NHB855,房卫环许字[2024]第011号,2024-01-09 00:00:00,是,是
19,房山区卫生健康委员会,北京美夫人形象管理有限公司,91110111MAD8Y45Y4N,房卫环许字[2024]第028号,2024-01-19 00:00:00,是,是
20,房山区卫生健康委员会,联养久康（北京）健康管理有限责任公司,91110111335453706R,房卫环许字[2024]第027号,2024-01-19 00:00:00,是,是
21,房山区卫生健康委员会,北京韩建文旅集团有限公司,91110111MA0183GX1N,房卫环许字[2024]第026号,2024-01-19 00:00:00,是,是
22,房山区卫生健康委员会,北京拾美形象设计有限公司,91110111MA02A9QA5A,房卫环销字[2023]第020号,2024-01-18 00:00:00,是,是
23,房山区卫生健康委员会,北京建和华映社区电影院线有限公司,91110108MA001ELR52,房卫环销字[2023]第021号,2024-01-18 00:00:00,是,是
24,房山区卫生健康委员会,北京植韵芳德美容有限公司,91110111MA01C1F79K,房卫环销字[2023]第022号,2024-01-18 00:00:00,是,是
25,房山区卫生健康委员会,北京信易达成商贸有限公司,92110111MA00YHPY6Q,房卫环许字[2024]第025号,2024-01-18 00:00:00,是,是
26,房山区卫生健康委员会,北京金色昊天电子游艺有限公司,9111011159234966X3,房卫环许字[2024]第024号,2024-01-17 00:00:00,是,是
27,房山区卫生健康委员会,北京皓海世豪商贸有限公司,91110111MA01N8KM23,房卫环许字[2024]第023号,2024-01-16 00:00:00,是,是
28,房山区卫生健康委员会,北京时尚媛美商贸有限公司,91110111MA04BBTB52,房卫环许字[2024]第019号,2024-01-16 00:00:00,是,是
29,房山区卫生健康委员会,北京幕美护肤造型有限公司,91110111MAC8QAWL09,房卫环销字[2023]第018号,2024-01-15 00:00:00,是,是
30,房山区卫生健康委员会,北京未来筑酒店运营管理有限公司,91110111MACKUWRC8E,房卫环许字[2024]第033号,2024-01-24 00:00:00,是,是
31,房山区卫生健康委员会,北京禾熙美容服务有限公司,91110111MAD6UTET5B,房卫环许字[2024]第031号,2024-01-24 00:00:00,是,是
