获得荣誉单位名称,获得荣誉单位组织机构代码,获得荣誉单位统一社会信用代码,获得荣誉名称," 
获得荣誉日期",授予荣誉机构
京东方科技集团股份有限公司,101101660,911100001011016602,2014年度北京市人民政府质量管理奖,2015/5/15,北京市人民政府
北京菜市口百货股份有限公司,101542829,91110102101542829P,2014年度北京市人民政府质量管理奖提名奖,2015/5/15,北京市人民政府
北京农村商业银行股份有限公司,801124847,91110000801124847M,2014年度北京市人民政府质量管理奖提名奖,2015/5/15,北京市人民政府
中国北京同仁堂（集团）有限责任公司,101461180,91110000101461180X,2014年度北京市人民政府质量管理奖,2015/5/15,北京市人民政府
北京汽车集团有限公司,101159619,911100001011596199,2014年度北京市人民政府质量管理奖,2015/5/15,北京市人民政府
联想（北京）有限公司,700000458,91110108700000458B,2014年度北京市人民政府质量管理奖,2015/5/15,北京市人民政府
北京三元食品股份有限公司,600062547,91110000600062547M,2014年度北京市人民政府质量管理奖提名奖,2015/5/15,北京市人民政府
中建一局集团建设发展有限公司,101715726,91110000101715726A,2014年度北京市人民政府质量管理奖,2015/5/15,北京市人民政府
首都航天机械公司,102167020,91110106102167020P,第二届北京市人民政府质量管理奖,2016/12/6,北京市人民政府
北京银行股份有限公司,101174712,91110000101174712L,第二届北京市人民政府质量管理奖,2017/12/6,北京市人民政府
拜耳医药保健有限公司,600035733,91110302600035733E,第二届北京市人民政府质量管理奖,2017/12/6,北京市人民政府
北京中关村软件园发展有限责任公司,722613378,911101087226133785,第二届北京市人民政府质量管理奖,2017/12/6,北京市人民政府
华润双鹤药业股份有限公司,633796475,91110000633796475U,第二届北京市人民政府质量管理奖,2017/12/6,北京市人民政府
北京市第三建筑工程有限公司,101389748,91110000101389748B,第二届北京市人民政府质量管理奖提名奖,2017/12/6,北京市人民政府
北京菜市口百货股份有限公司,101542829,91110102101542829P,第二届北京市人民政府质量管理奖提名奖,2017/12/6,北京市人民政府
北京北辰实业股份有限公司国家会议中心,66751785X,9111010566751785XB,第二届北京市人民政府质量管理奖提名奖,2017/12/6,北京市人民政府
北京二商王致和食品有限公司,694969579,91110108694969579W,第二届北京市人民政府质量管理奖提名奖,2017/12/6,北京市人民政府
中国石化润滑油有限公司,08045081X,9111010808045081X1,第二届北京市人民政府质量管理奖提名奖,2017/12/6,北京市人民政府
