北京市知识产权示范单位认定名单,,,,,,
序号,企业名称,试点示范,认定情况,认定年份,有效期限,所属区域
30,朗致集团有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
31,森特士兴集团股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
32,北京诺康达医药科技股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
33,北京京东方显示技术有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
34,北京星昊医药股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
35,北京永新医疗设备有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
36,北京泰德制药股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
37,北京东方百泰生物科技股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
38,北京金风科创风电设备有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
39,北京天诚同创电气有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
40,航天长征化学工程股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
41,舒泰神（北京）生物制药股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
42,中铁十九局集团有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
43,百泰生物药业有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
44,北京北方华创微电子装备有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
45,北京京东世纪贸易有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
46,北京凯因科技股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
47,北京斯利安药业有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
48,北京星和众工设备技术股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
49,北京中电科电子装备有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
50,北京康立生医药技术开发有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
51,京东科技控股股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
52,松下电气机器（北京）有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
53,北京同益中新材料科技股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
54,北京京东方光电科技有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
55,中冶京诚工程技术有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
56,北京新能源汽车股份有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
57,北京科益虹源光电技术有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
58,中国石油集团海洋工程有限公司,示范单位,首批集中确认及2019年度示范复审通过,2022,2022-2025,经开区
59,北京博海康源医疗器械有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
60,北京华科泰生物技术股份有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
61,北京加科思新药研发有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
62,北京嘉洁能科技股份有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
63,北京金风慧能技术有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
64,北京精益泰翔技术发展有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
65,北京康乐卫士生物技术股份有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
66,北京涞澈科技发展有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
67,北京亮亮视野科技有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
68,北京新研创能科技有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
69,北京鑫开元医药科技有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
70,北京星网宇达科技股份有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
71,北京沄汇智能科技有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
72,北京长木谷医疗科技有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
73,北京中检葆泰生物技术有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
74,博尔诚（北京）科技有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
75,聚束科技（北京）有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
76,泰姆瑞（北京）精密技术有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
77,曜立科技（北京）有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
78,中冶赛迪电气技术有限公司,示范单位,2022年度示范新认定,2022,2022-2025,经开区
,,,,,,
