北京市知识产权试点单位认定名单,,,,,,
序号,企业名称,试点示范,认定情况,认定年份,有效期限,所属区域
1,北京深之度科技有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
2,北京宜清源科技有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
3,北京艾丕科技有限责任公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
4,北京市利强涂料有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
5,北京博海康源医疗器械有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
6,银谷制药有限责任公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
7,环球汇鑫（北京）文化传播有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
8,泰姆瑞（北京）精密技术有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
9,北京凯瑞通电子技术有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
10,北京核中警消防技术有限责任公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
11,北京宇极芯光光电技术有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
12,华美孚泰油气增产技术服务有限责任公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
13,北京海力奇增压器制造有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
14,北京新能中试科技有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
15,北京海纳川汽车部件股份有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
16,北京博清科技有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
17,华测检测认证集团北京有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
18,北京汉氏联合生物技术股份有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
19,北京鸿测科技发展有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
20,北京莲和医学检验所有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
21,葛洲坝能源重工有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
22,北京银丰鼎诚生物工程技术有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
23,北京耘华科技有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
24,京东数字科技控股股份有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
25,北京蓝丹医药科技有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
26,北京义翘神州科技股份有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
27,北京华海基业机械设备有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
28,赫普能源环境科技股份有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
29,赛诺威盛科技（北京）有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
30,神州细胞工程有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
31,北京海莱特科技有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
32,中经云数据存储科技（北京）有限公司,试点单位,2021年示点复审合格（2018年试点）,2021,2021-2024,经开区
33,北京索德电气工业有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
34,中航技进出口有限责任公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
35,北京中航智科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
36,北京华腾橡塑乳胶制品有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
37,北京亮亮视野科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
38,北京沄汇智能科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
39,小米数字科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
40,北京金风慧能技术有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
41,北京百通科信机械设备有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
42,北京康派特医疗器械有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
43,北方广微科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
44,北京京东拓先科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
45,北京长木谷医疗科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
46,北京中科生仪科技有公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
47,北京章光１０１科技股份有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
48,北京康乐卫士生物技术股份有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
49,北京中科宇航技术有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
50,北京凌空天行科技有限责任公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
51,北京恒源新动力科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
52,北京九辰智能医疗设备有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
53,北京智拓视界科技有限责任公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
54,北京国卫生物科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
55,北京求臻医疗器械有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
56,诺赛联合（北京）生物医学科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
57,北京鸿智电通科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
58,北京国安广传网络科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
59,曜立科技（北京）有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
60,博诺康源（北京）药业科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
61,生一科技（北京）有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
62,北京爱普益医学检验中心有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
63,弗瑞尔（北京）科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
64,北京科途医学科技有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
65,北京天空卫士网络安全技术有限公司,试点单位,2021年度示范新认定 ,2021,2021-2024,经开区
