北京经开区2021年度北京市企业技术中心,
序号,北京市企业技术中心所在企业名称
1,中航国际成套设备有限公司
2,中国航空技术北京有限公司
3,中航技进出口有限责任公司
4,北京首创大气环境科技股份有限公司
5,北京盛世华人供应链管理有限公司
6,北京延锋北汽汽车内饰件有限公司
7,北京中兴高达通信技术有限公司
8,北京奕斯伟计算技术有限公司
9,赛诺威盛科技（北京）股份有限公司
10,北京鑫开元医药科技有限公司
11,长城超云（北京）科技有限公司
12,北京德为智慧科技有限公司
13,北京天科合达半导体股份有限公司
14,北京京仪自动化装备技术股份有限公司
15,北京合康新能变频技术有限公司
16,葛洲坝能源重工有限公司
17,良业科技集团股份有限公司
18,北京新光凯乐汽车冷成型件股份有限公司
19,北京中车赛德铁道电气科技有限公司
20,北京华联印刷有限公司
21,北京昭衍新药研究中心股份有限公司
22,北京迪玛克医药科技有限公司
23,北京百普赛斯生物科技股份有限公司
24,中企动力科技股份有限公司
25,北京沃东天骏信息技术有限公司
26,统信软件技术有限公司
27,北京中体骏彩信息技术有限公司
28,中交路桥华北工程有限公司
29,北京泰豪智能工程有限公司
30,北京中航智科技有限公司
31,中晶环境科技股份有限公司
32,华泰永创（北京）科技股份有限公司
33,北京京东方能源科技有限公司
34,北京盛通印刷股份有限公司
35,宽腾（北京）医疗器械有限公司
36,北京金风慧能技术有限公司
37,北京中交兴路车联网科技有限公司
38,望海康信（北京）科技股份公司
