实施主体,职权编号,职权名称,职权种类
,,,
,,,
区交通局,C0613500,对校车载人超过核定人数未达20%的的行为进行处罚,罚款
,,,
,,,
区交通局,C1913600,对道路运输经营者未按规定报送相关信息的行为进行处罚,罚款
,,,
区交通局,C1913700,对道路运输专业人员在运营中未携带专业资格证件的行为进行处罚,罚款
,,,
区交通局,C1913800,对道路运输经营者未对专业人员进行岗前和在职专业技能培训或安排培训不合格的运营车辆驾驶员上岗，且逾期未改正的行为进行处罚,罚款
,,,
,,,
区交通局,C1913900,对道路运输企业未使用符合标准的监控平台，监控平台未接入联网联控系统，未按规定上传道路运输车辆动态信息且经责令改正后拒不改正的行为进行处罚,罚款
,,,
,,,
,,,
区交通局,C1914000,对道路运输企业未建立或者未有效执行交通违法动态信息处理制度，对驾驶员交通违法处理率低于90%的且经责令改正后拒不改正的行为进行处罚,罚款
,,,
,,,
区交通局,C1914100,对道路运输企业未按规定配备专职监控人员，且经责令改正后拒不改正的行为进行处罚,罚款
,,,
,,,
区交通局,C1914200,对道路运输经营者使用卫星定位装置出现故障不能保持在线的运输车辆从事经营活动，且经责令改正后拒不改正的行为进行处罚,罚款
,,,
区交通局,C1914300,对任何单位或者个人破坏卫星定位装置、恶意人为干扰、屏蔽卫星定位装置信号的行为进行处罚,罚款
,,,
区交通局,C1914400,对任何单位或者个人伪造、篡改、删除车辆动态监控数据的行为进行处罚,罚款
,,,
区交通局,C1914500,对客运经营者、货运经营者、危险货物、放射性物品运输企业、客运站经营者、货运站经营者、机动车维修经营者以及道路运输相关业务经营者不符合法定行政许可条件，逾期未改正的行为进行处罚,吊销许可证或营业执照
,,,
区交通局,C1914600,对客运经营者、货运经营者、危险货物、放射性物品运输企业或者单位、客运站经营者以及其他道路运输相关业务经营者非法转让、出租道路运输经营许可证件的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
,,,
,,,
,,,
区交通局,C1914700,对伪造《道路运输经营许可证》、《道路旅客运输班线经营许可证明》、《国际道路运输国籍识别标志》、《国际汽车运输行车许可证》、《国际汽车运输特别行车许可证》的行为进行处罚,罚款
,,,
区交通局,C1914800,对客运经营者（含国际道路客运经营者）、客运站经营者及客运相关服务经营者不按规定使用道路运输业专用票证或者转让、倒卖、伪造道路运输业专用票证的行为进行处罚,罚款
,,,
,,,
,,,
,,,
区交通局,C1914900,对客运经营者、货运经营者非法转让、出租车辆营运证的行为进行处罚,"没收违法所得,罚款"
,,,
区交通局,C1915000,对客运经营者、危险货物、放射性物品运输经营者经责令限期投保仍拒不投保承运人责任险的行为进行处罚,吊销许可证或营业执照
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区交通局,C1915100,对客运经营者、货运经营者、危险货物运输企业或者单位不按规定维护、检测运输车辆的行为进行处罚,罚款
,,,
区交通局,C1915200,对客运经营者、货运经营者、危险货物、放射性物品运输企业或者单位不按照规定携带《道路运输证》；国际道路运输经营者不按照规定携带《国际汽车运输行车许可证》或者《国际汽车运输特别行车许可证》的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区交通局,C1915300,对国际道路运输经营者的运输车辆不按照规定标明《国际道路运输国籍识别标志》的行为进行处罚,罚款
