实施主体,职权编号,职权名称,职权种类
,,,
,,,
区人力资源和社会保障局,C1100100,对擅自分立、合并以职业技能为主的职业资格培训、职业技能培训的民办学校的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1100200,对擅自改变以职业技能为主的职业资格培训、职业技能培训的民办学校的名称、层次、类别和举办者的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
,,,
区人力资源和社会保障局,C1100300,对以职业技能为主的职业资格培训、职业技能培训的民办学校发布虚假招生简章或者广告，骗取钱财的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1100400,对以职业技能为主的职业资格培训、职业技能培训的民办学校非法颁发或者伪造学历证书、结业证书、培训证书、职业资格证书的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
,,,
区人力资源和社会保障局,C1100500,对以职业技能为主的职业资格培训、职业技能培训的民办学校管理混乱严重影响教育教学，产生恶劣社会影响的的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1100600,对以职业技能为主的职业资格培训、职业技能培训的民办学校提交虚假证明文件或者采取其他欺诈手段隐瞒重要事实骗取办学许可证的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1100700,对以职业技能为主的职业资格培训、职业技能培训的民办学校伪造、变造、买卖、出租、出借办学许可证的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1100800,对以职业技能为主的职业资格培训、职业技能培训的民办学校恶意终止办学、抽逃资金或者挪用办学经费的行为进行处罚,"责令停产停业,没收违法所得,警告,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1100900,对以职业技能为主的职业资格培训、职业技能培训的民办学校的章程未规定出资人要求取得合理回报，出资人擅自取得回报的行为进行处罚,"责令停产停业,没收违法所得,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1101000,对以职业技能为主的职业资格培训、职业技能培训的民办学校的出资人违反规定，不得取得回报而取得回报的的行为进行处罚,"责令停产停业,没收违法所得,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1101100,对以职业技能为主的职业资格培训、职业技能培训的民办学校出资人不从办学结余而从民办学校的其他经费中提取回报的行为进行处罚,"责令停产停业,没收违法所得,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1101200,对以职业技能为主的职业资格培训、职业技能培训的民办学校不按照规定计算办学结余或者确定取得回报的比例的行为进行处罚,"责令停产停业,没收违法所得,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1101300,对以职业技能为主的职业资格培训、职业技能培训的民办学校的出资人从办学结余中取得回报的比例过高，产生恶劣社会影响的行为进行处罚,"责令停产停业,没收违法所得,吊销许可证或营业执照"
,,,
