实施主体,职权编号,职权名称,职权种类
,,,
,,,
区公安局,C0500100,对扰乱单位秩序的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0500200,对扰乱公共场所秩序的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0500300,对扰乱公共交通工具上的秩序的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0500400,对妨碍交通工具正常行驶的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0500500,对破坏选举秩序的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0500600,对聚众扰乱单位秩序的行为进行处罚,"行政拘留,罚款"
,,,
,,,
,,,
区公安局,C0500700,对聚众扰乱公共场所秩序的行为进行处罚,"行政拘留,罚款"
,,,
,,,
,,,
区公安局,C0500800,对聚众扰乱公共交通工具上的秩序的行为进行处罚,"行政拘留,罚款"
,,,
,,,
,,,
区公安局,C0500900,对聚众妨碍交通工具正常行驶的行为进行处罚,"行政拘留,罚款"
,,,
,,,
,,,
区公安局,C0501000,对聚众破坏选举秩序的行为进行处罚,"行政拘留,罚款"
,,,
,,,
,,,
区公安局,C0501100,对强行进入大型活动场内的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0501200,对违规在大型活动场内燃放物品的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0501300,对在大型活动场内展示侮辱性物品的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0501400,对围攻大型活动工作人员的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0501500,对向大型活动场内投掷杂物的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0501600,对其他扰乱大型活动秩序的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安局,C0501700,对虚构事实扰乱公共秩序的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0501800,对投放虚假危险物质的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0501900,对扬言实施放火、爆炸、投放危险物质扰乱公共秩序的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0502000,对结伙斗殴的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0502100,对追逐、拦截他人的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0502200,对强拿硬要或者任意损毁、占用公私财物的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0502300,对其他寻衅滋事行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0502400,对利用邪教、会道门、迷信活动危害社会的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0502500,对冒用宗教、气功名义危害社会的行为进行处罚,"行政拘留,罚款"
,,,
区公安局,C0502600,对故意干扰无线电业务正常进行的，或者拒不消除对无线电台（站）的有害干扰的行为进行处罚,行政拘留
,,,
区公安局,C0502700,对非法侵入计算机信息系统的行为进行处罚,行政拘留
,,,
区公安局,C0502800,对非法改变计算机信息系统功能的行为进行处罚,行政拘留
,,,
区公安局,C0502900,对非法改变计算机信息系统数据和应用程序的行为进行处罚,行政拘留
,,,
区公安局,C0503000,对故意制作、传播计算机破坏性程序影响运行的行为进行处罚,行政拘留
,,,
