实施主体,职权编号,职权名称,职权种类
,,,
,,,
区公安消防支队,C0572900,对互联网上网服务营业场所经营单位利用明火照明的行为进行处罚,"责令停产停业,警告,罚款"
,,,
区公安消防支队,C0573000,对互联网上网服务营业场所经营单位发现吸烟不予制止的行为进行处罚,"责令停产停业,警告,罚款"
,,,
区公安消防支队,C0573100,对互联网上网服务营业场所经营单位未悬挂禁止吸烟标志的行为进行处罚,"责令停产停业,警告,罚款"
,,,
区公安消防支队,C0573200,对互联网上网服务营业场所经营单位允许带入、存放易燃易爆物品的行为进行处罚,"责令停产停业,警告,罚款"
,,,
区公安消防支队,C0573300,对互联网上网服务营业场所经营单位在营业场所安装固定封闭门窗栅栏的行为进行处罚,"责令停产停业,警告,罚款"
,,,
区公安消防支队,C0573400,对互联网上网服务营业场所经营单位在营业期间封堵、锁闭门窗、安全疏散通道、安全出口的行为进行处罚,"责令停产停业,警告,罚款"
,,,
区公安消防支队,C0586600,对单位消防设施、器材、消防安全标志未保持完好有效的行为进行处罚,罚款
,,,
区公安消防支队,C0586800,对单位擅自停用、拆除消防设施、器材的行为进行处罚,罚款
,,,
区公安消防支队,C0587200,对单位或个人占用防火间距的行为进行处罚,罚款
,,,
区公安消防支队,C0587400,对单位或个人门窗设置影响逃生、灭火救援的障碍物的行为进行处罚,罚款
,,,
区公安消防支队,C0587800,对其他场所与居住场所设置在同一建筑物内不符合消防技术标准的行为进行处罚,"责令停产停业,罚款"
,,,
,,,
区公安消防支队,C0588400,对违反规定使用明火作业的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安消防支队,C0588800,对阻拦、不及时报告火警的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安消防支队,C0589100,对故意破坏、伪造火灾现场的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安消防支队,C0589200,对擅自拆封、使用被查封场所、部位的行为进行处罚,"行政拘留,警告,罚款"
,,,
区公安消防支队,C0589400,对电器产品的安装、使用不符合规定的行为进行处罚,罚款
,,,
,,,
区公安消防支队,C0589500,对燃气用具的安装、使用不符合规定的行为进行处罚,罚款
,,,
,,,
区公安消防支队,C0589800,对不履行消防安全职责逾期未改的行为进行处罚,警告
,,,
,,,
,,,
,,,
区公安消防支队,C0590000,对消防技术服务机构出具虚假、失实文件的行为进行处罚,"没收违法所得,罚款,吊销许可证或营业执照"
,,,
,,,
区公安消防支队,C0590100,对消防控制室值班人员擅离职守的行为进行处罚,罚款
,,,
区公安消防支队,C0590600,对消防安全管理制度未备案的行为进行处罚,罚款
,,,
区公安消防支队,C0590900,对未保持消防设施、器材完好有效的行为进行处罚,罚款
,,,
,,,
,,,
区公安消防支队,C0591400,对违规存放、保管、使用施工材料的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区公安消防支队,C0591800,对未按照规定配置消防器材的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区公安消防支队,C0591900,对未按照规定设置临时消防给水系统的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区公安消防支队,C0592100,对维修消防设施未采取有效替代措施的行为进行处罚,罚款
,,,
,,,
,,,
