实施主体,职权编号,职权名称,职权种类
,,,
,,,
区发展和改革委员会,C0003900,对拒绝配合或者拒绝提供信息的行为进行处罚,罚款
,,,
区发展和改革委员会,C0004000,对定点单位未准确、及时完整报送价格相关信息的，的行为进行处罚,罚款
,,,
区发展和改革委员会,C0004300,对使用国家明令淘汰的用能设备或者生产工艺的行为进行处罚,没收违法所得
,,,
区发展和改革委员会,C0004400,对从事节能咨询、设计、评估、检测、审计、认证等服务的机构提供虚假信息的行为进行处罚,"没收违法所得,罚款"
,,,
区发展和改革委员会,C0004500,对无偿向本单位职工提供能源或者对能源消费实行包费制逾期不改正的行为进行处罚,罚款
,,,
区发展和改革委员会,C0004600,对重点用能单位未按规定报送能源利用状况报告或者报告内容不实，逾期不改正的行为进行处罚,罚款
,,,
区发展和改革委员会,C0004700,对重点用能单位无正当理由拒不落实整改要求或者整改没有达到要求的行为进行处罚,罚款
,,,
区发展和改革委员会,C0004800,对重点用能单位未按规定设立能源管理岗位，聘任能源管理负责人，并报备案的行为进行处罚,罚款
,,,
区发展和改革委员会,C0004900,对使用列入淘汰名录的技术的技术、工艺、设备、材料的行为进行处罚,罚款
,,,
区发展和改革委员会,C0005000,对电力、石油加工、化工、钢铁、有色金属和建材等企业未在规定的范围或者期限内停止使用不符合国家规定的燃油发电机组或者燃油锅炉的行为进行处罚,罚款
,,,
区发展和改革委员会,C0005100,对用能单位拒不提供相关资料、样品，或者隐瞒事实真相，伪造、隐匿、销毁、篡改证据的行为进行处罚,罚款
,,,
区发展和改革委员会,C0005200,对未按照规定公布能源消耗情况的行为进行处罚,罚款
,,,
区发展和改革委员会,C0005300,对未实施强制性清洁生产审核或者在清洁生产审核中弄虚作假的进行处罚,罚款
,,,
,,,
,,,
区发展和改革委员会,C0005400,实施强制性清洁生产审核的企业不报告或者不如实报告审核结果的进行处罚,罚款
,,,
区发展和改革委员会,C0007400,对“依法应当公开招标而采用邀请招标”的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区发展和改革委员会,C0007800,对招标代理机构违反《中华人民共和国招标投标法》规定，泄露应当保密的与招标投标活动有关的情况和资料的，或者与招标人、投标人串通损害国家利益、社会公共利益或者他人合法权益的行为进行处罚（市、区重点建设项目）,"没收违法所得,罚款"
,,,
,,,
,,,
,,,
区发展和改革委员会,C0007900,对“招标人以不合理的条件限制或者排斥潜在投标人的，对潜在投标人实行歧视待遇的，强制要求投标人组成联合体共同投标的，或者限制投标人之间竞争的”行为进行处罚（市、区重点建设项目）,罚款
,,,
,,,
,,,
区发展和改革委员会,C0008000,对“依法必须进行招标的项目的招标人向他人透露已获取招标文件的潜在投标人的名称、数量或者可能影响公平竞争的有关招标投标的其他情况的，或者泄露标底的”行为进行处罚（市、区重点建设项目）,"警告,罚款"
,,,
,,,
,,,
,,,
区发展和改革委员会,C0008100,对“招标代理机构在所代理的招标项目中投标、代理投标或者向该项目投标人提供咨询的，接受委托编制标底的中介机构参加受托编制标底项目的投标或者为该项目的投标人编制投标文件、提供咨询的”行为进行处罚（市、区重点建设项目）,"没收违法所得,罚款"
,,,
,,,
