实施主体,职权编号,职权名称,职权种类
,,,
,,,
区教育委员会,C0101200,对民办学校（实施学历教育、学前教育、自学考试助学及其他文化教育）恶意终止办学、抽逃资金或者挪用办学经费的行为进行处罚,"没收违法所得,警告,吊销许可证或营业执照"
,,,
,,,
区教育委员会,C0101900,对民办学校（实施学历教育、学前教育、自学考试助学及其他文化教育）未依规定将出资人取得回报比例的决定和向社会公布的与其办学水平和教育质量有关的材料、财务状况报审批机关备案，或者向审批机关备案的材料不真实的行为进行处罚,"没收违法所得,吊销许可证或营业执照"
,,,
,,,
区教育委员会,C0102500,对擅自设立职业学校的行为进行处罚,没收违法所得
,,,
区教育委员会,C0102600,对职业学校违法给学业成绩不合格者颁发学历证书、培训证书的行为进行处罚,"没收违法所得,吊销许可证或营业执照"
,,,
区教育委员会,C0102700,对民办学校（实施学历教育、学前教育、自学考试助学及其他文化教育）在筹备设立期内招收学生的行为进行处罚,责令停产停业
,,,
区教育委员会,C0102800,对使用假资格证书的行为进行处罚,没收违法所得
,,,
,,,
区教育委员会,C0104200,对学校以向学生推销或者变相推销商品、服务等方式谋取利益的行为进行处罚,没收违法所得
,,,
区教育委员会,C0104300,对未经登记注册，擅自招收幼儿的行为进行处罚,责令停产停业
,,,
区教育委员会,C0104400,对幼儿园园舍、设施不符合国家卫生标准、安全标准，妨害幼儿身体健康或者威胁幼儿生命安全的行为进行处罚,责令停产停业
,,,
区教育委员会,C0104500,对幼儿园教育内容和方法违背幼儿教育规律，损害幼儿身心健康的行为进行处罚,责令停产停业
,,,
区教育委员会,C0104600,对幼儿园体罚或变相体罚幼儿的行为进行处罚,"警告,罚款"
,,,
区教育委员会,C0104700,对使用有毒、有害物质制作教具、玩具的行为进行处罚,"警告,罚款"
,,,
区教育委员会,C0104800,对克扣、挪用幼儿园经费的行为进行处罚,"警告,罚款"
,,,
区教育委员会,C0104900,对侵占、破坏幼儿园园舍、设备的行为进行处罚,"警告,罚款"
,,,
区教育委员会,C0105000,对干扰幼儿园正常工作秩序的行为进行处罚,"警告,罚款"
,,,
区教育委员会,C0105100,对在幼儿园周围设置有危险、有污染或者影响幼儿园采光的建设和设施的行为进行处罚,"警告,罚款"
,,,
区教育委员会,C0105200,对剥夺未成年人接受义务教育权利的行为进行处罚,罚款
,,,
区教育委员会,C0105300,对擅自举办民办学校的行为进行处罚,"其他,罚款"
,,,
区教育委员会,C0105400,对品行不良、侮辱学生，影响恶劣的处罚,吊销许可证或营业执照
,,,
区教育委员会,C0105500,对弄虚作假、骗取教师资格的处罚,吊销许可证或营业执照
,,,
区教育委员会,C0105600,对学校或者其他教育机构违反国家有关规定招收学生的行为进行处罚,"其他,警告,罚款,吊销许可证或营业执照"
,,,
