实施主体,职权编号,职权名称,职权种类
,,,
,,,
区林业种子苗木管理站,C4303200,对未经批准采集或者采伐本市重点保护的天然林木种质资源的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
区林业种子苗木管理站,C4303600,对同一个林木品种在经营、推广过程中未使用同一个名称的行为进行处罚,罚款
,,,
区林业种子苗木管理站,C4303700,对经营、推广的主要林木良种未使用审定公告确定的品种名称的行为进行处罚,罚款
,,,
区林业种子苗木管理站,C4304800,对擅自开拆检讫的林业植物及其产品封识的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
区林业种子苗木管理站,C4317600,对进出口假、劣种子或者属于国家规定不得进出口的种子的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
区林业种子苗木管理站,C4317700,对作为良种推广、销售应当审定未经审定的林木品种的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
区林业种子苗木管理站,C4317800,对生产经营劣种子的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
,,,
区林业种子苗木管理站,C4317900,对未根据林业主管部门制定的计划使用林木良种逾期未改正的行为进行处罚,罚款
,,,
区林业种子苗木管理站,C4318200,对拒绝、阻挠林业主管部门依法实施监督检查的行为进行处罚,"责令停产停业,罚款"
,,,
区林业种子苗木管理站,C4318300,对伪造、变造、买卖、租借林木种子生产经营许可证的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
区林业种子苗木管理站,C4318400,对推广、销售应当停止推广、销售的林木良种的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
区林业种子苗木管理站,C4318500,对为境外制种的林木种子在境内销售的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
区林业种子苗木管理站,C4318600,对未按规定建立、保存林木种子生产经营档案的行为进行处罚,罚款
,,,
区林业种子苗木管理站,C4318700,对林木种子生产经营者在异地设立分支机构、专门经营不再分装的包装种子或者受委托生产、代销种子，未按规定备案的行为进行处罚,罚款
,,,
,,,
区林业种子苗木管理站,C4318800,对未取得林木种子生产经营许可证生产经营林木种子的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
区林业种子苗木管理站,C4318900,对侵占、破坏林木种质资源，私自采集或者采伐国家重点保护的天然林木种质资源的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
,,,
区林业种子苗木管理站,C4319000,对在林业种子生产基地进行检疫性有害生物接种试验的行为进行处罚,罚款
,,,
区林业种子苗木管理站,C4319100,对抢采掠青、损坏母树或者在劣质林内、劣质母树上采种的行为进行处罚,"没收非法财物,罚款"
,,,
区林业种子苗木管理站,C4319300,对生产经营假种子的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
,,,
,,,
区林业种子苗木管理站,C4319500,对未经许可进出口林木种子的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
区林业种子苗木管理站,C4319600,对涂改林木种子标签的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
区林业种子苗木管理站,C4319700,对销售的林木种子应当包装而没有包装的行为进行处罚,罚款
,,,
区林业种子苗木管理站,C4319800,对伪造测试、试验、检验数据或者出具虚假证明的行为进行处罚,"没收违法所得,罚款"
,,,
区林业种子苗木管理站,C4319900,对从境外引进林木种子进行引种试验的收获物作为种子在境内销售的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
区林业种子苗木管理站,C4320000,对侵犯植物新品种权的行为进行处罚,"没收违法所得,罚款"
,,,
区林业种子苗木管理站,C4320100,对未按照林木种子生产经营许可证规定生产经营林木种子的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
区林业种子苗木管理站,C4320300,对未经批准，收购珍贵树木种子或者限制收购的林木种子的行为进行处罚,"没收非法财物,罚款"
,,,
区林业种子苗木管理站,C4320500,对以欺骗、贿赂等不正当手段取得林木种子生产经营许可证的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
区林业种子苗木管理站,C4323100,对销售的种子没有使用说明或者标签内容不符合规定的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
