实施主体,职权编号,职权名称,职权种类
,,,
,,,
区民族宗教事务办公室,C0400100,对擅自举行大型宗教活动的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
区民族宗教事务办公室,C0400200,对举办大型宗教活动过程中发生危害国家安全、公共安全或者严重破坏社会秩序情况负有责任的行为进行处罚,吊销许可证或营业执照
,,,
区民族宗教事务办公室,C0400600,对宗教活动场所未建立有关管理制度或管理制度不符合要求的行为进行处罚 ,"没收违法所得,没收非法财物,吊销许可证或营业执照"
,,,
区民族宗教事务办公室,C0400700,对宗教活动场所内发生重大事故、重大事件未及时报告，造成严重后果的行为进行处罚,"没收违法所得,没收非法财物,吊销许可证或营业执照"
,,,
,,,
区民族宗教事务办公室,C0400800,对违背宗教的独立自主自办原则的行为进行处罚,"没收违法所得,没收非法财物,吊销许可证或营业执照"
,,,
区民族宗教事务办公室,C0401500,对擅自设立宗教院校的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区民族宗教事务办公室,C0401600,对非宗教团体、非宗教院校、非宗教活动场所、非指定的临时活动地点组织、举行宗教活动，接受宗教性捐赠的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
区民族宗教事务办公室,C0401700,对擅自组织公民出境参加宗教方面的培训、会议、朝觐等活动，或者擅自开展宗教教育培训的行为进行处罚,"没收违法所得,没收非法财物,罚款,吊销许可证或营业执照"
,,,
,,,
区民族宗教事务办公室,C0401800,对违反《宗教事务条例》规定，修建大型露天宗教造像的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
,,,
,,,
区民族宗教事务办公室,C0401900,对假冒宗教教职人员进行宗教活动或者骗取钱财等违法活动的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
,,,
,,,
区民族宗教事务办公室,C0403000,对转让、出租、买卖、借用清真专用标志的行为进行处罚,"罚款,吊销许可证或营业执照"
,,,
区民族宗教事务办公室,C0403100,对经营非清真食品使用清真标志的行为进行处罚,"罚款,吊销许可证或营业执照"
,,,
区民族宗教事务办公室,C0403200,对对清真食品的运输车辆、计量器具、储藏容器和加工、销售场地等未实行专用的行为进行处罚,罚款
,,,
区民族宗教事务办公室,C0403300,对未经批准擅自生产经营清真食品的行为进行处罚,罚款
,,,
,,,
区民族宗教事务办公室,C0403400,对单位的从业人员中回族等少数民族比例，在经销单位少于25％，在生产单位少于10％；负责人中没有回族等少数民族的成员；饮食服务业单位的厨师和主要岗位以及其它单位的采购、仓库保管、技术指导等岗位没有回族等少数民族的人员，以及单位的职工食堂没有设清真灶的行为进行处罚,罚款
,,,
区民族宗教事务办公室,C0403500,对清真食品生产经营者未在生产经营场所显著位置，悬挂市民族工作部门统一制发的清真标牌的行为进行处罚,罚款
,,,
区民族宗教事务办公室,C0403600,对清真食品生产经营者生产经营的清真食品的包装上未印有清真标志，牛、羊、驼、鸡、鸭等未按清真屠宰习惯屠宰，自行采购的没有清真屠宰证明，出售回族等少数民族禁忌的食品的行为进行处罚,罚款
,,,
