实施主体,职权编号,职权名称,职权种类
,,,
,,,
区气象局,C5600200,对危害气象探测环境的行为进行处罚,罚款
,,,
,,,
,,,
区气象局,C5600300,对安装不符合使用要求的雷电灾害防护装置的行为进行处罚,警告
,,,
区气象局,C5600400,对非法向社会发布公众气象预报、灾害性天气警报的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600500,对广播、电视、报纸、电信等媒体向社会传播公众气象预报、灾害性天气警报，不使用气象主管机构所属的气象台站提供的适时气象信息的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600600,对从事大气环境影响评价的单位进行工程建设项目大气环境影响评价时，使用的气象资料不是气象主管机构提供或者审查的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600700,对不具备省、自治区、直辖市气象主管机构规定的资格条件实施人工影响天气作业的或者实施人工影响天气作业使用不符合国务院气象主管机构要求的技术标准的作业设备的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600800,对违反人工影响天气作业规范或者操作规程的行为进行处罚,警告
,,,
区气象局,C5600900,对未按照批准的空域和作业时限实施人工影响天气作业的行为进行处罚,"警告,吊销许可证或营业执照"
,,,
区气象局,C5601000,对将人工影响天气作业设备转让给非人工影响天气作业单位或者个人的行为进行处罚,"警告,吊销许可证或营业执照"
,,,
区气象局,C5601100,对将人工影响天气作业设备用于与人工影响天气无关的活动的行为进行处罚,"警告,吊销许可证或营业执照"
,,,
区气象局,C5601200,对未经批准擅自升放无人驾驶自由气球或者系留气球的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601300,对未按照批准的申请升放无人驾驶自由气球或者系留气球的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601400,对升放无人驾驶自由气球或者系留气球未按照规定设置识别标志的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601500,对未及时报告升放动态或者系留气球意外脱离时未按照规定及时报告的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601600,对在规定的禁止区域内升放无人驾驶自由气球或者系留气球的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601700,对无资质从事防雷装置检测的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
区气象局,C5601800,对超越资质许可范围从事防雷装置检测的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
,,,
区气象局,C5601900,对在雷电防护装置设计、施工、检测中弄虚作假的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602000,对擅自向社会发布气象灾害预警信号的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602100,对广播、电视、报纸、电信等媒体未按照要求播发、刊登灾害性天气警报和气象灾害预警信号的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602200,对在气象设施周边进行危及气象设施安全的爆破、钻探、采石、挖砂、取土活动的行为，逾期拒不恢复原状或者采取其他补救措施的，进行处罚,罚款
,,,
区气象局,C5602300,对挤占、干扰依法设立的气象无线电台（站）、频率的行为，逾期拒不恢复原状或者采取其他补救措施的，进行处罚,罚款
,,,
区气象局,C5602400,对设置影响大型气象专用技术装备使用功能的干扰源的行为，逾期拒不恢复原状或者采取其他补救措施的，进行处罚,罚款
,,,
