数据类型,行政相对人名称,统一社会信用代码,工商注册号,组织机构代码,税务登记号,事业单位证书号,社会组织登记证号,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财务的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,上报日期
个体工商户,北京王殿芬餐饮服务有限公司,91110116MA009K4X63,,,,,,王殿芬,京怀城管罚字【2020】140023号,主动向消费者提供一次性用品的,经查，当事人于2020年12月10 日10时20分，在北京市怀柔区怀柔镇张各长村411-1号，将一次性筷子摆在餐桌上，主动提供给消费者。,北京市生活垃圾管理条例 违反条款：第二十六条第二款；处罚条款：第六十六条第二款 责令立即改正，处五千元以上一万元以下罚款；再次违反规定的，处一万元以上五万元以下罚款,罚款,违反条款：第二十六条第二款；处罚条款：第六十六条第二款 责令立即改正，处五千元以上一万元以下罚款；再次违反规定的，处一万元以上五万元以下罚款,0.5,,,2020/12/11,2020/12/11,2099/12/31,北京市怀柔区城市管理综合行政执法局,111102270000985895,北京市怀柔区城市管理综合行政执法局,111102270000985895,,2020年12月17日
企业,北京宜尚酒店管理有限公司,91110116MA00DMJRX3,,,,,,汪祖亦,京怀城管不罚字﹝2020﹞140001号,未将生活垃圾分别投入相应标识的收集容器的收集容器,经查，当事人于2020年12月9 日9时15分，在北京市怀柔区富乐小区北里24号，将牛奶袋等生活垃圾混合倒入餐厨垃圾桶内，未按照要求分别投入相应标识的收集容器中。经责令，当事人当场改正了上述行为。,北京市生活垃圾管理条例 对单位：违反条款：违反条款：第三十四条第一款第（一）项；处罚条款：第六十八条第一款 责令立即改正，情节严重的，处五万元以上五十万元以下罚款。对个人：第三十四条第一款第（一）项；处罚条款：第六十八条第二款 对拒不听从生活垃圾分类管理责任人劝阻的，给予书面警告；处五十元以上二百元以下罚款,其他,对单位：违反条款：违反条款：第三十四条第一款第（一）项；处罚条款：第六十八条第一款 责令立即改正，情节严重的，处五万元以上五十万元以下罚款。对个人：第三十四条第一款第（一）项；处罚条款：第六十八条第二款 对拒不听从生活垃圾分类管理责任人劝阻的，给予书面警告；处五十元以上二百元以下罚款,,,,2020/12/9,2020/12/9,2099/12/31,北京市怀柔区城市管理综合行政执法局,111102270000985895,北京市怀柔区城市管理综合行政执法局,111102270000985895,不予处罚,2020年12月17日
企业,三河市占友机械租赁有限公司,91131082MA086TFF4Y,,,,,,陈占友,京怀怀北镇罚字〔2020〕0003号,未按规定设置生活垃圾分类收集容器,三河市占友机械租赁有限公司于2020年8月31日11时10分，在北京市怀柔区科学城核心区高能同步辐射光源项目生活区内，未按规定设置生活垃圾分类收集容器并且生活垃圾分类收集容器未按规定进行管护出现污损。经执法人员责令，三河市占友机械租赁有限公司当场按照规定设置了垃圾收集容器并将污损的垃圾收集容器进行了更换。,《北京市生活垃圾管理条例》,罚款,违反了《北京市生活垃圾管理条例》第三十五条第一款第（三）项的规定，属于未按规定设置生活垃圾分类收集容器的行为，对本市正常的生活垃圾管理造成影响。依据《北京市生活垃圾管理条例》第六十八条第一款的规定，并综合考虑此案违法事实、性质、情节、社会危害程度和相关证据做出处罚,0.9,,,2020/9/7,2020/9/22,2021/1/30,北京市怀柔区怀北镇人民政府,111102270000983433,北京市怀柔区怀北镇人民政府,111102270000983433,一般处罚,2020年10月30日
企业,山西兴桐建设有限公司,91149900MA0JWBHK0N,,,,,,胡鑫,京怀怀北镇罚字〔2020〕0002-1号,施工现场土方未采取覆盖措施,山西兴桐建设有限公司于2020年7月23日14时23分，在北京市怀柔区怀北镇大水峪村西侧200米处的京通铁路电化工程工地施工，施工现场有土方未采取覆盖措施，执法人员对未有效覆盖的土方面积进行了现场勘验，经勘验，土方占地面积为8平方米。经责令，当事人当场对裸露土方进行了覆盖。,《北京市大气污染防治条例》,罚款,违反了《北京市大气污染防治条例》第八十一条第一款第（三）项的规定，属于施工现场土方未采取覆盖措施的行为，影响了本市的市容环境秩序。依据《北京市大气污染防治条例》第一百一十九条的规定做出处罚,1,,,2020/8/1,2020/8/15,2021/1/30,北京市怀柔区怀北镇人民政府,111102270000983433,北京市怀柔区怀北镇人民政府,111102270000983433,一般处罚,2020年10月30日
企业,北京盛世百合餐饮有限公司,91110116348468405E,,,,,,关强,京怀怀北镇罚字〔2020〕0002号,餐饮服务单位未按规定收集厨余垃圾,2020年8月31日10时40分，北京盛世百合餐饮有限公司在北京市怀柔区科学城核心区高能同步辐射光源项目生活区食堂没有单独收集厨余垃圾，将生活垃圾混入厨余垃圾收集容器内。执法人员责令北京盛世百合餐饮有限公司当场将混投的生活垃圾分类投入了相应的垃圾收集容器内。,《北京市生活垃圾管理条例》,罚款,违反了《北京市生活垃圾管理条例》第四十七条第二款的规定，属于餐饮服务单位未按规定收集厨余垃圾的行为，对本市正常的生活垃圾管理造成影响。依据《北京市生活垃圾管理条例》第七十三条第一款的规定，并综合考虑此案违法事实、性质、情节、社会危害程度和相关证据做出处罚,1,,,2020/9/5,2020/9/20,2021/1/30,北京市怀柔区怀北镇人民政府,111102270000983433,北京市怀柔区怀北镇人民政府,111102270000983433,一般处罚,2020年10月30日
企业,天津成源建筑工程有限公司,91120223MA06U9908P,,,,,,李福希,京怀怀北镇罚字〔2020〕0005号,未按规定处置建筑垃圾,2020年9月5日10时05分，天津成源建筑工程有限公司在北京市怀柔区雁栖湖北路中国国际商会会馆前500米处雁柏山庄项目工地施工，施工现场存在未按规定处置建筑垃圾的行为。执法人员对未按规定处置的建筑垃圾面积进行了现场勘验，经勘验，建筑垃圾占地面积为9平方米。,《北京市大气污染防治条例》,罚款,违反了《北京市大气污染防治条例》第八十二条第二款的规定，属于未按规定处置建筑垃圾的行为，影响了本市的市容环境秩序。依据《北京市大气污染防治条例》第一百二十条的规定，并综合考虑此案违法事实、性质、情节、社会危害程度和相关证据做出处罚,2,,,2020/9/18,2020/10/3,2021/1/30,北京市怀柔区怀北镇人民政府,111102270000983433,北京市怀柔区怀北镇人民政府,111102270000983433,一般处罚,2020年10月30日
企业,海兴金兴建筑劳务分包有限公司,91130924MA0DJJ290L,,,,,,刘桂香,京怀怀北镇罚字〔2020〕0004号,未按规定覆盖建筑土方,海兴金兴建筑劳务分包有限公司于2020年9月5日10时25分，在北京市怀柔区怀北镇大水峪村西侧200米处的京通铁路电化工程工地施工，施工现场的建筑土方未按规定进行覆盖，执法人员对未有效覆盖的土方面积进行了现场勘验，经勘验，土方占地面积为12平方米。经责令，当事人当场对裸露土方进行了覆盖。,《北京市大气污染防治条例》,罚款,违反了《北京市大气污染防治条例》第八十二条第二款的规定，属于未按规定覆盖建筑土方的行为，影响了本市的市容环境秩序。依据《北京市大气污染防治条例》第一百二十条的规定，并综合考虑此案违法事实、性质、情节、社会危害程度和相关证据做出处罚,2,,,2020/9/16,2020/10/1,2021/1/30,北京市怀柔区怀北镇人民政府,111102270000983433,北京市怀柔区怀北镇人民政府,111102270000983433,一般处罚,2020年10月30日
企业,中嘉诚建筑工程（北京）有限公司,91110113MA01DPLC9Q,,,,,,陈玉宝,怀柔镇  罚字（2020）003号,《北京市环境噪声污染防治办法》第十八条第二款,中嘉诚建筑工程（北京）有限公司，在北京市怀柔区怀柔镇张各长村F2公建混合住宅用地项目工地进行浇注混凝土施工作业，无夜间施工许可证。,《北京市环境噪声污染防治办法》第四十条,罚款,中嘉诚建筑工程（北京）有限公司于2020年7月19日23时15分在北京市怀柔区怀柔镇张各长村F2公建混合住宅用地项目工地进行浇注混凝土施工作业，无夜间施工许可证。,1,0,,2020/7/19,2099/7/19,2021/7/19,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年8月7日
企业,北京登飞来峰建筑装饰工程有限公司,91110116MA01DA6H39,,,,,,彭丽芳,怀柔镇 罚字〔2020〕006号,《北京市市容环境卫生条例》第五十九条第一款,北京登飞来峰建筑装饰工程有限公司在北京市怀柔区红螺家园小区东侧100米处违反规定倾倒建筑废弃物，经现场勘验，倾倒面积为6平方米,《北京市市容环境卫生条例》第五十九条第四款,罚款,北京登飞来峰建筑装饰工程有限公司于2020年8月6日16时35分在北京市怀柔区红螺家园小区东侧100米处违反规定倾倒建筑废弃物，经现场勘验，倾倒面积为6平方米,0.5,0,,2020/8/11,2099/8/11,2021/8/11,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年8月14日
企业,张家界市桑植县成升建筑劳务有限公司,91430822740610234R,,,,,,金必胜,怀柔镇 罚字〔2020〕007号,《北京市生活垃圾管理条例》第三十三条第（一）项,张家界市桑植县成升建筑劳务有限公司在北京市怀柔区永泰北街9号院内食堂门口有未将生活垃圾分别投入相应标识的收集容器的行为，涉嫌违反《北京市生活垃圾管理条例》第三十三条第（一）项之规定，依据《北京市生活垃圾管理条例》第六十七条第一款之规定，应予处罚，建议立案调查。,《北京市生活垃圾管理条例》第六十七条第一款,罚款,张家界市桑植县成升建筑劳务有限公司在北京市怀柔区永泰北街9号院内食堂门口有未将生活垃圾分别投入相应标识的收集容器的行为，,0.1,,,2020/8/19,2099/8/19,2021/8/19,北京市怀柔区怀柔镇政府,111102270000982982,北京市怀柔区怀柔镇政府,111102270000982982,,2020年8月20日
