实施主体,职权编号,职权名称,职权种类
,,,
,,,
区规划和自然资源委员会,C0586200,对建筑设计单位不按照消防技术标准强制性要求进行消防设计的行为进行处罚,"责令停产停业,罚款"
,,,
区规划和自然资源委员会,C0612900,对建设单位要求建筑设计单位或者建筑施工企业降低消防技术标准设计、施工的行为进行处罚,"责令停产停业,罚款"
,,,
区规划和自然资源委员会,C1200100,对买卖或者以其他形式非法转让土地的行为进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
,,,
区规划和自然资源委员会,C1200200,对未经批准或者采取欺骗手段骗取批准非法占用土地的行为进行处罚,"没收非法财物,罚款"
,,,
,,,
区规划和自然资源委员会,C1200300,对超过批准的数量占用土地的行为进行处罚,"没收非法财物,罚款"
,,,
,,,
,,,
区规划和自然资源委员会,C1200400,对在土地利用总体规划确定的禁止开垦区内进行开垦的行为进行处罚,"没收非法财物,罚款"
,,,
,,,
,,,
,,,
区规划和自然资源委员会,C1200500,对将农民集体所有的土地的使用权非法出让、转让或者出租用于非农业建设的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
区规划和自然资源委员会,C1200600,对破坏或者擅自改变基本农田保护区标志的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1200700,对占用耕地建窑、建坟或者擅自在耕地上建房、挖砂、采石、采矿、取土、堆放固体废弃物或者从事其他活动等，破坏种植条件的，或者因开发土地造成土地荒漠化、盐渍化的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1200800,对占用基本农田建窑、建房、建坟、挖砂、采石、采矿、取土、堆放固体废弃物或者从事其他活动破坏基本农田，毁坏种植条件的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1200900,对拒不履行土地复垦义务的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1201000,对土地复垦义务人应当缴纳土地复垦费而不缴纳的行为进行处罚,"罚款,吊销许可证或营业执照"
,,,
区规划和自然资源委员会,C1201100,对造成土地损毁的土地复垦义务人未按照规定补充编制土地复垦方案的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1201200,对土地复垦义务人未依法将土地复垦费用列入生产成本或者建设项目总投资的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1201300,对土地复垦义务人未依法对拟损毁的耕地、林地、牧草地进行表土剥离的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1201400,对土地复垦义务人未按照规定报告土地损毁情况、土地复垦费用使用情况或者土地复垦工程实施情况的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1201500,对土地复垦义务人拒绝、阻碍国土资源主管部门监督检查，或者在接受监督检查时弄虚作假的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1201600,对依法收回国有土地使用权当事人拒不交出土地的的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1201700,对临时使用土地期满拒不归还土地的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1201800,对不按照批准的用途使用国有土地的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1201900,对未经批准擅自转让、出租、抵押划拨土地使用权的行为进行处罚,"没收非法财物,罚款"
,,,
,,,
