2025年单用途商业预付卡备案企业列表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
序号,时间,统一社会信用代码,企业名称,备案号,企业类型
1,2025年,911101175636869905,权金城企业管理（北京）有限公司,110000CBE0021,品牌发卡
2,2025年,91110108306394217T,北京霸蛮天下科技有限公司,110000CBE0029,品牌发卡
3,2025年,91110105801662733D,北京大董烤鸭店有限责任公司,110000CBE0026,品牌发卡
4,2025年,91110000778602678X,北京艾丝碧西食品有限公司,110000CAB0021,品牌发卡
5,2025年,91110102600032495R,中化石油销售有限公司,110000CAA0024,品牌发卡
6,2025年,91110000710933753A,中海石油炼化有限责任公司,110000CAB0023,品牌发卡
7,2025年,911100000716520145,北京一轻食品集团有限公司,110000CBE0027,品牌发卡
8,2025年,911101055636846881,北京泡泡玛特文化创意有限公司,110000CAB0025,品牌发卡
9,2025年,91110107722603890L,北京爱侬养老科技发展股份有限公司,110000CCF0001,品牌发卡
10,2025年,911101020513980397,北京华联鑫创益科技有限公司,110000CAA0001,品牌发卡
11,2025年,91110000100003102B,中国石油化工股份有限公司,110000CAB0001,品牌发卡
12,2025年,91110108067265302X,北京话梅乐享科技有限公司,110000CAA0027,品牌发卡
13,2025年,911101066336487396,北京福奈特洗衣服务有限公司,110000CCF0021,品牌发卡
14,2025年,91110108762169304Y,北京新燕莎商业有限公司,110000CAA0002,品牌发卡
15,2025年,91110101101316805B,北京稻香村食品有限责任公司,110000CAB0011,品牌发卡
16,2025年,911100005877273397,永旺（中国）投资有限公司,110000CAA0023,品牌发卡
17,2025年,9111000010169198XH,赛特集团有限公司,110000CAA0007,品牌发卡
18,2025年,91110108053639457D,北京江边城外投资管理有限公司,110000CBE0025,品牌发卡
19,2025年,91110000710925462X,中国石油天然气股份有限公司,110000CAB0002,品牌发卡
20,2025年,91110108633796424C,北京新镇置业有限责任公司,110000BAA0021,集团发卡
21,2025年,91110000101623741K,中国全聚德（集团）股份有限公司,110000BBE0002,集团发卡
22,2025年,911101086774158146,幸福荣耀（北京）超市有限公司,110000BAA0024,集团发卡
23,2025年,91110102801449000U,北京三夫户外用品股份有限公司,110000BAB0002,集团发卡
24,2025年,911100007461029945,北京翠微大厦股份有限公司,110000BAA0003,集团发卡
25,2025年,91110105MA01ACL686,北京天九云电子商务集团有限公司,110000BAA0041,集团发卡
26,2025年,91110102754150734K,聚德华天控股有限公司,110000BBE0023,集团发卡
27,2025年,9111000070017786XN,北京居然之家投资控股集团有限公司,110000BAA0022,集团发卡
28,2025年,91110108MA00G8U07Y,北京便利蜂连锁商业有限公司,110000BAA0027,集团发卡
29,2025年,91110105101756720B,爱慕股份有限公司,110000BAB0021,集团发卡
30,2025年,91110000600015708Y,顺峰饮食酒店管理股份有限公司,110000BBE0021,集团发卡
