附件7,,,,,,,,
2022年延庆区卫生健康委员会国家随机抽查结果,,,,,,,,
序号,抽查计划名称,检查任务名称,检查对象名称,检查内容,检查部门,检查日期,检查结果,处理结果
1,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,好益生医院,放射卫生,北京市延庆区卫生健康委员会,2022/10/31 15:51,合格,\
2,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京博信快乐娃科技文化有限公司延庆分公司,公共场所,北京市延庆区卫生健康委员会,2022-10-14 13:53,已不存在,\
3,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区四海镇郭家湾村卫生室,医疗机构,北京市延庆区卫生健康委员会,2022-10-14 10:28,合格,\
4,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区四海镇南湾村卫生室,医疗机构,北京市延庆区卫生健康委员会,2022-10-14 09:47,合格,\
5,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区中心血站,血液管理,北京市延庆区卫生健康委员会,2022-10-13 09:39,合格,\
6,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区康庄镇社区卫生服务中心,医疗机构,北京市延庆区卫生健康委员会,2022-10-12 14:24,合格,\
7,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京中医医院延庆医院(北京市延庆区中医医院）,计划生育,北京市延庆区卫生健康委员会,2022-10-12 10:09,合格,\
8,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区医院（北京大学第三医院延庆医院）,计划生育,北京市延庆区卫生健康委员会,2022-10-11 09:44,合格,\
9,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京阿诺美容中心,公共场所,北京市延庆区卫生健康委员会,2022-10-09 14:30,已不存在,\
10,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区妇幼保健院,计划生育,北京市延庆区卫生健康委员会,2022-10-09 09:15,合格,\
11,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京沐沐佳农家餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-29 15:23,合格,\
12,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京四巷八号农家餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-28 14:53,合格,\
13,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京常喜常乐农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-28 14:04,合格,\
14,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京就在这里农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-28 10:22,合格,\
15,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京清凉印象农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-28 09:52,合格,\
16,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京红石新城房地产有限公司水关酒店分公司,公共场所,北京市延庆区卫生健康委员会,2022-09-20 16:14,合格,\
17,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区八达岭镇高长海农家餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-15 10:22,合格,\
18,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区张山营镇下板泉村卫生室,传染病与消毒,北京市延庆区卫生健康委员会,2022-09-15 09:54,合格,\
19,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京清孔雀樱桃美宿民宿,公共场所,北京市延庆区卫生健康委员会,2022-09-14 11:33,合格,\
20,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区珍珠泉中心小学,学校卫生,北京市延庆区卫生健康委员会,2022-09-14 10:13,合格,\
21,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京和美居农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-07 16:18,合格,\
22,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京静馨农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-07 15:08,合格,\
23,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京凡尘之野农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-07 14:50,合格,\
24,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京妫川华纳莱美容美发有限公司,公共场所,北京市延庆区卫生健康委员会,2022-09-06 16:05,合格,\
25,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京红顶屋美容美发有限公司,公共场所,北京市延庆区卫生健康委员会,2022-09-06 11:00,合格,\
26,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京荟之娇美容美体有限公司,公共场所,北京市延庆区卫生健康委员会,2022-09-06 10:44,合格,\
27,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京阿东魔法师理发店,公共场所,北京市延庆区卫生健康委员会,2022-09-06 10:08,合格,\
28,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京新时时尚理发店,公共场所,北京市延庆区卫生健康委员会,2022-09-06 09:41,合格,\
29,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京泽璇居农家院餐厅,公共场所,北京市延庆区卫生健康委员会,2022-09-06 09:12,合格,\
30,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区结核病防治所,放射卫生,北京市延庆区卫生健康委员会,2022-09-01 09:59,合格,\
31,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京欢乐分享口腔门诊部,放射卫生,北京市延庆区卫生健康委员会,2022-09-01 09:31,合格,\
32,2022年北京市延庆区卫生健康委国家双随机抽查计划,2022年延庆区卫生健康委双随机抽查,北京市延庆区水利工程服务中心,生活饮用水,北京市延庆区卫生健康委员会,2022-08-30 11:42,合格,\
