企业名称,许可类型,项目大类,项目小类,申请类型,申请日期,发证日期,所属区县
北京华腾天海环保科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2019-11-05,2019-11-20,大兴区
北京燕山和成气体有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2019-09-30,2019-10-12,房山区
北京胜良环保科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2019-08-16,2019-08-19,房山区
北京燕昌石化制品有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2019-08-16,2019-08-19,房山区
北京燕山石化液化空气气体有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2019-08-05,2019-08-15,房山区
北京化学试剂研究所,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2019-04-30,2019-06-20,大兴区
联华林德气体（北京）有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2019-04-16,2019-05-08,北京经济技术开发区
法美高新气体（北京）有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2019-03-19,2019-03-27,北京经济技术开发区
北京翔云工贸有限责任公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2019-01-31,2019-04-04,房山区
北京燕山集联石油化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2018-12-29,2018-12-29,房山区
液化空气（北京）工业气体有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2018-12-04,2019-01-31,北京经济技术开发区
北京燕山石化橡塑化工有限责任公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2018-12-02,2018-12-07,房山区
北京市密云清源净水剂厂,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2018-11-28,2019-01-23,密云区
北京东进世美肯科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2018-09-19,2018-11-29,北京经济技术开发区
北京市房山燕东化工厂,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2018-08-13,2018-08-22,房山区
北京航兴宏达化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2018-08-09,2018-09-30,大兴区
北京益中伟业化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2018-08-01,2018-09-30,房山区
中国石油化工股份有限公司北京燕山分公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2018-07-26,2018-08-01,房山区
北京化工厂有限责任公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2018-07-20,2018-08-03,大兴区
北京益利精细化学品有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2018-05-23,2018-06-08,朝阳区
北京首钢气体有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2018-03-20,2018-03-30,石景山区
北京玻钢院复合材料有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2018-03-12,2018-05-10,延庆区
北京首钢氧气厂,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2018-01-08,2018-01-18,顺义区
北京普莱克斯化实二氧化碳有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2017-10-30,2017-12-27,房山区
普莱克斯（北京）半导体气体有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2017-10-30,2017-12-27,北京经济技术开发区
北京东方石油化工有限公司有机化工厂,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2017-10-24,2017-12-27,房山区
北京中燕恒成能源有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2017-07-24,2017-12-02,房山区
北京迪龙化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2017-07-17,2017-10-12,房山区
中科晶电信息材料（北京）股份有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2017-07-07,2017-08-31,北京经济技术开发区
北京环宇京辉京城气体科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2017-06-09,2017-08-04,房山区
北京普莱克斯实用气体有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2017-06-07,2017-08-04,朝阳区
北京恒信化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2017-05-20,2017-08-04,房山区
中石化催化剂（北京）有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2017-02-20,2017-03-06,房山区
北京环宇京辉京城气体科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2016-11-25,2017-01-22,房山区
北京高盟新材料股份有限公司燕山分公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2016-10-19,2016-11-28,房山区
北京燕山东炼石油化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2016-05-23,2016-09-05,房山区
金刚化工（北京）有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2016-04-15,2016-04-28,顺义区
北京雄鹰彩虹油墨有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2015-07-31,2015-08-26,通州区
北京东方亚科力化工科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2015-06-12,2015-08-13,通州区
普莱克斯（北京）工业气体有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2014-10-29,2014-12-11,大兴区
北京红狮漆业有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2014-09-03,2014-11-28,通州区
北京东方石油化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2014-07-22,2014-08-11,朝阳区
中海石油炼化有限责任公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2013-08-12,2013-08-21,东城区
北京高盟新材料股份有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,延期申请,2013-07-26,2013-08-22,丰台区
中航百慕新材料技术工程股份有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,变更变更,2013-02-26,2013-03-30,海淀区
北京兴青红精细化学品科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-10-29,2012-11-01,大兴区
北京长润发涂料有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-10-26,2012-11-05,通州区
北京君子兰涂料有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-09-10,2012-11-05,通州区
