北京市大兴区应急管理局2020年度公共数据开放计划（危险化学品经营许可企业名单）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
序号,企业名称,申请类型,发证日期,有效期,证书编号
1,北京富多鑫商贸中心加油加气站,变更,2020-01-02 00:00:00,2020-1-2至2022-1-28,京兴应急经字[2004]000975
2,北京多利洁物资回收有限责任公司兴海加油站,延期,2020-01-09 00:00:00,2020-1-9至2023-1-8,京兴应急经字[2004]000104
3,北京昊海至诚科贸有限公司,变更,2020-01-02 00:00:00,2020-1-2至2023-1-1 ,京兴应急经字[2012]000027
4,中国石化销售股份有限公司北京芦城华建加油站,延期,2020-01-09 00:00:00,2020-1-9至2023-1-8,京兴应急经字[2004]000505
5, 中国石化销售股份有限公司北京大兴青云店加油站 ,延期,2020-01-17 00:00:00,2020-1-17至2023-1-16,京兴应急经字[2004]000681
6,北京利兴源加油站,变更,2020-01-02 00:00:00,2020-1-2至2022-8-29,京兴应急经字[2004]000849
7,"北京市龙禹泰合加油站
",延期,2020-01-09 00:00:00,"2020-1-9至2023-1-8
","京兴应急经字[2004]000958
"
8,"北京市大兴县燕兴加油站
",延期,2020-01-23 00:00:00,"2020-1-23至2023-1-22
","京兴应急经字[2006]001089
"
9,北京瞳崴经贸有限公司,延期,2020-01-08 00:00:00,"2020-1-9至2023-1-8
","京兴应急经字[2017]000558
"
10,北京中兴石石油产品销售有限公司加油站,变更、延期,2020-01-08 00:00:00,"2020-1-9至2023-1-8
","京兴应急经字[2004]000854
"
11,北京燕海加油站有限公司,延期,2020-03-09 00:00:00,"2020-3-9至 2023-3-8

",京兴应急经字[2004]000363
12,"北京关西涂料有限责任公司
",延期,2020-01-29 00:00:00,2020-1-29至2020-1-28,"京兴应急经字[2010]000111
"
13,北京市京南兴福石油有限公司,变更,2020-02-10 00:00:00,2020/2/10至2020/6/23,"京兴应急经字[2004]000835
"
14,"北京鑫兴加油站
",延期,2020-03-09 00:00:00,"2020-3-9至2023-3-8
",京兴应急经字[2004]000326
15,"北京安固加油站有限公司
",延期,2020-03-09 00:00:00,"2020-3-9至2023-3-8
","京兴应急经字[2004]001497
"
16,"中国石化销售股份有限公司北京大兴采南加油站
",延期,2020-03-09 00:00:00,"2020-3-9至2023-3-8
","京兴应急经字[2004]000569
"
17,北京燕开加油站,延期,2020-03-08 00:00:00,2020-3-8至2023-3-7,"京兴应急经字[2004]000647
"
18,"北京施惠达加油站
",延期,2020-04-20 00:00:00,"2020-4-20至2023-4-19
","京兴应急经字[2004]000953
"
19,"北京市大兴飞达加油站
",延期,2020-06-24 00:00:00,2020-6-24至2023-6-23,京兴应急经字[2004]000269
20,"北京市顺丰鑫成加油站有限公司
",延期,2020-06-30 00:00:00,2020-6-30至2023-6-29,京兴应急经字[2004]001448
21,北京天连海化工有限责任公司,延期,2020-04-21 00:00:00,"2020-4-22至2023-4-21
","京兴应急经字[2008]000100
"
22,"北京壳牌石油有限公司西红门加油站
",延期,2020-05-26 00:00:00,2020-5-26至2023-5-25,"京兴应急经字[2004]001114
"
23,"北京诚实兴业化工有限公司
",延期,2020-05-15 00:00:00,2020-5-15至2023-5-14,"京兴应急经字[2010]000120
"
24,"北京东段加油站
",延期,2020-05-23 00:00:00,2020-5-23至2023-5-22,"京兴应急经字[2004]000406
"
25,"中国石化销售股份有限公司北京大兴东黄垡加油站
",延期,2020-05-23 00:00:00,2020-5-23至2023-5-22,"京兴应急经字[2004]000524
"
26,"北京市京南兴福石油有限公司
",延期,2020-06-24 00:00:00,2020-6-24至2023-6-23,"京兴应急经字[2004]000835
"
27,北京多利洁物资回收有限责任公司兴海加油站,变更,2020-05-15 00:00:00,2020-5-15至2023-1-8,"京兴应急经字[2004]000104
"
28,北京金港海源化工产品有限公司,延期,2020-05-20 00:00:00,"2020-5-20至2023-5-19
","京兴应急经字[2011]000122
"
29,"北京三元石油有限公司亦庄加油站
",延期,2020-05-20 00:00:00,"2020-5-21至2023-5-20
",京兴应急经字[2004]000398
30,"北京三元石油有限公司旧宫加油站
",延期,2020-05-20 00:00:00,"2020-5-20至2023-5-19
","京兴应急经字[2004]000751
"
31,"北京华泰好运石油产品销售有限公司
",变更,2020-06-03 00:00:00,"2020-6-3至2020-9-21
",京兴应急经字[2007]001671
32,"北京市顺丰航南加油站有限公司
",变更,2020-06-03 00:00:00,"2020-6-3至2022-1-13
","京兴应急经字[2016]001447
"
33,"中国石化销售股份有限公司北京大兴益特诺加油站
",延期,2020-07-31 00:00:00,"2020-7-31至2023-7-30
","京兴应急经字[2004]000230
"
34,"北京兴业城信化工有限公司
",延期,2020-06-09 00:00:00,"2020-6-9至2023-6-8
","京兴应急经字[2004]000018
"
35,"中国石化销售股份有限公司北京大兴凯利加油站
",延期,2020-07-31 00:00:00,"2020-7-31至2023-7-30
","京兴应急经字[2004]000228
"
36,"北京白龙马加油站
",延期,2020-06-24 00:00:00,"2020-6-24至2023-6-23
","京兴应急经字[2005]001481
"
37,"北京市顺丰鑫成加油站有限公司
",变更、延期,2020-06-23 00:00:00,"2020-6-23至2023-6-22
","京兴应急经字[2004]001448
"
38,"北京中石化京南企业管理有限公司大兴京南加油站
",变更,2020-06-23 00:00:00,"2020-6-23至2022-10-28
","京兴应急经字[2004]000507
"
39,"中国石化销售股份有限公司北京大兴齐万方加油站
",延期,2020-07-28 00:00:00,"2020-7-28至2023-7-27
","京兴应急经字[2004]000576
"
40,"中国石化销售有限公司北京大兴兴华街加油站
",延期,2020-07-28 00:00:00,"2020-7-28至2023-7-27
","京兴应急经字[2005]001440
"
41,"富林特油墨（北京）有限公司
",首次,2020-07-03 00:00:00,"2020-7-3至2023-7-2
","京兴应急经字[2020]000001
"
42,北京友联鑫新材料科技有限责任公司,首次,2020-07-28 00:00:00,2020-7-28至2023-7-27,"京兴应急经字[2020]000002
"
43,中国石化销售股份有限公司北京大兴大里庄加油站,延期,2020-08-24 00:00:00,"2020-8-24至2023-8-23
","京兴应急经字[2017]000002
"
44,"中国石化销售股份有限公司北京大兴兴采凤加油站
",延期,2020-07-31 00:00:00,"2020-7-31至2023-7-30
","京兴应急经字[2004]000407
"
45,"北京华泰好运石油产品销售有限公司
",延期,2020-09-21 00:00:00,"2020-9-22至2023-9-21
",京兴应急经字[2007]001671
46,中国石化销售股份有限公司北京大兴永定联营加油站,延期,2020-07-28 00:00:00,"2020-7-28至2023-7-27
",京兴应急经字[2004]000229
47,"中国石油天然气股份有限公司北京念坛加油站
",延期,2020-09-22 00:00:00,2020-9-23至2023-9-22,"京兴应急经字[2004]000272
"
48,"北京三元石油有限公司
",延期,2020-08-04 00:00:00,"2020-8-4至2023-8-3
",京兴应急经字[2004]000490
49,"北京鑫方盛电子商务有限公司
",变更,2020-08-12 00:00:00,"2020-8-13至2023-8-12
","京兴应急经字[2008]000103
"
50,北京萌发旭欣跃进科技有限公司,变更,2020-09-03 00:00:00,"2020-9-3至2023-9-2
",京兴应急经字[2008]000104
51,北京利雅得石化物资公司,变更,2020-09-03 00:00:00,"2020-9-3至2022-8-18
",京兴应急经字[2019]000004
