决定书编号,处罚类别,处罚事由,处罚依据,纳税人名称,统一社会信用代码,组织机构代码,处罚结果,处罚生效期,处罚截止期,处罚机关,当前状态
京东税罚20208,发票违法,丢失增值税专用发票16张，发票代码：1100151130，发票号码：02228505-02228520,《中华人民共和国发票管理办法》第三十六条第二款,北京欧润诺德设备销售有限公司,,584423452,罚款6400,2020/4/23,2020/5/9,国家税务总局北京市东城区税务局,正常
京石一税罚20201,发票违法,该单位于2019年12月26日丢失正常开具的通用机打卷式发票全部联次72份，发票代码：111001173051，发票号码：16361801--16361855，计55份，16361860--16361863，计4份，16361872--16361880，计9份，16361889--16361891，计3份，16361899--16361899，计1份，特此声明作废。,《中华人民共和国发票管理办法》第三十六条第二款,北京德草堂大药房,91110107664608238J,664608238,罚款1440,2020/4/13,2020/4/28,国家税务总局北京市石景山区税务局第一税务所（办税服务厅）,注销
京海税罚2020181,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据金额，违反《中华人民共和国税收征管法》第六十四条第一款，在2017年10-12月、2018年1-3月期间存在虚报个人所得税身份信息冒用行为，虚列成本21000元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京中鼎亿达科技有限公司,91110108672393767W,672393767,罚款5612,2020/4/13,2020/5/6,国家税务总局北京市海淀区税务局,正常
京通四税罚202055,违反税收管理,未按照规定期限办理纳税申报和报送纳税资料，房产税（从价计征）2019-01-01至2019-06-30逾期未申报,《中华人民共和国税收征收管理法》第六十二条,北京市龙腾跃门窗维修服务中心,,,罚款1000,2020/4/8,2020/4/23,国家税务总局北京市通州区税务局第四税务所,正常
京海三税罚20208,发票违法,丢失空白增值税普通发票57份，发票代码为011001800204，发票号码为55256299-55256355,《中华人民共和国发票管理办法》第三十六条第二款,北京华康恒达国际医疗器械销售有限公司,91110108772574688L,772574688,罚款1140,2020/4/8,2020/4/23,国家税务总局北京市海淀区税务局,正常
京东一税罚20206,发票违法,丢失通用机打平推式发票28张，发票代码：111001471011，发票号码：15525448--15525475。,《中华人民共和国发票管理办法》第三十六条第二款,北京康家汇教育科技有限公司,,593848401,罚款1400,2020/4/28,2020/5/13,国家税务总局北京市东城区税务局第一税务所（办税服务厅）,注销
京海税罚2020245,违反税收管理,"纳税人、扣缴义务人编造虚假计税依据金额，违反《中华人民共和国税收征管法》第六十四条第一款，在2018年1-11月期间存在虚报个人所得税身份信息冒用行为，虚列成本35100元。",《中华人民共和国税收征收管理法》第六十四条第一款,北京普宇诚商贸有限公司,911101085585223347,558522334,罚款5000,2020/5/7,2020/5/29,国家税务总局北京市海淀区税务局,正常
京海税罚2020260,违反税收管理,该企业在2016年9月-2017年12月期间，存在冒用他人个人信息做个税明细申报行为，涉及虚列成本18000元。,《中华人民共和国税收征收管理法》第六十四条第一款,北京八仙过海咨询有限公司,91110108793441331K,793441331,罚款5000,2020/5/7,2020/5/22,国家税务总局北京市海淀区税务局,正常
京东一税罚20207,发票违法,"丢失北京市废旧物资专用收购凭证25份，发票代码：111000441021，发票号码：00004451-00004475；北京市工商企业资金往来专用发票50份，发票代码：111000861011，发票号码：00063851-00063900。",《中华人民共和国发票管理办法》第三十六条第二款,北京恒拓金属材料供应中心,9111010110151844XN,10151844X,罚款1500,2020/4/28,2020/5/13,国家税务总局北京市东城区税务局第一税务所（办税服务厅）,注销
京丰卢税罚20204,发票违法,"未按规定保管发票，将通用机打卷式发票空白发票丢失,发票代码111001273051，发票号码01056401-01056500, 共计100张。",《中华人民共和国发票管理办法》第三十六条第二款,北京旭日阁大药房,,664613256,罚款2000,2020/4/28,2020/5/13,国家税务总局北京市丰台区税务局卢沟桥税务所,注销
