统一社会信用代码,企业名称,所属行政区
91110000101908915L,北京佳讯飞鸿电气股份有限公司,海淀区
911100007001499000 ,北京同有飞骥科技股份有限公司,海淀区
91110000700308807J,北京世纪瑞尔技术股份有限公司,海淀区
91110000710923360K,大恒新纪元科技股份有限公司,海淀区
91110000710935759B,大唐联诚信息系统技术有限公司,海淀区
91110000762962441Q,北京永新视博数字电视技术有限公司,海淀区
911100007848002000 ,华锐风电科技（集团）股份有限公司,海淀区
91110000802062000J,北京海兰信数据科技股份有限公司,海淀区
911100008020705000 ,北京九强生物技术股份有限公司,海淀区
9111010535131161X2,北京航天众信科技有限公司,海淀区
91110105790696320H,北京索为系统技术股份有限公司,海淀区
91110105MA01KJHC53,北京科杰科技有限公司,海淀区
91110107MA009GQ72T,北京天泽智云科技有限公司,海淀区
911101080513793000 ,北京天耀宏图科技有限公司,海淀区
91110108051412312G,北京可信华泰信息技术有限公司,海淀区
91110108051435506C,融鼎岳（北京）科技有限公司,海淀区
911101080514468000 ,北京亿华通科技股份有限公司,海淀区
9111010805361441XR,北京数字绿土科技股份有限公司,海淀区
91110108055554406A,北京东方瑞丰航空技术有限公司,海淀区
911101080573333000 ,北京亚鸿世纪科技发展有限公司,海淀区
91110108059234805F,金锐同创（北京）科技股份有限公司,海淀区
91110108061322142F,北京睿信丰科技有限公司,海淀区
91110108062782191G,北京深思数盾科技股份有限公司,海淀区
911101080628016000 ,北京九章云极科技有限公司,海淀区
91110108064901967R,航天中认软件测评科技（北京）有限责任公司,海淀区
91110108064916149C,北京东远润兴科技有限公司,海淀区
911101080649193000 ,北京烽火万家科技有限公司,海淀区
911101080672516000 ,天云融创数据科技（北京）有限公司,海淀区
911101080717206000 ,北京华航唯实机器人科技股份有限公司,海淀区
91110108074188608K,北京志凌海纳科技有限公司,海淀区
91110108078505359A,北京易捷思达科技发展有限公司,海淀区
91110108078516242W,北京智联安科技有限公司,海淀区
91110108078545633M,北京鼎材科技有限公司,海淀区
911101080785732000 ,北京寄云鼎城科技有限公司,海淀区
91110108085456794G,北京源清慧虹信息科技有限公司,海淀区
91110108089647010H,国科天成科技股份有限公司,海淀区
911101080918690000 ,北京云迹科技股份有限公司,海淀区
911101080918750000 ,北京赛目科技有限公司,海淀区
91110108093369842B,北京云道智造科技有限公司,海淀区
911101080967661000 ,北京佰才邦技术股份有限公司,海淀区
911101080984827000 ,北京智网易联科技有限公司,海淀区
91110108099442801R,基石酷联微电子技术（北京）有限公司,海淀区
91110108101102428B,北京大华无线电仪器有限责任公司,海淀区
9111010810110401X3,北京北分瑞利分析仪器（集团）有限责任公司,海淀区
91110108101202381Q,北京仁创科技集团有限公司,海淀区
9111010810177067X4,北京桀亚莱福生物技术有限责任公司,海淀区
91110108101941176M,北京航天微电科技有限公司,海淀区
91110108101952107G,北京航天石化技术装备工程有限公司,海淀区
91110108101998244B,北京蓝天航空科技股份有限公司,海淀区
91110108102002226D,北京华峰测控技术股份有限公司,海淀区
9111010810200685XN,北京特立信电子技术股份有限公司,海淀区
911101081020223000 ,北京山维科技股份有限公司,海淀区
9111010830645761XY,北京瑞祺皓迪技术股份有限公司,海淀区
911101083066144000 ,北京东方至远科技股份有限公司,海淀区
91110108306623614J,北京云思畅想科技有限公司,海淀区
91110108306645813Q,北京志翔科技股份有限公司,海淀区
9111010831792202XP,北京威努特技术有限公司,海淀区
91110108318056936P,北京安声科技有限公司,海淀区
91110108318058456U,北京中科慧眼科技有限公司,海淀区
911101083181411000 ,北京中科睿芯科技集团有限公司,海淀区
91110108327126852Y,北京华捷艾米科技有限公司,海淀区
911101083271749000 ,北京博创联动科技有限公司,海淀区
911101083272391000 ,北京大道云行科技有限公司,海淀区
91110108329541726L,北京五一视界数字孪生科技股份有限公司,海淀区
91110108330324120B,北京众清科技有限公司,海淀区
91110108335562435H,北京蜂云科创信息技术有限公司,海淀区
911101083397675000 ,北京智充科技有限公司,海淀区
91110108339836368E,北京星辰天合科技股份有限公司,海淀区
911101083443180000 ,北醒（北京）光子科技有限公司,海淀区
91110108344320200W,北京北交新能科技有限公司,海淀区
911101083443972000 ,北京优迅医学检验实验室有限公司,海淀区
91110108344403743F,北京钛方科技有限责任公司,海淀区
91110108348293676F,北京国电高科科技有限公司,海淀区
911101083483388000 ,北京得瑞领新科技有限公司,海淀区
91110108348431354E,北京星云互联科技有限公司,海淀区
91110108348465992J,北京微步在线科技有限公司,海淀区
91110108351583025U,北京融信数联科技有限公司,海淀区
9111010835295529XG,烽台科技（北京）有限公司,海淀区
91110108355276719X,北京恒安嘉新安全技术有限公司,海淀区
911101083552926000 ,北京卓翼智能科技有限公司,海淀区
91110108355313321X,北京鹰瞳科技发展股份有限公司,海淀区
911101083579420000 ,北京翼辉信息技术有限公司,海淀区
91110108397109409D,北京中睿天下信息技术有限公司,海淀区
91110108399106666C,清研讯科（北京）科技有限公司,海淀区
91110108400001643B,中化化工科学技术研究总院有限公司,海淀区
91110108400010267K,北京机电研究所有限公司,海淀区
91110108400685846A,北京市电加工研究所有限公司,海淀区
91110108551427625G,触景无限科技（北京）有限公司,海淀区
91110108554808685B,中电投工程研究检测评定中心有限公司,海淀区
91110108554837179A,北京华清瑞达科技有限公司,海淀区
911101085548580000 ,中电华瑞技术有限公司,海淀区
91110108554890762H,北京华夏视科技术股份有限公司,海淀区
91110108560358422K,数据堂（北京）科技股份有限公司,海淀区
91110108560385447N,航天智控（北京）监测技术有限公司,海淀区
91110108560432856H,北京柏惠维康科技有限公司,海淀区
91110108562135265P,北京永信至诚科技股份有限公司,海淀区
91110108563622495U,海杰亚（北京）医疗器械有限公司,海淀区
91110108563638331N,华清农业开发有限公司,海淀区
911101085636544000 ,北京天智航医疗科技股份有限公司,海淀区
91110108565775188E,远江盛邦（北京）网络安全科技股份有限公司,海淀区
911101085658443000 ,北京氢璞创能科技有限公司,海淀区
9111010856749593XU,北京津发科技股份有限公司,海淀区
911101085694925000 ,北京忆恒创源科技股份有限公司,海淀区
91110108569524423F,北京中科国润环保科技有限公司,海淀区
911101085712035000 ,飞天联合（北京）系统技术有限公司,海淀区
9111010857128414X8,北京慧清科技有限公司,海淀区
911101085712845000 ,北京中科晶上科技股份有限公司,海淀区
91110108573160511J,北京赛科康仑环保科技有限公司,海淀区
91110108573200704A,北京力控元通科技有限公司,海淀区
911101085751633000 ,北京康力优蓝机器人科技有限公司,海淀区
911101085769050000 ,北京凯视达科技股份有限公司,海淀区
91110108576914817K,阿依瓦（北京）技术有限公司,海淀区
9111010858587583XQ,北京海博思创科技股份有限公司,海淀区
9111010858907946X6,大唐联仪科技有限公司,海淀区
91110108590662476F,北京永洪商智科技有限公司,海淀区
911101085906982000 ,中勍科技股份有限公司,海淀区
91110108597681856P,北京航天科颐技术有限公司,海淀区
91110108599644434U,北京中数智汇科技股份有限公司,海淀区
9111010859966120XL,北京昂瑞微电子技术股份有限公司,海淀区
91110108599663854W,云知声智能科技股份有限公司,海淀区
91110108600001947F,北京大恒图像视觉有限公司,海淀区
9111010860000278XK,北京华环电子股份有限公司,海淀区
91110108600023388J,北京华大吉比爱生物技术有限公司,海淀区
91110108600038600E,北京泽华化学工程有限公司,海淀区
91110108600086880A,北京冠群信息技术股份有限公司,海淀区
91110108600376255L,北京帮安迪信息科技股份有限公司,海淀区
911101086003810000 ,北京信安世纪科技股份有限公司,海淀区
91110108600404359L,北京爱尔达电子设备有限公司,海淀区
9111010860049282X3,北京麦迪克斯科技有限公司,海淀区
91110108633616841B,航天神舟智慧系统技术有限公司,海淀区
91110108633691577R,北京华弘集成电路设计有限责任公司,海淀区
911101086605115000 ,北京联合永道软件股份有限公司,海淀区
91110108660513776K,北京热华能源科技有限公司,海淀区
91110108661550528Q,科美诊断技术股份有限公司,海淀区
911101086615579000 ,北京国控天成科技有限公司,海淀区
91110108662151975E,高拓讯达（北京）微电子股份有限公司,海淀区
911101086621777000 ,奇秦科技（北京）股份有限公司,海淀区
