在京央企名录（总部）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
序号,类别,企业（集团）名称,统一社会信用代码,备注
1,国务院国资委管理企业,中国核工业集团有限公司,91110000100009563N,
2,,中国航天科技集团有限公司,91110000100014071Q,
3,,中国航天科工集团有限公司,91110000710925243K,
4,,中国航空工业集团有限公司,91110000710935732K,
5,,中国兵器工业集团有限公司,91110000710924910P,
6,,中国兵器装备集团有限公司,91110000710924929L,
7,,中国电子科技集团有限公司,91110000710929498G,
8,,中国航空发动机集团有限公司,91110000MA005UCQ5P,
9,,中国融通资产管理集团有限公司,91110000MA01A7RH2R,
10,,中国石油天然气集团有限公司,91110000100010433L,
11,,中国石油化工集团有限公司,9111000010169286X1,
12,,中国海洋石油集团有限公司,91110000100001043E,
13,,国家石油天然气管网集团有限公司,91110000MA01P657XY,
14,,国家电网有限公司,9111000071093123XX,
15,,中国大唐集团有限公司,911100007109311097,
16,,中国华电集团有限公司,9111000071093107XN,
17,,国家电力投资集团有限公司,911100007109310534,
18,,国家能源投资集团有限责任公司,91110000100018267J,
19,,中国电信集团有限公司,91110000100017707H,
20,,中国联合网络通信集团有限公司,91110000MA001HYK9X,
21,,中国移动通信集团有限公司,911100007109250324,
22,,中国机械工业集团有限公司,911100001000080343,
23,,中国铝业集团有限公司,911100007109279199,
24,,中国航空集团有限公司,91110000710930392Y,
25,,中粮集团有限公司,91110000101100414N,
26,,中国五矿集团有限公司,9111000010000093XR,
27,,中国通用技术(集团)控股有限责任公司,9111000071092200XY,
28,,中国建筑集团有限公司,91110000100001035K,
29,,中国储备粮管理集团有限公司,9111000071092649XU,
30,,中国南水北调集团有限公司,91110000MA01W8B394,
31,,国家开发投资集团有限公司,91110000100017643K,
32,,中国节能环保集团有限公司,91110000100010310K,
33,,中国国际工程咨询有限公司,91110000100000825Q,
34,,中国诚通控股集团有限公司,911100007109225442,
35,,中国中煤能源集团有限公司,9111000010000085X6,
36,,中国煤炭科工集团有限公司,91110000710935636A,
37,,中国机械科学研究总院集团有限公司,91110000400008060U,
38,,中国钢研科技集团有限公司,91110000400001889L,
39,,中国化学工程集团有限公司,91110000100001852R,
40,,中国盐业集团有限公司,91110000101625149Q,
41,,中国建材集团有限公司,91110000100000489L,
42,,中国有色矿业集团有限公司,91110000100024915R,
43,,中国有研科技集团有限公司,9111000040000094XW,
44,,矿冶科技集团有限公司,91110000400000720M,
45,,中国国际技术智力合作集团有限公司,91110000100006194G,
46,,中国建筑科学研究院有限公司,911100004000011410,
47,,中国中车集团有限公司,91110000710929930X,
48,,中国铁路通信信号集团有限公司,91110000100001676W,
49,,中国铁路工程集团有限公司,91110000102016548J,
50,,中国铁道建筑集团有限公司,91110000100010660R,
51,,中国交通建设集团有限公司,91110000710933809D,
52,,中国农业发展集团有限公司,91110000100003057A,
53,,中国林业集团有限公司,911100001000016682,
54,,中国医药集团有限公司,91110000100005888C,
55,,中国保利集团有限公司,911100001000128855,
56,,中国建设科技有限公司,9111000071092868XL,
57,,中国冶金地质总局,12100000400006022G,
58,,中国煤炭地质总局,12100000400010275N,
59,,新兴际华集团有限公司,911100001055722912,
60,,中国民航信息集团有限公司,91110000100024800K,
61,,中国航空油料集团有限公司,911100007109303176,
62,,中国航空器材集团有限公司,91110000710930296M,
63,,中国电力建设集团有限公司,911100007178306183,
64,,中国能源建设集团有限公司,91110000717830650E,
65,,中国安能建设集团有限公司,911100001000094165,
66,,中国黄金集团有限公司,91110000100001625L,
67,,中国物流集团有限公司,91110000100006485K,
68,,中国国新控股有限责任公司,91110000717828315T,
69,,中国检验认证(集团)有限公司,91110000101699383Q,
70,中央金融企业,中国投资有限责任公司,91100000710935038A,
71,,国家开发银行,911100000000184548,
72,,中国进出口银行,91100000100016448C,
73,,中国农业发展银行,91100000100017045K,
74,,中国工商银行股份有限公司,91100000100003962T,
75,,中国农业银行股份有限公司,911100001000054748,
76,,中国银行股份有限公司,911000001000013428,
77,,中国建设银行股份有限公司,911100001000044477,
78,,中国中信集团有限公司,9110000010168558XU,
79,,中国光大集团股份公司,91100000102063897J,
80,,中国人民保险集团股份有限公司,911000001000237368,
81,,中国人寿保险（集团）公司,91100000100023728D,
82,,中国出口信用保险公司,911100007109290334,
83,,中国中信金融资产管理股份有限公司,911100007109255774,
84,,中国长城资产管理股份有限公司,91110000710925489M,
85,,中国东方资产管理股份有限公司,911100007109254543,
86,,中国信达资产管理股份有限公司,91110000710924945A,
87,,中央国债登记结算有限责任公司,91110000100013079A,
88,,中国农业再保险股份有限公司,91110000MA01YJ7H9K,
89,,中国政企合作投资基金股份有限公司,91110000MA003XRC3X,
90,,国家融资担保基金有限责任公司,91110102MA01DPU751,
91,,国家农业信贷担保联盟有限责任公司,91110000MA005B6R3W,
92,,中国再保险（集团）股份有限公司,9110000010002371XD,
93,,中国建银投资有限责任公司,911100007109328650,
94,,中国银河金融控股有限责任公司,91110000710933569J,
95,财政部履行出资人职责的企业,中国国家铁路集团有限公司,91100000000013477B,
96,,中国邮政集团有限公司,911000000000192465,
97,,中国烟草总公司,91100000101619881W,
98,其他,中央广播电视总台,12100000MB1B48495F,国务院直属事业单位，归口中宣部领导
